,value,metric,type
0,2.182687208688952,fde,ml
1,1.3856465187677909,fde,ml
2,2.1785769271672026,fde,ml
3,2.794461881193802,fde,ml
4,1.674222861039139,fde,ml
5,0.882613312575365,fde,ml
6,0.643829017347925,fde,ml
7,2.4096142851638476,fde,ml
8,0.010009401801215134,fde,ml
9,0.6329569332707387,fde,ml
10,0.8259224997470132,fde,ml
11,0.011908667336051195,fde,ml
12,0.4482355321224837,fde,ml
13,0.2102395249289607,fde,ml
14,0.017318196674888924,fde,ml
15,0.45396740913860073,fde,ml
16,0.20215691993270196,fde,ml
17,0.03953734519138414,fde,ml
18,0.4482355321224837,fde,ml
19,0.20267771481143876,fde,ml
20,0.06065258540138345,fde,ml
21,0.4174140524675959,fde,ml
22,0.19790237200542493,fde,ml
23,0.06065258540138345,fde,ml
24,0.3812376873293947,fde,ml
25,0.9616498861649363,fde,ml
26,0.06065258540138345,fde,ml
27,0.4387070987940456,fde,ml
28,1.4267514065922726,fde,ml
29,0.06065258540138345,fde,ml
30,0.6853887206577506,fde,ml
31,0.3599239600778557,fde,ml
32,0.05752903657242106,fde,ml
33,2.7562757158527353,fde,ml
34,0.3837956860376177,fde,ml
35,0.058836277848313044,fde,ml
36,2.4556075780031685,fde,ml
37,0.3949425207203104,fde,ml
38,0.06152681645015646,fde,ml
39,3.4446200745536215,fde,ml
40,1.0593125704040445,fde,ml
41,0.06321173490946824,fde,ml
42,2.451606791536,fde,ml
43,1.3913717873618583,fde,ml
44,0.06807132986559386,fde,ml
45,1.078212544235841,fde,ml
46,0.0625103989665609,fde,ml
47,4.2861711883541815,fde,ml
48,0.22545777695669694,fde,ml
49,0.5532812210129799,fde,ml
50,0.20593242317546387,fde,ml
51,0.5121439574257176,fde,ml
52,0.32721917821490254,fde,ml
53,0.38447673677357175,fde,ml
54,0.0926694691928951,fde,ml
55,0.522276815768512,fde,ml
56,0.09442489440199453,fde,ml
57,4.6430621473829605,fde,ml
58,0.10118956128943772,fde,ml
59,2.771789096083865,fde,ml
60,1.35590923214175,fde,ml
61,1.139330088138921,fde,ml
62,0.25040754858506387,fde,ml
63,0.8743748390892835,fde,ml
64,5.275268519915423,fde,ml
65,5.460311992233639,fde,ml
66,1.1527794620450909,fde,ml
67,1.1681755200887147,fde,ml
68,1.137794129114574,fde,ml
69,1.235655134975464,fde,ml
70,0.7143140550430547,fde,ml
71,4.261082052105413,fde,ml
72,3.9170282617695267,fde,ml
73,5.441223989720605,fde,ml
74,3.339364653983933,fde,ml
75,1.6876640542971988,fde,ml
76,1.4450292428630582,fde,ml
77,1.4401719153788315,fde,ml
78,1.5006296686141882,fde,ml
79,1.516925627718732,fde,ml
80,1.5781795049727911,fde,ml
81,5.10317381014435,fde,ml
82,0.3146304843958074,fde,ml
83,3.437964749749297,fde,ml
84,2.685554345163876,fde,ml
85,2.7448894403043687,fde,ml
86,0.22035658672115693,fde,ml
87,0.2439898963055445,fde,ml
88,0.3920794787775486,fde,ml
89,0.5227306965614952,fde,ml
90,2.0836952531814252,fde,ml
91,1.5010916244985153,fde,ml
92,3.086887971779262,fde,ml
93,2.899894213961525,fde,ml
94,2.914416076893093,fde,ml
95,3.345959484070124,fde,ml
96,3.7353742165184376,fde,ml
97,4.087404465752831,fde,ml
98,4.499852630422428,fde,ml
99,0.6194549533273955,fde,ml
100,5.226429165767667,fde,ml
101,3.590504907491173,fde,ml
102,0.37652046107515225,fde,ml
103,1.6601927982308502,fde,ml
104,0.7780112293673533,fde,ml
105,0.5399608197180442,fde,ml
106,1.5299839458985374,fde,ml
107,0.26409227748526365,fde,ml
108,1.7192097487229834,fde,ml
109,1.8505270790221358,fde,ml
110,0.4400567237763707,fde,ml
111,1.110867649670898,fde,ml
112,0.7491223338895481,fde,ml
113,0.7016219191104395,fde,ml
114,0.9496555004684097,fde,ml
115,1.6145188530479382,fde,ml
116,2.099590727261947,fde,ml
117,1.6829439794210475,fde,ml
118,2.929764593719814,fde,ml
119,1.685199472391107,fde,ml
120,1.96211490486981,fde,ml
121,5.580359178438861,fde,ml
122,4.248627566747097,fde,ml
123,5.406558977330349,fde,ml
124,4.157693836744381,fde,ml
125,1.7211097530260249,fde,ml
126,7.019332553293415,fde,ml
127,3.0946303783833837,fde,ml
