,value,metric,type
0,0.8278990979123472,ade,ml
1,0.6116489707795165,ade,ml
2,0.6719933124345038,ade,ml
3,2.2001292189310546,ade,ml
4,0.8281669900597054,ade,ml
5,0.1825715757181151,ade,ml
6,0.22317423788182955,ade,ml
7,0.2541151377822022,ade,ml
8,0.002083442105092414,ade,ml
9,0.2061273618543211,ade,ml
10,0.07253190385634538,ade,ml
11,0.0056174374161803925,ade,ml
12,0.2418726505455043,ade,ml
13,0.09090041531121851,ade,ml
14,0.00655514179645695,ade,ml
15,0.2768941033857835,ade,ml
16,0.1123507924742942,ade,ml
17,0.009222834498941268,ade,ml
18,0.31626439517096844,ade,ml
19,0.21640492146097803,ade,ml
20,0.01366234167518346,ade,ml
21,0.35110778046364843,ade,ml
22,0.5436193211630947,ade,ml
23,0.018285269399810625,ade,ml
24,0.38289402146871776,ade,ml
25,0.41587855167430127,ade,ml
26,0.02056527432903786,ade,ml
27,0.39517822913028394,ade,ml
28,0.23492517293961887,ade,ml
29,0.02614678315520066,ade,ml
30,0.8789700831141647,ade,ml
31,0.1845176863564959,ade,ml
32,0.028507494592815274,ade,ml
33,1.1726592314134356,ade,ml
34,0.2915490100715046,ade,ml
35,0.03475453501195351,ade,ml
36,1.2616343188980934,ade,ml
37,0.47299037722903076,ade,ml
38,0.04018154793816102,ade,ml
39,0.8882172750761052,ade,ml
40,0.3679949677842203,ade,ml
41,0.03988236079912281,ade,ml
42,0.2731137185242271,ade,ml
43,0.5090521672954768,ade,ml
44,0.04257296409227198,ade,ml
45,0.36294888690632615,ade,ml
46,0.09429752862527789,ade,ml
47,0.6044657382913424,ade,ml
48,0.10306272647816676,ade,ml
49,0.6415929039188846,ade,ml
50,0.0836089845899627,ade,ml
51,0.3279675871314508,ade,ml
52,0.01705758621968888,ade,ml
53,0.5374334087063203,ade,ml
54,0.02646155177235172,ade,ml
55,1.2353343398498524,ade,ml
56,0.030878146059546318,ade,ml
57,0.2095114724548847,ade,ml
58,0.043194057108797375,ade,ml
59,0.18192857272479954,ade,ml
60,1.0032140570575274,ade,ml
61,0.4190440349598987,ade,ml
62,0.5258151672323815,ade,ml
63,2.4350128242252804,ade,ml
64,1.0384093894769209,ade,ml
65,0.4221680103430401,ade,ml
66,0.48410736648467195,ade,ml
67,0.8785936247939756,ade,ml
68,0.9732274478647341,ade,ml
69,0.618864785341326,ade,ml
70,1.313804653656515,ade,ml
71,1.1724193557387064,ade,ml
72,1.5042475091631917,ade,ml
73,0.8872217737505362,ade,ml
74,0.4766917312070551,ade,ml
75,0.622490662261601,ade,ml
76,0.7438831960091475,ade,ml
77,0.8824877067777585,ade,ml
78,0.9543023565161061,ade,ml
79,0.26886935413781876,ade,ml
80,0.7562157849410548,ade,ml
81,0.5573970243853027,ade,ml
82,1.1400846580125308,ade,ml
83,0.8158752234796899,ade,ml
84,0.6015286915149011,ade,ml
85,0.10329187459747986,ade,ml
86,0.27676776337988057,ade,ml
87,0.12370777747450352,ade,ml
88,0.23084605190650156,ade,ml
89,0.3711998484332262,ade,ml
90,0.3767656442037522,ade,ml
91,0.735865555124723,ade,ml
92,0.5844876141030483,ade,ml
93,0.770516456387421,ade,ml
94,0.9773993120270741,ade,ml
95,1.2607243452345447,ade,ml
96,1.5929243792017915,ade,ml
97,0.5261568875760264,ade,ml
98,0.9044732652205937,ade,ml
99,1.7447732069846802,ade,ml
100,0.6737548013917968,ade,ml
101,0.5140948971726468,ade,ml
102,0.5194118320237627,ade,ml
103,0.6655054504339343,ade,ml
104,0.6151665329033057,ade,ml
105,0.48250983479369575,ade,ml
106,0.2011601236556705,ade,ml
107,0.7173945331042271,ade,ml
108,0.2582767435216319,ade,ml
109,0.30137013213762137,ade,ml
110,0.3865187532355477,ade,ml
111,0.46819419897153547,ade,ml
112,0.4400037719790177,ade,ml
113,0.3885812949112261,ade,ml
114,0.39919299063975977,ade,ml
115,0.2762537191386829,ade,ml
116,0.6899892111217129,ade,ml
117,0.7179923492727806,ade,ml
118,0.7057226065969724,ade,ml
119,1.536133807280238,ade,ml
120,1.3737278085634845,ade,ml
121,1.350245235957024,ade,ml
122,1.454788033398538,ade,ml
123,0.7968706674589944,ade,ml
124,1.1783140261622824,ade,ml
125,1.9375971182716125,ade,ml
126,0.7413618660268643,ade,ml
127,0.8728920378053079,ade,ml
128,1.2681116439727311,ade,ml
129,1.32027562253352,ade,ml
130,1.3414772966240047,ade,ml
131,0.7964365823800605,ade,ml
132,0.9268431216110402,ade,ml
133,0.7681660406608427,ade,ml
134,0.3735967875597388,ade,ml
135,0.6636070085697576,ade,ml
136,0.36878095008222117,ade,ml
137,0.39888871271857446,ade,ml
138,0.23894212255800593,ade,ml
139,0.40937826642211855,ade,ml
140,0.28812752795176116,ade,ml
141,0.9383363368823403,ade,ml
142,0.12570904844325373,ade,ml
143,1.2626687521541247,ade,ml
144,0.864061624063856,ade,ml
145,0.3424603051504478,ade,ml
146,1.4470988544469154,ade,ml
147,0.4510159014698994,ade,ml
148,0.5555968698152532,ade,ml
149,0.33670858907980666,ade,ml
150,0.8003225614534996,ade,ml
151,0.575378950069804,ade,ml
152,0.4349378510653174,ade,ml
153,0.4280644669253444,ade,ml
154,0.20485499282582434,ade,ml
155,0.3125850063609195,ade,ml
156,0.5490427933862887,ade,ml
157,0.8568813897434713,ade,ml
158,0.7497749327428592,ade,ml
159,0.9536408128873523,ade,ml
160,0.6602120869766597,ade,ml
161,1.2593211868891272,ade,ml
162,1.7015486721119408,ade,ml
163,0.6738564812022424,ade,ml
164,0.7263400597968687,ade,ml
165,0.9310904156341038,ade,ml
166,1.0326883554132145,ade,ml
167,1.2750889167993484,ade,ml
168,1.0307591190176366,ade,ml
169,0.578019356726619,ade,ml
170,1.0931300575282759,ade,ml
171,1.2786968804802077,ade,ml
172,0.6685531071184964,ade,ml
173,0.9955070017584292,ade,ml
174,0.3868246714824583,ade,ml
175,0.7360311685273823,ade,ml
176,0.5494796008545672,ade,ml
177,0.8451834557590701,ade,ml
178,1.3770998954435922,ade,ml
179,1.2139990467406778,ade,ml
180,1.0080640647454864,ade,ml
181,0.8939706843156573,ade,ml
182,0.5998552754437815,ade,ml
183,0.5568552943957519,ade,ml
184,0.21279383311990804,ade,ml
185,0.3375491259657058,ade,ml
186,0.3068140727237276,ade,ml
187,0.6067427816086332,ade,ml
188,0.5210737204984384,ade,ml
189,0.805322891782643,ade,ml
190,0.8052696811841199,ade,ml
191,1.0447628484182834,ade,ml
192,0.2984851836931551,ade,ml
193,0.5289863786878977,ade,ml
194,0.42716675585113645,ade,ml
195,1.623025299230455,ade,ml
196,1.9641826258007118,ade,ml
197,0.1545305614652719,ade,ml
198,0.2897946388746343,ade,ml
199,0.43081203177627686,ade,ml
200,0.2754955139614645,ade,ml
201,0.43364603578949174,ade,ml
202,0.5299453708157975,ade,ml
203,0.7802413109351879,ade,ml
204,0.9185647523748791,ade,ml
205,0.7409092621797589,ade,ml
206,0.3240697466818532,ade,ml
207,0.45170305935918537,ade,ml
208,0.2586982485131583,ade,ml
209,0.49650874419060465,ade,ml
210,0.6193212921617336,ade,ml
211,0.7173847082344312,ade,ml
212,0.8150769113956106,ade,ml
213,1.1910556291436518,ade,ml
214,0.7959756066331769,ade,ml
215,1.281676777321451,ade,ml
216,1.1685376948150232,ade,ml
217,1.5604199243723302,ade,ml
218,1.7250076714243576,ade,ml
219,1.929330607333385,ade,ml
220,1.868928620054196,ade,ml
221,2.4554754268276455,ade,ml
222,2.276731212715149,ade,ml
223,3.192835732618686,ade,ml
224,2.115025228529221,ade,ml
225,3.9430961253291144,ade,ml
226,2.1974834454809256,ade,ml
227,2.570780639039708,ade,ml
228,1.2301203489469656,ade,ml
229,0.6898772888608836,ade,ml
230,0.6462848161374174,ade,ml
231,0.2790341934559024,ade,ml
232,0.2307966051817333,ade,ml
233,0.6153836454071381,ade,ml
234,1.0470139352387067,ade,ml
235,1.5237379327311718,ade,ml
236,1.5897559660483456,ade,ml
237,1.240199292232983,ade,ml
238,1.1242038438953337,ade,ml
239,0.3776034127715191,ade,ml
240,0.4009801012244954,ade,ml
241,0.7010095706570949,ade,ml
242,1.1667844411967425,ade,ml
243,1.5524845971031302,ade,ml
