,value,metric,type
0,1.820189108075153,fde,ml
1,1.4109560843044238,fde,ml
2,2.2724151873759193,fde,ml
3,2.9140495359071767,fde,ml
4,1.619429196324236,fde,ml
5,0.8764222581593698,fde,ml
6,0.37980243392308094,fde,ml
7,2.4958144845776853,fde,ml
8,0.01776126998684013,fde,ml
9,0.6353706774647366,fde,ml
10,0.842577178218359,fde,ml
11,0.016300690699878776,fde,ml
12,0.46906731465992646,fde,ml
13,0.2215181505739457,fde,ml
14,0.03172646093445826,fde,ml
15,0.4760121170326053,fde,ml
16,0.21280003283969537,fde,ml
17,0.05408644736350609,fde,ml
18,0.46906731465992646,fde,ml
19,0.21446943562896958,fde,ml
20,0.07251967157224595,fde,ml
21,0.4378504201475093,fde,ml
22,0.2077895148390344,fde,ml
23,0.07251967157224595,fde,ml
24,0.4012939392233043,fde,ml
25,1.0175467065772945,fde,ml
26,0.07251967157224595,fde,ml
27,0.44172503077220826,fde,ml
28,1.503867000427161,fde,ml
29,0.07251967157224595,fde,ml
30,0.6852148350978834,fde,ml
31,0.3798018929014858,fde,ml
32,0.07812784657958274,fde,ml
33,2.7282033981168756,fde,ml
34,0.3912356853784651,fde,ml
35,0.07879565958983714,fde,ml
36,2.597879167973506,fde,ml
37,0.39953387717753003,fde,ml
38,0.08264759171544905,fde,ml
39,3.5727136749808794,fde,ml
40,1.0717503738172827,fde,ml
41,0.0792429782047568,fde,ml
42,2.5453624999086903,fde,ml
43,1.410738456652527,fde,ml
44,0.07669582270756095,fde,ml
45,1.0828594266337273,fde,ml
46,0.0778675161166282,fde,ml
47,1.8751765331510561,fde,ml
48,0.22256494360293635,fde,ml
49,0.5315837430201183,fde,ml
50,0.18713024302464124,fde,ml
51,0.5297721618277524,fde,ml
52,0.3325775102728403,fde,ml
53,0.40484946239707,fde,ml
54,0.11085208341380964,fde,ml
55,0.5361372185223864,fde,ml
56,0.10959198096232858,fde,ml
57,3.1091601842365586,fde,ml
58,0.11615414262758281,fde,ml
59,1.6620498300934048,fde,ml
60,1.7787406572917928,fde,ml
61,0.6060434423781839,fde,ml
62,0.7693599076392811,fde,ml
63,0.8412093517926216,fde,ml
64,3.651119017004627,fde,ml
65,3.987699240854661,fde,ml
66,1.0735229174803922,fde,ml
67,1.1386425276645211,fde,ml
68,1.1381874761653492,fde,ml
69,1.2279023940828062,fde,ml
70,0.7042776135973904,fde,ml
71,4.56536906457441,fde,ml
72,4.099122943781172,fde,ml
73,5.67221210466553,fde,ml
74,3.39308434938443,fde,ml
75,1.7022900300297186,fde,ml
76,1.4595339828327396,fde,ml
77,1.4526365311914575,fde,ml
78,1.5002683126649812,fde,ml
79,1.5232529804444057,fde,ml
80,1.5918094971700179,fde,ml
81,2.9379654165485234,fde,ml
82,0.4199443499082359,fde,ml
83,2.0028983785890357,fde,ml
84,0.9020918510631005,fde,ml
85,1.4485723868145068,fde,ml
86,0.2499998148287027,fde,ml
87,0.2390251180994652,fde,ml
88,0.39425908534191145,fde,ml
89,0.5362306773818374,fde,ml
90,2.1249053496630705,fde,ml
91,1.5050601306521378,fde,ml
92,3.116363390886472,fde,ml
93,2.906414217238969,fde,ml
94,2.9076277170460085,fde,ml
95,3.33555117574334,fde,ml
96,3.720302489805225,fde,ml
97,4.080315205818972,fde,ml
98,4.495822029457356,fde,ml
99,0.6301918215317005,fde,ml
100,5.094879468741612,fde,ml
101,3.509197909101536,fde,ml
102,0.39569058996276324,fde,ml
103,1.3734856908628852,fde,ml
104,0.6819086671027434,fde,ml
105,0.2385160688067874,fde,ml
106,1.3707365662263986,fde,ml
107,0.6588859301180505,fde,ml
108,1.49004240505755,fde,ml
109,1.6022707854471865,fde,ml
110,0.767754750042837,fde,ml
111,0.8706253864764529,fde,ml
112,0.42160334935961213,fde,ml
113,1.0176528218314034,fde,ml
114,1.146052444103371,fde,ml
115,2.0527516199177267,fde,ml
116,2.541442455658795,fde,ml
117,2.074548524331013,fde,ml
118,3.18804066756627,fde,ml
119,2.0580485705747193,fde,ml
120,2.22220601614468,fde,ml
121,5.257742921626352,fde,ml
122,4.588033040795617,fde,ml
123,5.742202386193114,fde,ml
124,4.324641943717261,fde,ml
125,1.7211478521892185,fde,ml
126,4.89263688473504,fde,ml
127,3.1576176977314327,fde,ml
128,3.124607886053379,fde,ml
129,3.513608544818539,fde,ml
130,3.9271239203295734,fde,ml
131,3.974016639785522,fde,ml
132,3.1484898193095403,fde,ml
133,2.48166146439086,fde,ml
134,2.795985668359291,fde,ml
135,2.2441897155604695,fde,ml
136,1.8571228953086827,fde,ml
137,1.8945038292990137,fde,ml
138,1.432929666469623,fde,ml
139,1.6482066127765784,fde,ml
140,0.9885861844976569,fde,ml
141,3.2059835524828086,fde,ml
142,1.6594429383713025,fde,ml
143,3.379984775120475,fde,ml
144,1.9270370971741893,fde,ml
145,0.5167522262043388,fde,ml
146,3.973665004290644,fde,ml
147,2.78259709768653,fde,ml
148,3.701526493963079,fde,ml
149,0.7143562079894857,fde,ml
150,1.948138682806447,fde,ml
151,2.9345757653636677,fde,ml
152,0.9237598773602295,fde,ml
153,0.7591124120316485,fde,ml
154,1.4963873521718414,fde,ml
155,0.6240880269740164,fde,ml
156,1.552284419986332,fde,ml
157,1.8923111486555046,fde,ml
158,2.6720950706131408,fde,ml
159,3.0119923202204752,fde,ml
160,3.1532661954708896,fde,ml
161,3.1706935635180833,fde,ml
162,0.4791280866666877,fde,ml
163,3.02826571074406,fde,ml
164,1.2047053133117884,fde,ml
165,1.7675921935032897,fde,ml
166,3.402687205275731,fde,ml
167,2.8515319839979525,fde,ml
168,3.012063998340094,fde,ml
169,3.7644987632506606,fde,ml
170,1.3297139728630107,fde,ml
171,1.34505785184434,fde,ml
172,4.244654261356707,fde,ml
173,1.1857137457921512,fde,ml
174,1.42806328306785,fde,ml
175,1.6022056130216111,fde,ml
176,1.0441999212804365,fde,ml
177,1.0553284526358173,fde,ml
178,1.0462299687646432,fde,ml
179,1.0517199460187079,fde,ml
180,3.752769931080801,fde,ml
181,0.36801569195710526,fde,ml
182,1.5610742083214038,fde,ml
183,0.787844645313164,fde,ml
184,1.564439390249175,fde,ml
185,1.2171223982950237,fde,ml
186,1.4413926596550444,fde,ml
187,1.5941711128879645,fde,ml
188,1.5964951313422207,fde,ml
189,1.592576495680824,fde,ml
190,1.5916390020972553,fde,ml
191,1.5930397257646622,fde,ml
192,1.5960150526515537,fde,ml
193,1.5453310656524604,fde,ml
194,2.1910298782588558,fde,ml
195,0.4901571991443315,fde,ml
196,0.10297572991643884,fde,ml
197,4.117738371014337,fde,ml
198,1.0632413817362085,fde,ml
199,1.234120308565169,fde,ml
200,1.068641007880316,fde,ml
201,1.2360198848325912,fde,ml
202,1.4450124919951166,fde,ml
203,1.5240898297012577,fde,ml
204,1.5631506027849362,fde,ml
205,0.2979339396322228,fde,ml
206,0.7022153218970381,fde,ml
207,2.0537173700576337,fde,ml
208,1.3710437043743906,fde,ml
209,1.3753771502485335,fde,ml
210,2.013561721979099,fde,ml
211,1.9649643793871812,fde,ml
212,2.4116314720563246,fde,ml
213,3.6176318730110975,fde,ml
214,2.9937130259055946,fde,ml
215,4.160619255352064,fde,ml
216,3.5294900319847162,fde,ml
217,4.963943751730243,fde,ml
218,4.236185130584007,fde,ml
219,6.449489992964604,fde,ml
220,5.932152754855857,fde,ml
221,6.077684272353723,fde,ml
222,6.6661078721921285,fde,ml
223,7.494006440896652,fde,ml
224,6.477463021248557,fde,ml
225,7.726845915666849,fde,ml
226,6.5711752714429705,fde,ml
227,9.662617015513813,fde,ml
228,5.837913360297926,fde,ml
229,9.280819603695482,fde,ml
230,4.216352495962097,fde,ml
231,3.313587133101834,fde,ml
232,1.9190145079701286,fde,ml
233,2.4395459225552627,fde,ml
234,2.3194871551199276,fde,ml
235,3.032743474762563,fde,ml
236,3.8830766056955133,fde,ml
237,4.680828890044858,fde,ml
238,5.015637191716848,fde,ml
239,3.678089705196035,fde,ml
240,4.3737673910135175,fde,ml
241,1.7325250296347148,fde,ml
242,1.3712430206577648,fde,ml
243,3.9745267979061913,fde,ml
244,4.026055906418782,fde,ml
245,5.206370558132116,fde,ml
246,4.750965828272696,fde,ml
247,3.0628378874408413,fde,ml
248,2.3145367999572377,fde,ml
249,1.2033105667833677,fde,ml
250,1.0576456111290793,fde,ml
251,0.8306078057620989,fde,ml
252,0.4952496840865117,fde,ml
253,1.111745966714437,fde,ml
254,1.1003928087543484,fde,ml
255,0.44832798861881257,fde,ml
256,0.591015344415119,fde,ml
257,1.8119951988766427,fde,ml
258,0.941828041353552,fde,ml
259,3.462689808117446,fde,ml
260,1.3254984430929542,fde,ml
261,1.8653889656034435,fde,ml
262,1.8880882020751133,fde,ml
263,1.8882397609927009,fde,ml
264,1.3025640301308175,fde,ml
265,2.230488924704552,fde,ml
