,value,metric,type
0,0.07956165629399493,ade,ml
1,0.4368492426543975,ade,ml
2,0.1172876980225046,ade,ml
3,0.08739578322647967,ade,ml
4,0.1731747248947717,ade,ml
5,0.4987562921834235,ade,ml
6,0.0789330237950656,ade,ml
7,0.27693418673068226,ade,ml
8,0.2042562087358191,ade,ml
9,0.42045839241055766,ade,ml
10,0.5635484707473571,ade,ml
11,0.5758153352293264,ade,ml
12,0.3778742174386247,ade,ml
13,0.684145662787296,ade,ml
14,0.22721879225691374,ade,ml
15,0.14918857705385527,ade,ml
16,0.17278895924457202,ade,ml
17,0.17358953098882404,ade,ml
18,0.2374621834819506,ade,ml
19,0.36288869396274853,ade,ml
20,1.1591547909279527,ade,ml
21,0.20190557207791357,ade,ml
22,0.5450016478287469,ade,ml
23,0.23114709509593925,ade,ml
24,0.29153381753360597,ade,ml
25,0.5466553532157681,ade,ml
26,0.776956699469668,ade,ml
27,0.1953367700064553,ade,ml
28,0.0589001668048623,ade,ml
29,0.3323472723942685,ade,ml
30,0.1592696005191527,ade,ml
31,0.07654508299518857,ade,ml
32,0.26946145133749816,ade,ml
33,1.0365166565454214,ade,ml
34,0.6235902461173777,ade,ml
35,0.45609533379574324,ade,ml
36,0.09721886259249529,ade,ml
37,0.2945386246428919,ade,ml
38,0.3330917328368622,ade,ml
39,1.2653989690000105,ade,ml
40,0.13305334232736185,ade,ml
41,0.15615106947181986,ade,ml
42,0.7250909323962009,ade,ml
43,0.5467531274570405,ade,ml
44,0.37923686726383915,ade,ml
45,0.5379459034830851,ade,ml
46,1.2760230507713775,ade,ml
47,0.8845051008371652,ade,ml
48,1.648645879361742,ade,ml
49,0.5750868183618537,ade,ml
50,0.3088910776104485,ade,ml
51,1.08864681726428,ade,ml
52,1.0161578025488331,ade,ml
53,0.09829234606491187,ade,ml
54,0.6934684897944069,ade,ml
55,1.2375251623949062,ade,ml
56,0.7524967162030095,ade,ml
57,0.1063424545440791,ade,ml
58,0.5438416878489832,ade,ml
59,0.1405744183615387,ade,ml
60,0.13864706117930725,ade,ml
61,0.22707771733301238,ade,ml
62,0.3954402338520209,ade,ml
63,0.09392852296642057,ade,ml
64,0.2590438179674164,ade,ml
65,0.27870331647072866,ade,ml
66,0.6088931284014839,ade,ml
67,0.6931800753002509,ade,ml
68,0.7400017445462393,ade,ml
69,0.5947376279322869,ade,ml
70,0.28241422196611804,ade,ml
71,0.16953238564116155,ade,ml
72,0.2402070128274266,ade,ml
73,0.09990734637879055,ade,ml
74,0.35934203707335494,ade,ml
75,1.2153272648694593,ade,ml
76,0.1545691404589977,ade,ml
77,0.6742165783913047,ade,ml
78,0.37096087951260664,ade,ml
79,0.6145122940375499,ade,ml
80,0.23584380291516957,ade,ml
81,0.24236970196663823,ade,ml
82,0.05850179214128535,ade,ml
83,0.41267420882178013,ade,ml
84,0.13325112548524998,ade,ml
85,0.050926282949726814,ade,ml
86,0.4652793969449547,ade,ml
87,1.2648253147634103,ade,ml
