,value,metric,type
0,0.1253708026279217,fde,best_of
1,0.27056676573235755,fde,best_of
2,0.13279022453226907,fde,best_of
3,0.1473803185734936,fde,best_of
4,0.3230685133192427,fde,best_of
5,0.39048656305096824,fde,best_of
6,0.046339557131009776,fde,best_of
7,0.07374333621114254,fde,best_of
8,0.5780151803439972,fde,best_of
9,0.4630746164881583,fde,best_of
10,0.6765082647642491,fde,best_of
11,0.7616929747932478,fde,best_of
12,0.31765826279644693,fde,best_of
13,0.4523581980758866,fde,best_of
14,0.25545742031325225,fde,best_of
15,0.16187807815956456,fde,best_of
16,0.31281718315981255,fde,best_of
17,0.31447281750691397,fde,best_of
18,0.32920044983214525,fde,best_of
19,0.11134857434781043,fde,best_of
20,1.2808981641285757,fde,best_of
21,0.3228299391062959,fde,best_of
22,0.7378468027589945,fde,best_of
23,0.3650958675603376,fde,best_of
24,0.49542977957589873,fde,best_of
25,0.5165752062278769,fde,best_of
26,0.32376210693149166,fde,best_of
27,0.5463113106404757,fde,best_of
28,0.12181519926734424,fde,best_of
29,0.4274067872641074,fde,best_of
30,0.07371385717161494,fde,best_of
31,0.18265408189839,fde,best_of
32,0.28824826868917813,fde,best_of
33,1.358297091347491,fde,best_of
34,0.08111478714495185,fde,best_of
35,0.5404358238573004,fde,best_of
36,0.21163210554743886,fde,best_of
37,0.2637031301022252,fde,best_of
38,0.2312930073342448,fde,best_of
39,1.3762712633654033,fde,best_of
40,0.06613959701489415,fde,best_of
41,0.2085754658885031,fde,best_of
42,0.22016471325373768,fde,best_of
43,0.4936881089006986,fde,best_of
44,0.2069038917189912,fde,best_of
45,0.2926279992289674,fde,best_of
46,0.8074702656698529,fde,best_of
47,0.533955574603336,fde,best_of
48,1.5148939036879372,fde,best_of
49,0.5461135034894026,fde,best_of
50,0.3236161770756521,fde,best_of
51,0.22788198278708846,fde,best_of
52,0.04946666977481898,fde,best_of
53,0.08928178521209156,fde,best_of
54,0.35152735949654107,fde,best_of
55,1.0761312053321375,fde,best_of
56,0.9954218584176063,fde,best_of
57,0.18053924385244047,fde,best_of
58,0.19649582417089279,fde,best_of
59,0.25677327887096196,fde,best_of
60,0.18592032138723605,fde,best_of
61,0.24592859598084682,fde,best_of
62,0.32167136043245975,fde,best_of
63,0.12648837268953175,fde,best_of
64,0.31067730639085145,fde,best_of
65,0.3894211624431229,fde,best_of
66,1.571286489134742,fde,best_of
67,0.9807467039626889,fde,best_of
68,0.23707153373937637,fde,best_of
69,0.3003174728675483,fde,best_of
70,0.5537438304802199,fde,best_of
71,0.33426718511060977,fde,best_of
72,0.723347840640188,fde,best_of
73,0.23422481238960333,fde,best_of
74,0.18353760188279108,fde,best_of
75,0.9081302637761459,fde,best_of
76,0.21390212291712982,fde,best_of
77,0.7763378085647046,fde,best_of
78,0.2126268680596072,fde,best_of
79,0.4134546846801266,fde,best_of
80,0.39235473537240395,fde,best_of
81,0.3828287246931981,fde,best_of
82,0.026725073048115083,fde,best_of
83,0.5071645732891975,fde,best_of
84,0.21449011875354698,fde,best_of
85,0.08652624755187481,fde,best_of
86,0.04146444503541376,fde,best_of
87,1.7257045316907094,fde,best_of
88,0.23485303229404605,fde,best_of
89,0.3723615353849374,fde,best_of
90,0.21580712085386203,fde,best_of
91,0.33105913936332,fde,best_of
92,0.08492753221142926,fde,best_of
93,0.12399980298134687,fde,best_of
94,0.15357362841432304,fde,best_of
95,0.43478338939590644,fde,best_of
96,0.27644549837064036,fde,best_of
97,0.4317327466612119,fde,best_of
98,1.512766260920778,fde,best_of
99,0.7366237383249908,fde,best_of
100,0.21260556492608004,fde,best_of
101,1.0244327724331668,fde,best_of
102,0.3676945674381956,fde,best_of
103,0.17325537694233928,fde,best_of
104,0.5410833424899403,fde,best_of
105,0.11380130357110085,fde,best_of
106,1.1459102531120473,fde,best_of
107,0.09917672939801556,fde,best_of
108,0.33278686484575615,fde,best_of
109,0.13621494456069155,fde,best_of
110,0.7078016749650489,fde,best_of
111,0.271142509186257,fde,best_of
112,0.39504836390540354,fde,best_of
113,0.45283741012091605,fde,best_of
114,0.27248835371127655,fde,best_of
115,0.15869337151735755,fde,best_of
116,0.3607145791668754,fde,best_of
117,0.3902939926006084,fde,best_of
118,0.3983359680432573,fde,best_of
119,0.5793663833869435,fde,best_of
120,1.5925625998393758,fde,best_of
121,0.7272154928292746,fde,best_of
122,0.029759161434733943,fde,best_of
123,0.17910040552247233,fde,best_of
124,1.0035573568942784,fde,best_of
125,0.20946977078337786,fde,best_of
126,0.7431914963416,fde,best_of
127,0.39335686187488306,fde,best_of
128,0.2804553146877504,fde,best_of
129,0.8075082450826253,fde,best_of
130,0.6783363780864949,fde,best_of
131,0.7638571742731255,fde,best_of
132,0.3768692884549862,fde,best_of
133,0.15227359802875004,fde,best_of
134,0.1396284179887509,fde,best_of
135,0.5243558808620504,fde,best_of
136,0.16479044454493574,fde,best_of
137,0.1995095266474259,fde,best_of
138,0.21770812296187558,fde,best_of
139,1.9855171960967013,fde,best_of
140,0.35549661744268235,fde,best_of
141,0.392663857375933,fde,best_of
142,0.26911325532328817,fde,best_of
143,0.12811466048861175,fde,best_of
144,0.1252435433191647,fde,best_of
145,0.2274796700691212,fde,best_of
146,0.018913132265902695,fde,best_of
147,0.4170149116071648,fde,best_of
148,0.07329822610517175,fde,best_of
149,1.139999094227164,fde,best_of
150,0.5201664758057747,fde,best_of
151,0.30558792248334055,fde,best_of
152,0.9074771604025211,fde,best_of
153,0.22536160544069353,fde,best_of
154,0.16758648205772153,fde,best_of
155,0.8996594437146377,fde,best_of
156,0.30413811499971394,fde,best_of
157,1.7158513925719217,fde,best_of
158,0.2352111057116439,fde,best_of
159,0.3356909822070319,fde,best_of
160,0.20253748466035698,fde,best_of
161,0.21212586745369802,fde,best_of
162,0.07744423752401582,fde,best_of
163,0.1518400828855283,fde,best_of
164,0.15246988708424597,fde,best_of
165,0.39199489595885556,fde,best_of
166,0.37680565492877965,fde,best_of
167,0.14540808995948715,fde,best_of
168,0.4982888175531022,fde,best_of
169,1.727144158583089,fde,best_of
170,0.9865609543789228,fde,best_of
171,1.8765228801446772,fde,best_of
172,0.4755392953247556,fde,best_of
173,0.042361862992359944,fde,best_of
174,0.36620864559390315,fde,best_of
175,1.1950189246646243,fde,best_of
176,0.31532631125085436,fde,best_of
177,0.1048393636075147,fde,best_of
178,0.4176933523206588,fde,best_of
179,0.3770582823148399,fde,best_of
180,0.6266972821586645,fde,best_of
181,0.4153906299581829,fde,best_of
182,0.11353436994629473,fde,best_of
183,0.16079089877990188,fde,best_of
184,0.4075565889981351,fde,best_of
185,0.27241548560223705,fde,best_of
186,0.3189915736274703,fde,best_of
187,0.3967342917348529,fde,best_of
188,0.2920523681721708,fde,best_of
189,0.578773165327085,fde,best_of
190,0.3068320117167362,fde,best_of
191,0.3423283532897122,fde,best_of
192,0.42886259615536504,fde,best_of
193,0.22282859900201835,fde,best_of
194,0.1804428817604831,fde,best_of
195,0.21406340350334505,fde,best_of
196,0.2981164821720635,fde,best_of
197,0.45539245027779074,fde,best_of
198,0.19789998918048998,fde,best_of
199,0.15155002646787621,fde,best_of
