,value,metric,type
0,0.004811809828432165,ade,best_of
1,0.008253834420768625,ade,best_of
2,0.014693612032605647,ade,best_of
3,0.0035950054643717998,ade,best_of
4,0.01667806975411797,ade,best_of
5,0.01544937560809736,ade,best_of
6,0.004297944198048948,ade,best_of
7,0.00971008014749985,ade,best_of
8,0.027061178194760904,ade,best_of
9,0.0054322571329773655,ade,best_of
10,0.013837819452277368,ade,best_of
11,0.040493920043524416,ade,best_of
12,0.005821954671196177,ade,best_of
13,0.09068952400682921,ade,best_of
14,0.04144621353565049,ade,best_of
15,0.007181100124929923,ade,best_of
16,0.007156747993438871,ade,best_of
17,0.0396186796035733,ade,best_of
18,0.008174886978148235,ade,best_of
19,0.006384338998107735,ade,best_of
20,0.04106991652812173,ade,best_of
21,0.23720000418630127,ade,best_of
22,0.3485840953697867,ade,best_of
23,0.2408476335289854,ade,best_of
24,0.2774778581865766,ade,best_of
25,0.3356596368659032,ade,best_of
26,0.3426990595698102,ade,best_of
27,0.28117594829458986,ade,best_of
28,0.30475027309925956,ade,best_of
29,0.14698826211952096,ade,best_of
30,0.2238027168218665,ade,best_of
31,0.38187948227783225,ade,best_of
32,0.21534694696026277,ade,best_of
33,0.12651469761908166,ade,best_of
34,0.20018548273726378,ade,best_of
35,0.2937418756636037,ade,best_of
36,0.3190095393976638,ade,best_of
37,0.17900362296307895,ade,best_of
38,0.39883969994413015,ade,best_of
39,0.2043299322483215,ade,best_of
40,0.33343820750571057,ade,best_of
41,0.24971411906104002,ade,best_of
42,0.22465770245191977,ade,best_of
43,0.2497476302189721,ade,best_of
44,0.29143908091558346,ade,best_of
45,0.19747147047167993,ade,best_of
46,0.2016358067900116,ade,best_of
47,0.5711239428021009,ade,best_of
48,0.30414315736147646,ade,best_of
49,0.09913734605648782,ade,best_of
50,0.15061309938008915,ade,best_of
51,0.07714002075070132,ade,best_of
52,0.3079381014806999,ade,best_of
53,0.22084204093739648,ade,best_of
54,0.05013763951330971,ade,best_of
55,0.02827765090185574,ade,best_of
56,0.030515490413669858,ade,best_of
57,0.030425671420856042,ade,best_of
58,0.0353948269031908,ade,best_of
59,0.041988119065771566,ade,best_of
60,0.0528978318963414,ade,best_of
61,0.061294822689881866,ade,best_of
62,0.058028470393413405,ade,best_of
63,0.28255074106091416,ade,best_of
64,0.34860568652916735,ade,best_of
65,0.00753846782859895,ade,best_of
66,0.004847310326437373,ade,best_of
67,0.7674281891132734,ade,best_of
68,0.008903836991157573,ade,best_of
69,0.005428261488325388,ade,best_of
70,0.08531025755331824,ade,best_of
71,0.004289193905046843,ade,best_of
72,0.004170475238105577,ade,best_of
73,0.05980603370631194,ade,best_of
74,0.0057489638909064555,ade,best_of
75,0.005405900625519633,ade,best_of
76,0.07533575649034464,ade,best_of
77,0.005296920664365692,ade,best_of
78,0.005062638352187411,ade,best_of
79,0.17573067241592444,ade,best_of
80,0.3471744948068138,ade,best_of
81,0.15875497532359542,ade,best_of
82,0.2223313932405591,ade,best_of
83,0.08947350623813355,ade,best_of
84,0.22495297431921404,ade,best_of
85,0.15439224697794418,ade,best_of
86,0.15737173979683608,ade,best_of
87,0.01801570579806894,ade,best_of
88,0.01842584429125593,ade,best_of
89,0.02076317985474317,ade,best_of
90,0.4267349442615656,ade,best_of
91,0.22788442870988304,ade,best_of
92,0.19980041886265645,ade,best_of
93,0.05620684828182721,ade,best_of
94,0.09403015930030152,ade,best_of
95,0.10342676831169283,ade,best_of
