,value,metric,type
0,0.006319369793712555,ade,ml
1,0.017362761825503906,ade,ml
2,0.01566680272538842,ade,ml
3,0.006505703115804445,ade,ml
4,0.017593942019009583,ade,ml
5,0.01633656002579865,ade,ml
6,0.006985665045553105,ade,ml
7,0.02030253353658007,ade,ml
8,0.026269579063376295,ade,ml
9,0.00251281086607091,ade,ml
10,0.021773887433802316,ade,ml
11,0.03906359418246787,ade,ml
12,0.005257872659602339,ade,ml
13,0.12722619135430602,ade,ml
14,0.039763665420575516,ade,ml
15,0.006513207286896861,ade,ml
16,0.003593422660564846,ade,ml
17,0.04010315379672271,ade,ml
18,0.009502273323958347,ade,ml
19,0.007427281827349225,ade,ml
20,0.040880914187293456,ade,ml
21,0.4432778427893944,ade,ml
22,0.7012673763026336,ade,ml
23,0.5408460644887904,ade,ml
24,0.4521606443281281,ade,ml
25,0.6975464354533331,ade,ml
26,0.6403878684757879,ade,ml
27,0.5954455209523176,ade,ml
28,0.529164045114979,ade,ml
29,0.48070270614981664,ade,ml
30,0.13409298693658886,ade,ml
31,0.6971122493392298,ade,ml
32,0.423596895502575,ade,ml
33,0.22732654823323706,ade,ml
34,0.2588536103920397,ade,ml
35,0.3102243117751903,ade,ml
36,0.5729055871912767,ade,ml
37,0.13128817661031103,ade,ml
38,0.6221482279780052,ade,ml
39,0.3343510224805312,ade,ml
40,0.5921516951456723,ade,ml
41,0.40545034934382423,ade,ml
42,0.15986751515099634,ade,ml
43,0.48937111068334477,ade,ml
44,0.6067990086057201,ade,ml
45,0.5199105511274422,ade,ml
46,0.28341777034412335,ade,ml
47,0.7184330531358197,ade,ml
48,0.6973267760768181,ade,ml
49,0.1499016387414119,ade,ml
50,0.16556124012123993,ade,ml
51,0.2623436304005073,ade,ml
52,0.36454947456986964,ade,ml
53,0.2646518049716602,ade,ml
54,0.05754604394001659,ade,ml
55,0.032569804560767225,ade,ml
56,0.02797365972702906,ade,ml
57,0.032025762374540655,ade,ml
58,0.037172995300730954,ade,ml
59,0.043500311096049765,ade,ml
60,0.054122089835940995,ade,ml
61,0.06387269210286056,ade,ml
62,0.0680492320204802,ade,ml
63,0.8858775039686715,ade,ml
64,0.5955763762725589,ade,ml
65,0.005904809196218248,ade,ml
66,0.0050214747324886745,ade,ml
67,1.0266390593288488,ade,ml
68,0.005904809196218248,ade,ml
69,0.0050214747324886745,ade,ml
70,0.10089522547123793,ade,ml
71,0.005904809196218248,ade,ml
72,0.0050214747324886745,ade,ml
