,value,metric,type
0,0.0017363610180957602,fde,best_of
1,0.00432195446132951,fde,best_of
2,0.0005054955362288365,fde,best_of
3,0.0026520020120937874,fde,best_of
4,0.01973786129922507,fde,best_of
5,0.008088262617814514,fde,best_of
6,0.0026327057104818447,fde,best_of
7,0.005552209663002164,fde,best_of
8,0.07339204203270126,fde,best_of
9,0.006195549866496897,fde,best_of
10,0.004892203209706503,fde,best_of
11,0.05523164494093098,fde,best_of
12,0.0018240316203012952,fde,best_of
13,0.16914620918022494,fde,best_of
14,0.0036867762176132834,fde,best_of
15,0.0038938234178504325,fde,best_of
16,0.001590265771952278,fde,best_of
17,0.00724106800865723,fde,best_of
18,0.004033756501420462,fde,best_of
19,0.007160194414411069,fde,best_of
20,0.003710388748030268,fde,best_of
21,0.4131518441540724,fde,best_of
22,0.798143402568864,fde,best_of
23,0.18701241845785652,fde,best_of
24,0.2123223759813841,fde,best_of
25,0.6183876623845871,fde,best_of
26,0.14762057100301051,fde,best_of
27,0.5579068825922867,fde,best_of
28,0.3726595454461097,fde,best_of
29,0.024396299307139442,fde,best_of
30,0.26750449913952434,fde,best_of
31,0.33820685285117613,fde,best_of
32,0.46486005253965895,fde,best_of
33,0.277557898943108,fde,best_of
34,0.40543952361552466,fde,best_of
35,0.1538727065935403,fde,best_of
36,0.35360285290449994,fde,best_of
37,0.27473693938364785,fde,best_of
38,0.7898932704529451,fde,best_of
39,0.5835861767307733,fde,best_of
40,0.4033097763802154,fde,best_of
41,0.3506323010448996,fde,best_of
42,0.21152743039583186,fde,best_of
43,0.1293807384423854,fde,best_of
44,0.7483432748344244,fde,best_of
45,0.4841022781133373,fde,best_of
46,0.3369811090612312,fde,best_of
47,1.2120730964573574,fde,best_of
48,1.0030646847569646,fde,best_of
49,0.09034574416709655,fde,best_of
50,0.16463696659013324,fde,best_of
51,0.07955090878771379,fde,best_of
52,0.3007635087715543,fde,best_of
53,0.1786062169116428,fde,best_of
54,0.07499557205067983,fde,best_of
55,0.0019860447345744284,fde,best_of
56,0.004821757765752954,fde,best_of
57,0.007113829924290678,fde,best_of
58,0.038298728915697244,fde,best_of
59,0.07795446790494243,fde,best_of
60,0.10727464200103293,fde,best_of
61,0.10729842751820429,fde,best_of
62,0.025523688441292717,fde,best_of
63,0.3961411485609671,fde,best_of
64,0.5783221885777169,fde,best_of
65,0.006393013783141532,fde,best_of
66,0.0019848072402966405,fde,best_of
67,1.430262158195774,fde,best_of
68,0.0074865093583595934,fde,best_of
69,0.0072149978912432414,fde,best_of
70,0.13364185323909086,fde,best_of
71,0.00457967074171443,fde,best_of
72,0.0016617176647547812,fde,best_of
73,0.041694181803158,fde,best_of
74,0.0021501278590441717,fde,best_of
75,0.011225285761607029,fde,best_of
76,0.14956734075522052,fde,best_of
77,0.001811505613154794,fde,best_of
78,0.0052659191552236265,fde,best_of
79,0.35802441908955945,fde,best_of
80,0.6293586490635223,fde,best_of
81,0.24023138929369595,fde,best_of
82,0.06374523813937578,fde,best_of
83,0.07303668085635356,fde,best_of
84,0.46065522306100404,fde,best_of
85,0.44570660440848503,fde,best_of
86,0.3198121436210244,fde,best_of
87,0.002350574871009335,fde,best_of
88,0.0022690391033743634,fde,best_of
89,0.01228323732090825,fde,best_of
90,0.9589502794789795,fde,best_of
91,0.4333226541927665,fde,best_of
92,0.0997093551897343,fde,best_of
93,0.2558581595676269,fde,best_of
94,0.17865914039846312,fde,best_of
95,0.2556150462582629,fde,best_of
96,0.22800848231392706,fde,best_of
97,0.3055197309476515,fde,best_of
98,0.15301986398888637,fde,best_of
99,0.22827599957526085,fde,best_of
100,0.29631700357091917,fde,best_of
101,0.2877166875909087,fde,best_of
102,0.10451045303846723,fde,best_of
103,0.3063652134770143,fde,best_of
104,0.843602279416531,fde,best_of
105,0.5172444741821683,fde,best_of
106,0.0304920163057739,fde,best_of
107,0.016010209724778433,fde,best_of
108,0.004167016157650798,fde,best_of
109,0.011313082771161912,fde,best_of
110,0.00598335373387804,fde,best_of
111,0.007591671813024182,fde,best_of
112,0.011573557112162963,fde,best_of
113,0.006460096438889515,fde,best_of
114,0.008055454189634976,fde,best_of
115,0.005546449149990725,fde,best_of
116,0.010239763160712524,fde,best_of
117,0.003251580058369541,fde,best_of
118,0.006473013684776174,fde,best_of
119,0.004521930053614354,fde,best_of
120,0.009257287898754615,fde,best_of
121,0.007405566083619943,fde,best_of
122,0.0036513180997465957,fde,best_of
123,0.010652762757641966,fde,best_of
124,0.004507439491342873,fde,best_of
125,0.01219818200204667,fde,best_of
126,0.007883010378536738,fde,best_of
127,0.009838187888356366,fde,best_of
128,0.012048322129899681,fde,best_of
129,0.0022045468242506256,fde,best_of
130,0.004134821283226139,fde,best_of
131,0.01638288396176134,fde,best_of
132,0.005556888186093145,fde,best_of
133,0.0012470811965411945,fde,best_of
134,0.009486346522388087,fde,best_of
135,0.006451384201886263,fde,best_of
136,0.010329983088192071,fde,best_of
137,0.0055503529257702805,fde,best_of
138,0.004550406668335231,fde,best_of
139,0.007176254048938147,fde,best_of
140,0.5490572160887798,fde,best_of
141,0.8229052597995385,fde,best_of
142,0.16874832438129964,fde,best_of
143,0.8778414525148146,fde,best_of
144,0.6462835773310912,fde,best_of
145,0.27105539079357893,fde,best_of
146,0.4257414281674172,fde,best_of
147,0.34958080291883936,fde,best_of
148,0.8477002875743135,fde,best_of
149,0.8048733125581665,fde,best_of
150,0.011757763880465066,fde,best_of
151,0.004422326669110229,fde,best_of
152,0.5348366622138949,fde,best_of
153,0.4365085522277435,fde,best_of
154,0.01611933086860273,fde,best_of
155,0.0021291097797759067,fde,best_of
156,0.12511305774031792,fde,best_of
157,0.36620192530494755,fde,best_of
158,0.017029473971363698,fde,best_of
159,0.004981049061615092,fde,best_of
160,0.33658236326803537,fde,best_of
161,1.2783198626980217,fde,best_of
162,0.009426813846904575,fde,best_of
163,0.003412802419329537,fde,best_of
164,0.4081923386203327,fde,best_of
165,0.3020034847580435,fde,best_of
166,0.0058606048037714315,fde,best_of
167,0.0010038538637599274,fde,best_of
168,1.016282104319969,fde,best_of
169,0.891933666028902,fde,best_of
170,0.0813161992854807,fde,best_of
171,0.0010547703751938324,fde,best_of
