,value,metric,type
0,0.010273418915525488,fde,ml
1,0.022896855151899573,fde,ml
2,0.01498099890407876,fde,ml
3,0.010578008517883795,fde,ml
4,0.0204761328055685,fde,ml
5,0.009757818864001,fde,ml
6,0.00895987255878941,fde,ml
7,0.022934357350155653,fde,ml
8,0.14526057093425326,fde,ml
9,0.0019797684897302817,fde,ml
10,0.02300570898477939,fde,ml
11,0.1541889826293361,fde,ml
12,0.008899932151764406,fde,ml
13,0.22795651268087314,fde,ml
14,0.009954215598845347,fde,ml
15,0.013171269308800642,fde,ml
16,0.020319019639536702,fde,ml
17,0.014352016541087163,fde,ml
18,0.027935243939388003,fde,ml
19,0.024052349176732317,fde,ml
20,0.013874628320819146,fde,ml
21,1.1396510003746898,fde,ml
22,1.4268445841931392,fde,ml
23,1.1733681688752713,fde,ml
24,1.0575255684325164,fde,ml
25,1.528186116555316,fde,ml
26,1.4059753148042728,fde,ml
27,1.2710373610414947,fde,ml
28,1.3613146562026472,fde,ml
29,1.0165079501075787,fde,ml
30,0.3738449448632297,fde,ml
31,1.2384613159007922,fde,ml
32,1.085806751372336,fde,ml
33,0.4691053892695159,fde,ml
34,0.6292717526222819,fde,ml
35,0.5946315812851634,fde,ml
36,1.2421763803859236,fde,ml
37,0.27812014314062294,fde,ml
38,1.2316294693335732,fde,ml
39,0.7317645802095217,fde,ml
40,0.992125600469569,fde,ml
41,1.0845279608661864,fde,ml
42,0.23295526821869197,fde,ml
43,0.6979459234034314,fde,ml
44,1.6460429632506077,fde,ml
45,0.8689042943679787,fde,ml
46,0.25577768559577274,fde,ml
47,1.8038896995656428,fde,ml
48,1.6333967334840407,fde,ml
49,0.1832418967119866,fde,ml
50,0.18317835636228222,fde,ml
51,0.532501306414893,fde,ml
52,0.6721083698026391,fde,ml
53,0.49776240435497077,fde,ml
54,0.10950669575540785,fde,ml
55,0.0097137981582799,fde,ml
56,0.005931634367781305,fde,ml
57,0.013585883107698813,fde,ml
58,0.058557225115629705,fde,ml
59,0.09882410684455396,fde,ml
60,0.13646484764055386,fde,ml
61,0.11805195312348571,fde,ml
62,0.0508378151758338,fde,ml
63,1.4766737388651772,fde,ml
64,0.9413457256061971,fde,ml
65,0.006707070924633141,fde,ml
66,0.004774081122396181,fde,ml
67,1.8597524436670938,fde,ml
68,0.006707070924633141,fde,ml
69,0.004774081122396181,fde,ml
70,0.18852321440320924,fde,ml
71,0.006707070924633141,fde,ml
72,0.004774081122396181,fde,ml
73,0.06416393605654291,fde,ml
74,0.006707070924633141,fde,ml
75,0.010940862318384098,fde,ml
76,0.16180373068814446,fde,ml
77,0.01962556361929308,fde,ml
78,0.015825457416939602,fde,ml
79,0.38195550766861014,fde,ml
80,0.646453227018561,fde,ml
81,0.5892709460780083,fde,ml
82,0.6558523988029125,fde,ml
83,0.12210834542238114,fde,ml
84,0.66044076582891,fde,ml
85,0.7962951903231514,fde,ml
86,0.4108418688856415,fde,ml
87,0.0027943153815493636,fde,ml
88,0.005916027423774502,fde,ml
89,0.004074746655889273,fde,ml
90,1.4687921485253022,fde,ml
91,0.6910285196598779,fde,ml
92,0.6289316617000987,fde,ml
93,0.2939789526391279,fde,ml
94,0.3098192427412238,fde,ml
95,0.316922428894852,fde,ml
96,0.3190553185992289,fde,ml
97,0.3188659009847979,fde,ml
98,0.3189750171829078,fde,ml
99,0.31877034421976236,fde,ml
100,0.3187945679426217,fde,ml
101,0.3188515876925932,fde,ml
102,0.19744623614771004,fde,ml
103,0.9540561549432117,fde,ml
104,1.3972912550576466,fde,ml
105,0.9393240598203774,fde,ml
106,0.12088893616846724,fde,ml
107,0.018458399238460113,fde,ml
108,0.0036498721280142318,fde,ml
109,0.0025840703093285675,fde,ml
110,0.0035431611527989735,fde,ml
111,0.0041519983513989105,fde,ml
112,0.004424873688109953,fde,ml
113,0.004332979156812775,fde,ml
114,0.004208323851370469,fde,ml
115,0.004191515738848469,fde,ml
116,0.004191515738848469,fde,ml
117,0.004191515738848469,fde,ml
118,0.004191515738848469,fde,ml
119,0.004191515738848469,fde,ml
120,0.004191515738848469,fde,ml
121,0.004191515738848469,fde,ml
122,0.004191515738848469,fde,ml
123,0.004191515738848469,fde,ml
124,0.004191515738848469,fde,ml
125,0.004191515738848469,fde,ml
126,0.004191515738848469,fde,ml
127,0.004191515738848469,fde,ml
128,0.004191515738848469,fde,ml
129,0.004191515738848469,fde,ml
130,0.004191515738848469,fde,ml
131,0.004191515738848469,fde,ml
132,0.004191515738848469,fde,ml
133,0.004191515738848469,fde,ml
134,0.004191515738848469,fde,ml
135,0.004191515738848469,fde,ml
136,0.004191515738848469,fde,ml
137,0.004191515738848469,fde,ml
138,0.004191515738848469,fde,ml
139,0.004191515738848469,fde,ml
140,0.9176567675326764,fde,ml
141,1.4650209712674627,fde,ml
142,1.2150282821938811,fde,ml
143,1.5916970237037316,fde,ml
144,1.3485792068524836,fde,ml
145,0.8342454667036361,fde,ml
146,1.861457678841495,fde,ml
147,0.9111089019168107,fde,ml
148,1.3934525685566932,fde,ml
149,1.8499021865546685,fde,ml
150,0.020556147835391777,fde,ml
151,0.013656309217857297,fde,ml
152,1.5796934427961977,fde,ml
153,1.444571935773164,fde,ml
154,0.02375032838006962,fde,ml
155,0.011235074555582229,fde,ml
156,0.6749001215225838,fde,ml
157,0.8198297149917776,fde,ml
158,0.025745516685198533,fde,ml
159,0.011900664443228449,fde,ml
160,0.5522323984415023,fde,ml
161,1.9896051194020092,fde,ml
162,0.024146400747617543,fde,ml
163,0.009047837797474832,fde,ml
164,0.08068162550848096,fde,ml
165,0.8130671593552868,fde,ml
166,0.031246510926988685,fde,ml
167,0.006201910176836687,fde,ml
168,1.949569746602824,fde,ml
169,1.6463946915148677,fde,ml
170,0.14474440135890412,fde,ml
171,0.005758685040556382,fde,ml
172,0.668809936751154,fde,ml
173,1.120155088332953,fde,ml
174,0.1263233572789364,fde,ml
175,0.005274944368786548,fde,ml
176,0.8575167978579324,fde,ml
177,1.026418095491785,fde,ml
178,0.004551964922924808,fde,ml
179,0.02837652921926261,fde,ml
180,0.05955454261651891,fde,ml
181,0.008860255051367564,fde,ml
182,0.56404540613348,fde,ml
183,1.3555820353263994,fde,ml
184,0.2928759620721552,fde,ml
185,0.008328600887071935,fde,ml
186,1.0091844752884866,fde,ml
187,1.1592941910909715,fde,ml
188,0.13852167576072602,fde,ml
189,0.008463844534669102,fde,ml
190,0.8468262163670033,fde,ml
191,0.7735262710083962,fde,ml
192,0.2037562028254087,fde,ml
193,0.005416104077724652,fde,ml
194,0.35571675574190237,fde,ml
195,0.9059995566282081,fde,ml
196,0.23452425084695883,fde,ml
197,0.017951277353228583,fde,ml
198,0.8160772315793451,fde,ml
199,0.7434167639556135,fde,ml
200,0.2556502695666356,fde,ml
201,0.013165791389306144,fde,ml
202,1.101169789422424,fde,ml
203,0.9322978534276165,fde,ml
204,0.21488033248395452,fde,ml
205,0.008966080044841054,fde,ml
206,1.3774023802808835,fde,ml
207,0.4267134678585474,fde,ml
208,0.17025897745949214,fde,ml
209,0.00982414692262792,fde,ml
210,0.8536246594319808,fde,ml
211,0.46292503388913625,fde,ml
212,0.024733668581370136,fde,ml
213,0.009655427150290368,fde,ml
214,1.0395343721349837,fde,ml
215,1.1970407275900838,fde,ml
216,0.33534117210454073,fde,ml
217,0.012732846493496826,fde,ml
218,0.7563541062436572,fde,ml
219,0.7642497543146008,fde,ml
220,0.35254993931777184,fde,ml
221,0.0195129973969099,fde,ml
