,value,metric,type
0,0.005188842681526442,ade,best_of
1,0.008048392329677355,ade,best_of
2,0.014501182024829666,ade,best_of
3,0.00650438756084195,ade,best_of
4,0.009379256659597685,ade,best_of
5,0.018226988774171466,ade,best_of
6,0.005443269259875739,ade,best_of
7,0.007824376297163352,ade,best_of
8,0.02837994436291642,ade,best_of
9,0.005567893837855949,ade,best_of
10,0.010506349065543465,ade,best_of
11,0.0402963043678348,ade,best_of
12,0.007656041222394529,ade,best_of
13,0.059586246684558926,ade,best_of
14,0.040574524998449844,ade,best_of
15,0.010114490342905616,ade,best_of
16,0.009606976570616321,ade,best_of
17,0.04275650892985089,ade,best_of
18,0.009770067058778866,ade,best_of
19,0.010164182352564886,ade,best_of
20,0.042400507702707924,ade,best_of
21,0.14383466072146966,ade,best_of
22,0.3355455420514611,ade,best_of
23,0.262416441002593,ade,best_of
24,0.20686681499052326,ade,best_of
25,0.29024144506324556,ade,best_of
26,0.4008191984347494,ade,best_of
27,0.16213393382756858,ade,best_of
28,0.206304860999044,ade,best_of
29,0.18979974893728221,ade,best_of
30,0.18295225948575,ade,best_of
31,0.2655289262824473,ade,best_of
32,0.12813194987925822,ade,best_of
33,0.10446809014742355,ade,best_of
34,0.19700276405229392,ade,best_of
35,0.25071268994149704,ade,best_of
36,0.12699980367007946,ade,best_of
37,0.0978755256743326,ade,best_of
38,0.20689388794167363,ade,best_of
39,0.1258545706840849,ade,best_of
40,0.34704451202839715,ade,best_of
41,0.2156343859393786,ade,best_of
42,0.1799805686973327,ade,best_of
43,0.2870758571723038,ade,best_of
44,0.19761796362229375,ade,best_of
45,0.1527751291827937,ade,best_of
46,0.16663375310831782,ade,best_of
47,0.3867635892787303,ade,best_of
48,0.30116407940503936,ade,best_of
49,0.1254720527551106,ade,best_of
50,0.13226672403634232,ade,best_of
51,0.19066997646957554,ade,best_of
52,0.14297491535631232,ade,best_of
53,0.0805160224731099,ade,best_of
54,0.03544166756213036,ade,best_of
55,0.02961430348025192,ade,best_of
56,0.02809155316415188,ade,best_of
57,0.030913421451248632,ade,best_of
58,0.03404348294856444,ade,best_of
59,0.0447786630130515,ade,best_of
60,0.04979710113467278,ade,best_of
61,0.05839189094915084,ade,best_of
62,0.06497133657510236,ade,best_of
63,0.2830668585603448,ade,best_of
64,0.3882041132502139,ade,best_of
65,0.00842613036484923,ade,best_of
66,0.005792723152727078,ade,best_of
67,0.43917059269970843,ade,best_of
68,0.006348368218828616,ade,best_of
69,0.0037611007470043363,ade,best_of
70,0.05763898627589208,ade,best_of
71,0.007360981677754299,ade,best_of
72,0.0055534636420436516,ade,best_of
73,0.0554887551779192,ade,best_of
74,0.005100489831101354,ade,best_of
75,0.009710039855364437,ade,best_of
76,0.07291528229296311,ade,best_of
77,0.011974350689573886,ade,best_of
78,0.004351642975259759,ade,best_of
79,0.1006287835789763,ade,best_of
80,0.25010029112335874,ade,best_of
81,0.205485497740906,ade,best_of
82,0.1627685155701216,ade,best_of
83,0.0741419962375337,ade,best_of
84,0.18199003980428477,ade,best_of
85,0.12199886612823019,ade,best_of
86,0.046596404668541876,ade,best_of
87,0.022698479398135966,ade,best_of
88,0.01893463302090414,ade,best_of
89,0.03166549670483283,ade,best_of
90,0.28382949095225085,ade,best_of
91,0.24014240785068997,ade,best_of
92,0.1140697621180075,ade,best_of
93,0.057627129230130275,ade,best_of
94,0.08950564967020758,ade,best_of
95,0.11432153764402175,ade,best_of
96,0.08605374440444828,ade,best_of
97,0.09651314417139456,ade,best_of
98,0.14095497030502777,ade,best_of
99,0.14244051649651032,ade,best_of
100,0.15082856464509878,ade,best_of
101,0.16999926814358365,ade,best_of
102,0.19425499576870955,ade,best_of
103,0.21823310095760706,ade,best_of
104,0.3606822724288405,ade,best_of
105,0.14582959777307733,ade,best_of
106,0.028748898121687013,ade,best_of
107,0.006982487202223021,ade,best_of
108,0.008188719820457732,ade,best_of
109,0.010745552287915669,ade,best_of
110,0.004977839760494462,ade,best_of
111,0.011728732083859906,ade,best_of
112,0.007177669532266169,ade,best_of
113,0.004696295916691715,ade,best_of
114,0.009508896774023756,ade,best_of
115,0.007536342932653837,ade,best_of
116,0.006348109071724054,ade,best_of
117,0.004376943422611976,ade,best_of
118,0.0074210149036558135,ade,best_of
119,0.008438451780145068,ade,best_of
120,0.004896865715821337,ade,best_of
121,0.008095132978765854,ade,best_of
122,0.008024168560052223,ade,best_of
123,0.004129317970436166,ade,best_of
124,0.004664185052142091,ade,best_of
125,0.005160533923264582,ade,best_of
126,0.006157542402589544,ade,best_of
127,0.019542673968670297,ade,best_of
128,0.01693026588169177,ade,best_of
129,0.008687748982162976,ade,best_of
130,0.00470392041101797,ade,best_of
131,0.005131220575642777,ade,best_of
132,0.0028932378851424727,ade,best_of
133,0.011374301828772429,ade,best_of
134,0.01945905198558476,ade,best_of
135,0.0073379722748072125,ade,best_of
136,0.004924970354149259,ade,best_of
137,0.010477227543804665,ade,best_of
138,0.002998742692091326,ade,best_of
139,0.005004726275797216,ade,best_of
140,0.31367201014965,ade,best_of
141,0.26686938478187056,ade,best_of
142,0.17908447936356178,ade,best_of
143,0.31392109173111266,ade,best_of
144,0.16861127789144037,ade,best_of
145,0.15164976769093938,ade,best_of
146,0.24268741838855523,ade,best_of
147,0.28849566383488806,ade,best_of
148,0.28026435868060307,ade,best_of
149,0.4200795691652735,ade,best_of
150,0.01903506668470922,ade,best_of
151,0.0076036056864037015,ade,best_of
152,0.2012135352094313,ade,best_of
153,0.1795573580073461,ade,best_of
154,0.007354886359404132,ade,best_of
155,0.006078510372981156,ade,best_of
156,0.1742109971840199,ade,best_of
157,0.15462622056571942,ade,best_of
158,0.014979615385473011,ade,best_of
159,0.005346611702126113,ade,best_of
160,0.3025597477834842,ade,best_of
161,0.41332816900938524,ade,best_of
162,0.01277949211957608,ade,best_of
163,0.008637746760624789,ade,best_of
164,0.12417795929733559,ade,best_of
165,0.3425628298702916,ade,best_of
166,0.01538640286039969,ade,best_of
167,0.006795786390082793,ade,best_of
168,0.3574300722873674,ade,best_of
169,0.5483552337123737,ade,best_of
170,0.03213874136681298,ade,best_of
171,0.0063870717439626174,ade,best_of
172,0.30706129543541344,ade,best_of
173,0.17704771426703494,ade,best_of
174,0.022394672519279613,ade,best_of
175,0.013651431955274816,ade,best_of
