,value,metric,type
0,0.0037231313885994263,ade,ml
1,0.017296792113968406,ade,ml
2,0.017368819786472166,ade,ml
3,0.004882380603702168,ade,ml
4,0.015517697349307675,ade,ml
5,0.01444439784110762,ade,ml
6,0.0050045954173981895,ade,ml
7,0.017059100090642047,ade,ml
8,0.027580301573207903,ade,ml
9,0.0042910447106272774,ade,ml
10,0.014677196061604376,ade,ml
11,0.04080098691862082,ade,ml
12,0.005959723229293599,ade,ml
13,0.13442245200746347,ade,ml
14,0.040624460603843296,ade,ml
15,0.009396016862738993,ade,ml
16,0.006066914225330881,ade,ml
17,0.04378256139776623,ade,ml
18,0.007649608597160564,ade,ml
19,0.012896798238105621,ade,ml
20,0.048916817792278626,ade,ml
21,0.26928775698968405,ade,ml
22,0.581952951472025,ade,ml
23,0.3861211533326363,ade,ml
24,0.3840268420523509,ade,ml
25,0.5859152238567619,ade,ml
26,0.6120698131819093,ade,ml
27,0.45894412962648895,ade,ml
28,0.44141844619694376,ade,ml
29,0.30414677571574694,ade,ml
30,0.11419409489782611,ade,ml
31,0.655771254056994,ade,ml
32,0.3216206098739312,ade,ml
33,0.20724672669329788,ade,ml
34,0.22068305393073706,ade,ml
35,0.19617321844784244,ade,ml
36,0.3676204487181847,ade,ml
37,0.09704328945039076,ade,ml
38,0.5216794896354366,ade,ml
39,0.21023068859539895,ade,ml
40,0.4872312051428442,ade,ml
41,0.2786496870306438,ade,ml
42,0.2331136810086002,ade,ml
43,0.3582834212017803,ade,ml
44,0.4463179794095791,ade,ml
45,0.4942857894562727,ade,ml
46,0.2364017795741431,ade,ml
47,0.5662563990967507,ade,ml
48,0.5146897938083387,ade,ml
49,0.14806686576842176,ade,ml
50,0.15539355386298856,ade,ml
51,0.2748312362083623,ade,ml
52,0.3676063861587897,ade,ml
53,0.26835358275758053,ade,ml
54,0.06204166208923823,ade,ml
55,0.034009486063613786,ade,ml
56,0.03246298723127144,ade,ml
57,0.031801323425115026,ade,ml
58,0.03695197666388645,ade,ml
59,0.04538811920260024,ade,ml
60,0.053213364052307886,ade,ml
61,0.06229302983123087,ade,ml
62,0.06566384171337807,ade,ml
63,0.9014689068046016,ade,ml
64,0.6058672910967603,ade,ml
65,0.004173566802060223,ade,ml
66,0.0022868589267952158,ade,ml
67,1.0687409357633335,ade,ml
68,0.004173566802060223,ade,ml
69,0.0022868589267952158,ade,ml
70,0.10035550081993987,ade,ml
71,0.004173566802060223,ade,ml
72,0.0022868589267952158,ade,ml
73,0.06374015203545065,ade,ml
74,0.004173566802060223,ade,ml
75,0.004929332464313068,ade,ml
76,0.07608173224383925,ade,ml
77,0.006386477244047562,ade,ml
78,0.006539903373891045,ade,ml
79,0.1837538610788978,ade,ml
80,0.36435664662247413,ade,ml
81,0.35980509444122605,ade,ml
82,0.42903917253213036,ade,ml
83,0.10359669934857689,ade,ml
84,0.32451234112665267,ade,ml
85,0.42310679445049426,ade,ml
86,0.22469277612365554,ade,ml
87,0.027086708910828653,ade,ml
88,0.016629879663054237,ade,ml
89,0.019221856495944878,ade,ml
90,0.8914387142598716,ade,ml
91,0.3692614676511951,ade,ml
92,0.3541564130836439,ade,ml
93,0.05867980250232833,ade,ml
94,0.08837592464976195,ade,ml
95,0.11243801507776384,ade,ml
96,0.1353010477441524,ade,ml
97,0.1613769940303852,ade,ml
98,0.19208394121614494,ade,ml
99,0.2199043683850904,ade,ml
100,0.24307945424201513,ade,ml
101,0.26757767407818883,ade,ml
102,0.20170235220868235,ade,ml
103,0.4702014754151318,ade,ml
104,0.7379453380989202,ade,ml
105,0.5160149827828255,ade,ml
106,0.06346347170624532,ade,ml
107,0.01059637561726822,ade,ml
108,0.007346767204221966,ade,ml
109,0.005705579300289753,ade,ml
110,0.00927533172362083,ade,ml
111,0.00789573674311162,ade,ml
112,0.0061526704132898735,ade,ml
113,0.00525029844377001,ade,ml
114,0.007019220821897001,ade,ml
115,0.007252631860553516,ade,ml
116,0.007252631860553516,ade,ml
117,0.007252631860553516,ade,ml
118,0.007252631860553516,ade,ml
119,0.007252631860553516,ade,ml
120,0.007252631860553516,ade,ml
121,0.007252631860553516,ade,ml
122,0.007252631860553516,ade,ml
123,0.007252631860553516,ade,ml
124,0.007252631860553516,ade,ml
125,0.007252631860553516,ade,ml
126,0.007252631860553516,ade,ml
127,0.007252631860553516,ade,ml
128,0.007252631860553516,ade,ml
129,0.007252631860553516,ade,ml
130,0.007252631860553516,ade,ml
131,0.007252631860553516,ade,ml
132,0.007252631860553516,ade,ml
133,0.007252631860553516,ade,ml
134,0.007252631860553516,ade,ml
135,0.007252631860553516,ade,ml
136,0.007252631860553516,ade,ml
137,0.007252631860553516,ade,ml
138,0.007252631860553516,ade,ml
139,0.007252631860553516,ade,ml
140,0.5611402402853337,ade,ml
141,0.5943687830334451,ade,ml
142,0.35381618760545147,ade,ml
143,0.7381065000390628,ade,ml
144,0.45816912651728386,ade,ml
145,0.15439130843656648,ade,ml
146,0.7994615717706389,ade,ml
147,0.3803049421149758,ade,ml
148,0.5163729800798037,ade,ml
149,0.7400965660647184,ade,ml
150,0.022071355197259807,ade,ml
151,0.010089698386003992,ade,ml
152,0.6579029391821042,ade,ml
153,0.7350701861379035,ade,ml
154,0.018311280455880253,ade,ml
155,0.00959094406839036,ade,ml
156,0.2143960523692056,ade,ml
157,0.38372248427464034,ade,ml
158,0.014955300780357061,ade,ml
159,0.003273230866480813,ade,ml
160,0.13189805767317775,ade,ml
161,0.815833746143188,ade,ml
162,0.01438055452508701,ade,ml
163,0.004778451654301185,ade,ml
164,0.22053070005097997,ade,ml
165,0.37138657190822294,ade,ml
166,0.01873859619136616,ade,ml
167,0.006615452951596407,ade,ml
168,0.6624352668776495,ade,ml
169,0.8745748591199303,ade,ml
170,0.08367296356668703,ade,ml
171,0.005797137661275529,ade,ml
172,0.4255604388097188,ade,ml
173,0.33538905396416324,ade,ml
174,0.06694121205199473,ade,ml
175,0.0053790365115884255,ade,ml
176,0.22862113178605378,ade,ml
177,0.3280835436031872,ade,ml
178,0.0019263207206583037,ade,ml
179,0.006826483809016653,ade,ml
180,0.028435073961354623,ade,ml
181,0.007837483423285588,ade,ml
