,value,metric,type
0,0.001020819284040272,fde,ml
1,0.02061848559636557,fde,ml
2,0.018055715107862053,fde,ml
3,0.008873531248252384,fde,ml
4,0.01679158161569855,fde,ml
5,0.004645752126274424,fde,ml
6,0.009179195351203387,fde,ml
7,0.017513286947774896,fde,ml
8,0.15200435062026685,fde,ml
9,0.007923182766327886,fde,ml
10,0.014351781082389267,fde,ml
11,0.16585258006728348,fde,ml
12,0.00955644776834188,fde,ml
13,0.24879624964214017,fde,ml
14,0.01475807571856875,fde,ml
15,0.025017491868534032,fde,ml
16,0.015228554742858216,fde,ml
17,0.009723618268903722,fde,ml
18,0.02797250192711937,fde,ml
19,0.03677105419186807,fde,ml
20,0.020223397372818454,fde,ml
21,0.6554388474305579,fde,ml
22,1.2309124050281244,fde,ml
23,0.9538651946027871,fde,ml
24,0.9566072166935646,fde,ml
25,1.3754441141801341,fde,ml
26,1.2966854338507319,fde,ml
27,0.852580484761562,fde,ml
28,1.4884463170137963,fde,ml
29,0.4941839187179145,fde,ml
30,0.25296656177957894,fde,ml
31,1.0935095348841284,fde,ml
32,0.8387956941439788,fde,ml
33,0.444841189951143,fde,ml
34,0.5448908731455256,fde,ml
35,0.2281437483554405,fde,ml
36,0.6814677235490832,fde,ml
37,0.1488656576539279,fde,ml
38,0.9812901510642617,fde,ml
39,0.43853766951964346,fde,ml
40,0.7195522796771514,fde,ml
41,0.5917128565949068,fde,ml
42,0.41993923821806894,fde,ml
43,0.32460376052072737,fde,ml
44,1.198954584551448,fde,ml
45,0.9305372940815286,fde,ml
46,0.32704753936112396,fde,ml
47,1.3598289245967154,fde,ml
48,1.1176331392647096,fde,ml
49,0.18285004760980555,fde,ml
50,0.16882248011366094,fde,ml
51,0.5779228503232982,fde,ml
52,0.6942255024323036,fde,ml
53,0.5035334103379618,fde,ml
54,0.11107088931017906,fde,ml
55,0.012039784197332634,fde,ml
56,0.01294374904996382,fde,ml
57,0.018181146983492234,fde,ml
58,0.07396895350660902,fde,ml
59,0.10893837043311515,fde,ml
60,0.13096521662777996,fde,ml
61,0.11146558528989958,fde,ml
62,0.04326312206223797,fde,ml
63,1.546982171721323,fde,ml
64,0.9689909674919782,fde,ml
65,0.006899644466938261,fde,ml
66,0.0016598962853772198,fde,ml
67,2.0242644313998372,fde,ml
68,0.006899644466938261,fde,ml
69,0.0016598962853772198,fde,ml
70,0.17356790315886303,fde,ml
71,0.006899644466938261,fde,ml
72,0.0016598962853772198,fde,ml
73,0.06240022459022645,fde,ml
74,0.006899644466938261,fde,ml
75,0.006157687443129646,fde,ml
76,0.15433317489169157,fde,ml
77,0.010594043419571358,fde,ml
78,0.012898565725511929,fde,ml
79,0.37787279628949194,fde,ml
80,0.649223247767441,fde,ml
81,0.5861548419231807,fde,ml
82,0.6583749197863161,fde,ml
83,0.1250233200287362,fde,ml
84,0.6955120840139861,fde,ml
85,0.8241950578509495,fde,ml
86,0.4167017388167171,fde,ml
87,0.023237406042454747,fde,ml
88,0.008463342301728646,fde,ml
89,0.0071045596030992865,fde,ml
90,1.5429692462517004,fde,ml
91,0.7203437642355288,fde,ml
92,0.6471107423817712,fde,ml
93,0.3076613497798423,fde,ml
94,0.321294808913125,fde,ml
95,0.31681424508300476,fde,ml
96,0.31153549619516857,fde,ml
97,0.3122509158385367,fde,ml
98,0.31903390937527837,fde,ml
99,0.3244967355231448,fde,ml
100,0.31919425696433784,fde,ml
101,0.31437768390700854,fde,ml
102,0.1857926061520638,fde,ml
103,0.9730661243368558,fde,ml
104,1.4127054489935855,fde,ml
105,0.9521128635840195,fde,ml
106,0.11512609823691004,fde,ml
107,0.017585091445769634,fde,ml
108,0.013781212881203842,fde,ml
109,0.009582055179853144,fde,ml
110,0.017817544562157894,fde,ml
111,0.012959482730350925,fde,ml
112,0.011391543296995356,fde,ml
113,0.008840003167642812,fde,ml
114,0.013337483837751298,fde,ml
115,0.013824654810097693,fde,ml
116,0.013824654810097693,fde,ml
117,0.013824654810097693,fde,ml
118,0.013824654810097693,fde,ml
119,0.013824654810097693,fde,ml
120,0.013824654810097693,fde,ml
121,0.013824654810097693,fde,ml
122,0.013824654810097693,fde,ml
123,0.013824654810097693,fde,ml
124,0.013824654810097693,fde,ml
125,0.013824654810097693,fde,ml
126,0.013824654810097693,fde,ml
127,0.013824654810097693,fde,ml
128,0.013824654810097693,fde,ml
129,0.013824654810097693,fde,ml
130,0.013824654810097693,fde,ml
131,0.013824654810097693,fde,ml
132,0.013824654810097693,fde,ml
133,0.013824654810097693,fde,ml
134,0.013824654810097693,fde,ml
135,0.013824654810097693,fde,ml
136,0.013824654810097693,fde,ml
137,0.013824654810097693,fde,ml
138,0.013824654810097693,fde,ml
139,0.013824654810097693,fde,ml
140,0.6887654302843021,fde,ml
141,1.2894887671517727,fde,ml
142,0.8269966456023417,fde,ml
143,1.420612349103763,fde,ml
144,1.105827747890091,fde,ml
145,0.4357656432410333,fde,ml
146,1.6928366458150896,fde,ml
147,0.7900795428652088,fde,ml
148,1.0383116578489893,fde,ml
149,1.5898647470315963,fde,ml
150,0.03723344640739801,fde,ml
151,0.014330930522645774,fde,ml
152,1.2095727652007426,fde,ml
153,1.4396231840770533,fde,ml
154,0.028087929392951638,fde,ml
155,0.015143616275566193,fde,ml
156,0.44031495976786644,fde,ml
157,0.778643091172005,fde,ml
158,0.016297029820070506,fde,ml
159,0.00775836241140477,fde,ml
160,0.26527150886760187,fde,ml
161,1.4939480486920338,fde,ml
162,0.012511098055844373,fde,ml
163,0.008037836729958728,fde,ml
164,0.3110695719447531,fde,ml
165,0.7612706322097527,fde,ml
166,0.019073795960496777,fde,ml
167,0.012523503848486224,fde,ml
168,1.2584426964968691,fde,ml
169,1.6887215137044502,fde,ml
170,0.15863728281143918,fde,ml
171,0.011525672809165827,fde,ml
172,0.8335684636253814,fde,ml
173,1.4055494970570372,fde,ml
174,0.12522459024987076,fde,ml
175,0.01040156358617628,fde,ml
176,0.47267006426683184,fde,ml
177,1.0608426829617756,fde,ml
178,0.0037434085975092007,fde,ml
179,0.02285560927807442,fde,ml
180,0.07548102059679769,fde,ml
181,0.013509391578195529,fde,ml
182,1.1405080008511037,fde,ml
183,0.6524187157515748,fde,ml
184,0.3103182634321949,fde,ml
185,0.009363132435119745,fde,ml
186,1.1461961371174307,fde,ml
187,1.7432911483191142,fde,ml
188,0.13741183670655832,fde,ml
189,0.008448736043231,fde,ml
190,1.5314389437315,fde,ml
191,1.6800874351070783,fde,ml
192,0.20537250022594533,fde,ml
193,0.012858021342196897,fde,ml
194,0.8001178187949975,fde,ml
195,1.1355503757946686,fde,ml
196,0.24488356039743153,fde,ml
197,0.010615078407954098,fde,ml
198,1.492130514347757,fde,ml
199,1.5585150705628816,fde,ml
200,0.2596877589273643,fde,ml
201,0.014465002603227185,fde,ml
202,0.7276778450916527,fde,ml
203,0.7937468163744259,fde,ml
204,0.22103613127792757,fde,ml
205,0.00941987460222567,fde,ml
206,1.1626387581753603,fde,ml
207,1.2330537018838157,fde,ml
208,0.17245777226697548,fde,ml
209,0.0031791438723828957,fde,ml
210,0.942613518791446,fde,ml
211,1.019964656678392,fde,ml
212,0.016732493972136983,fde,ml
213,0.005016603050506471,fde,ml
214,1.4890169087202083,fde,ml
215,1.5929471008108427,fde,ml
216,0.33291596080271224,fde,ml
217,0.010664256121101,fde,ml
218,0.5466026092876642,fde,ml
219,0.5082340660494695,fde,ml
220,0.35606782486389676,fde,ml
221,0.005718073061543728,fde,ml
222,1.034141726920768,fde,ml
223,1.1558865215573506,fde,ml
224,0.48380694945052616,fde,ml
225,0.013117376611154676,fde,ml
226,0.9928739764189568,fde,ml
227,0.5647526620198338,fde,ml
228,0.44207236650745224,fde,ml
229,0.010297731307398887,fde,ml
230,1.0990981944178249,fde,ml
231,1.1517433646952018,fde,ml
232,0.33917941411630326,fde,ml
233,0.0040014861326094575,fde,ml
234,1.2823058741310265,fde,ml
235,0.9212525483371623,fde,ml
236,1.2819696516158037,fde,ml
237,0.09044647467644917,fde,ml
238,0.8091435528999691,fde,ml
239,1.2898535347181868,fde,ml
240,2.54610474790519,fde,ml
241,1.0959032362972025,fde,ml
242,0.10532459385876215,fde,ml
243,1.289304100563409,fde,ml
244,0.4829983142577935,fde,ml
245,0.660755582557642,fde,ml
246,0.047586859411517496,fde,ml
247,1.2434754737255387,fde,ml
248,0.5023440476664308,fde,ml
249,0.553129595135049,fde,ml
250,0.00956786631991585,fde,ml
251,1.4087485711305825,fde,ml
252,1.260531459355927,fde,ml
253,0.6116172738883595,fde,ml
254,0.009651047917879945,fde,ml
255,0.993755620944497,fde,ml
256,0.7750594500074081,fde,ml
257,1.1959554272959334,fde,ml
258,0.00644702772879314,fde,ml
259,1.3062255778178775,fde,ml
260,1.1398020916455254,fde,ml
261,1.5433601357830424,fde,ml
262,0.0158853680761532,fde,ml
263,1.0348394386849715,fde,ml
264,0.9249490904322373,fde,ml
265,0.5434102294550022,fde,ml
266,0.013577454223326964,fde,ml
267,1.1421695439287878,fde,ml
268,0.6194905784787811,fde,ml
269,1.025369764462159,fde,ml
270,0.013822254626766985,fde,ml
271,1.5930465797825024,fde,ml
272,1.3271400073061663,fde,ml
273,0.6492799365587101,fde,ml
274,0.03140257615348444,fde,ml
275,0.8056631908905153,fde,ml
276,0.923050193506204,fde,ml
277,0.1644809073205912,fde,ml
278,0.055518391690408515,fde,ml
279,1.0336883242944868,fde,ml
280,0.8834243901917849,fde,ml
281,0.7567340632862679,fde,ml
282,0.050200789029719604,fde,ml
283,0.816051523444384,fde,ml
284,0.43725494131102877,fde,ml
285,0.9011880513568483,fde,ml
286,1.0076167084259262,fde,ml
287,1.1453215918259116,fde,ml
288,0.8902861712898859,fde,ml
289,2.057211215365455,fde,ml
290,0.18273196377492903,fde,ml
291,0.5818992306358709,fde,ml
292,1.24006309468795,fde,ml
293,0.9935138305037585,fde,ml
294,1.1142901676971189,fde,ml
295,0.6726508018402985,fde,ml
296,0.5802219923739029,fde,ml
297,0.8025164946866262,fde,ml
298,0.6609569214835568,fde,ml
299,0.7624316972068444,fde,ml
300,0.1482367860669803,fde,ml
301,0.5483651846271139,fde,ml
302,0.9898729730740283,fde,ml
303,0.8132472616259577,fde,ml
304,0.19204725454721264,fde,ml
305,0.1354521884346074,fde,ml
306,0.6608677376188414,fde,ml
307,0.4404994792966773,fde,ml
308,0.12189229418227632,fde,ml
309,0.03012704248655062,fde,ml
310,0.8535463790444159,fde,ml
311,0.9968470815156886,fde,ml
312,0.3791776921836844,fde,ml
313,0.030563765746653496,fde,ml
314,0.20402822418364686,fde,ml
315,1.7733063327411078,fde,ml
316,0.33302391711444274,fde,ml
317,0.028756063554009503,fde,ml
318,0.6675856219608725,fde,ml
319,1.3604201663208773,fde,ml
320,0.6762164818451495,fde,ml
321,0.029022222999837803,fde,ml
322,0.9578587912249521,fde,ml
323,0.5146593064320202,fde,ml
324,0.06327383221748138,fde,ml
325,0.21625301154157833,fde,ml
326,0.37164382606741564,fde,ml
327,0.5350465822646955,fde,ml
328,0.47159279575269764,fde,ml
329,0.21622742766263453,fde,ml
330,0.7475699151918175,fde,ml
331,1.0497890318281837,fde,ml
332,0.12106238500730362,fde,ml
333,0.11272093697071421,fde,ml
334,0.5491950436217907,fde,ml
335,0.9700440228321575,fde,ml
336,0.39906775385429505,fde,ml
337,0.9436102120330615,fde,ml
338,0.8643016197395553,fde,ml
339,1.3833956343292104,fde,ml
340,0.20484361809748328,fde,ml
341,0.8317035927688319,fde,ml
342,0.6801844304939554,fde,ml
343,0.9518877828363559,fde,ml
344,1.622821749245499,fde,ml
345,1.6341611534913825,fde,ml
346,1.332732263739001,fde,ml
347,2.051423393378297,fde,ml
348,1.0290684966123933,fde,ml
349,1.244640649210361,fde,ml
350,0.8741845728680181,fde,ml
351,0.5341711268800867,fde,ml
352,0.25086551984297567,fde,ml
353,0.19684519999296177,fde,ml
354,0.09595670819864528,fde,ml
355,0.37738782024753015,fde,ml
356,0.38179727028185717,fde,ml
357,0.2973151847210525,fde,ml
358,0.03986260594893735,fde,ml
359,0.3873720527002549,fde,ml
360,0.8456819955572111,fde,ml
361,0.4914815495415591,fde,ml
362,0.5123634240743503,fde,ml
363,0.24189651087864505,fde,ml
364,0.42193436963160746,fde,ml
365,0.014506688153830976,fde,ml
366,0.09371829130507951,fde,ml
367,0.010887188731073657,fde,ml
368,0.5024436726719208,fde,ml
369,1.744919741611229,fde,ml
370,0.7804208143823725,fde,ml
371,0.2226445925146876,fde,ml
372,0.009812987135852207,fde,ml
373,0.2752669069033735,fde,ml
374,0.3235634876861577,fde,ml
375,1.3876561779032013,fde,ml
376,1.0582687266654518,fde,ml
377,0.01297525130477436,fde,ml
378,0.2741721622712239,fde,ml
379,1.4667474390804094,fde,ml
380,2.7009106568717542,fde,ml
381,1.3225891524527689,fde,ml
382,0.009963642096864367,fde,ml
383,0.6797344305210677,fde,ml
384,0.45226376203513546,fde,ml
385,1.4964114066573373,fde,ml
386,1.2459242120060856,fde,ml
387,0.006222777597427504,fde,ml
388,0.3161221411139218,fde,ml
389,0.31848910904157957,fde,ml
390,0.7793995736551375,fde,ml
391,0.22120897243910392,fde,ml
392,0.009161254328596468,fde,ml
393,0.7230314469831549,fde,ml
394,1.307373775457665,fde,ml
395,1.144451690646228,fde,ml
396,0.02021281713374532,fde,ml
397,0.010345101482853709,fde,ml
398,0.9384843691495498,fde,ml
399,0.4790601313224124,fde,ml
400,1.1083200652457308,fde,ml
401,0.009370028574429503,fde,ml
402,0.006195798788686078,fde,ml
403,1.3432821764350367,fde,ml
404,0.010767991227473251,fde,ml
405,0.015611591794209616,fde,ml
406,0.925004399484959,fde,ml
407,0.01150246428693788,fde,ml
408,2.5156896554989,fde,ml
409,0.013630234758025227,fde,ml
410,0.846608095915025,fde,ml
411,0.012951624607657003,fde,ml
412,2.5025880225121404,fde,ml
413,0.009510887807094704,fde,ml
414,1.5974125349767208,fde,ml
415,0.008735113637506911,fde,ml
416,3.10991741799513,fde,ml
417,0.009991432684007574,fde,ml
418,0.15542398802694016,fde,ml
419,0.015808656106065345,fde,ml
420,3.406807885644555,fde,ml
421,0.011820968733999196,fde,ml
422,0.007779423640164698,fde,ml
423,0.010747758382641534,fde,ml
424,0.005951456191194571,fde,ml
425,0.0009984850679141395,fde,ml
426,0.007209082580748469,fde,ml
427,0.006644835344221054,fde,ml
428,1.1030314496336842,fde,ml
429,0.584315990807239,fde,ml
430,3.0431306891603223,fde,ml
431,0.01402413845675072,fde,ml
432,0.9354160376196081,fde,ml
433,0.43387695135019266,fde,ml
434,2.1733646261896578,fde,ml
435,0.009809949261451154,fde,ml
436,1.37619205819316,fde,ml
437,0.9122501338100363,fde,ml
438,1.5279355976373135,fde,ml
439,0.0061332164805747375,fde,ml
440,1.4369613806443993,fde,ml
441,0.8269232268909406,fde,ml
442,1.7809510799016393,fde,ml
443,0.008880736593364927,fde,ml
444,0.2754453634786393,fde,ml
445,0.10880569155512966,fde,ml
446,1.2765580554432294,fde,ml
447,0.009123068583276417,fde,ml
448,0.1990984662914859,fde,ml
449,1.3750368572314686,fde,ml
450,0.01293186773744304,fde,ml
451,0.1637768737255744,fde,ml
452,0.6830278201931308,fde,ml
453,0.006317254366279665,fde,ml
454,0.1718843340631231,fde,ml
455,0.6575131690368493,fde,ml
456,0.014515784336445728,fde,ml
457,0.19496707826219567,fde,ml
458,0.3976984784163048,fde,ml
459,0.01048046318468924,fde,ml
460,0.2119031679713551,fde,ml
461,0.014549069159345684,fde,ml
462,0.20426567646825258,fde,ml
463,0.007884514731095011,fde,ml
464,0.20244302511326073,fde,ml
465,0.014441618386830057,fde,ml
466,0.21224023141739948,fde,ml
467,0.01730073301378834,fde,ml
468,0.20620641858080951,fde,ml
469,0.01670631105210383,fde,ml
470,0.11939246871666388,fde,ml
471,0.02431424713916066,fde,ml
472,1.0859033975360781,fde,ml
473,0.19315889855964435,fde,ml
474,0.2940228870541747,fde,ml
475,0.016767203116628125,fde,ml
476,1.0636894590333128,fde,ml
477,0.3716285300168785,fde,ml
478,0.6533724115867595,fde,ml
479,0.014440009546944226,fde,ml
480,0.013264989061233527,fde,ml
481,0.010106667960312173,fde,ml
482,0.008843637376987807,fde,ml
483,0.5071449110685162,fde,ml
484,0.5576914744757183,fde,ml
485,0.012408987075098809,fde,ml
486,0.31577975207382025,fde,ml
487,2.6306563068779387,fde,ml
488,0.2692539352658025,fde,ml
489,0.005514569433690042,fde,ml
490,1.2999499581451388,fde,ml
491,1.290932821435369,fde,ml
492,0.2809453268261809,fde,ml
493,1.4709811130136379,fde,ml
