,value,metric,type
0,-4.461868431297764,kde,best_of
1,-5.275463882106043,kde,best_of
2,-4.190823914557923,kde,best_of
3,-4.509724860417026,kde,best_of
4,-3.6268334625614638,kde,best_of
5,-3.785690945164338,kde,best_of
6,-2.95323582962607,kde,best_of
7,-4.786475828930894,kde,best_of
8,-2.4147510215720622,kde,best_of
9,-4.979487074395499,kde,best_of
10,-3.1504099687807723,kde,best_of
11,-4.336110249765053,kde,best_of
12,-2.7940779925923644,kde,best_of
13,-1.6889950747992184,kde,best_of
14,-2.2525803420159223,kde,best_of
15,-1.818826752483656,kde,best_of
16,-1.6695380024437108,kde,best_of
17,-3.160346266428487,kde,best_of
18,-5.243154483926985,kde,best_of
19,-4.351105235060132,kde,best_of
20,-3.0880465280697416,kde,best_of
21,0.3806780531960209,kde,best_of
22,1.2013251199395791,kde,best_of
23,0.6172186861226234,kde,best_of
24,0.5598807621114238,kde,best_of
25,0.42692233752604203,kde,best_of
26,1.1695049116230123,kde,best_of
27,0.3752336450745595,kde,best_of
28,1.0018309551872775,kde,best_of
29,0.8778050578436117,kde,best_of
30,0.8458155943575033,kde,best_of
31,1.3130072231401044,kde,best_of
32,0.49223740660818893,kde,best_of
33,0.4119864498245587,kde,best_of
34,-0.08490066530227017,kde,best_of
35,0.9929453738195257,kde,best_of
36,0.510637855065587,kde,best_of
37,-0.36636541856005833,kde,best_of
38,0.5557281742249922,kde,best_of
39,-0.04634048074803562,kde,best_of
40,0.7850395612257237,kde,best_of
41,0.18208292788148717,kde,best_of
42,0.9320797223653144,kde,best_of
43,1.790909354951638,kde,best_of
44,-0.2839236957180308,kde,best_of
45,0.49252553787813314,kde,best_of
46,1.28324952681275,kde,best_of
47,1.6670727779423815,kde,best_of
48,0.7207986243477003,kde,best_of
49,-0.48509514778111035,kde,best_of
50,2.567933090179522,kde,best_of
51,-0.8084511953676953,kde,best_of
52,0.31321011963122314,kde,best_of
53,-0.8317469175826141,kde,best_of
54,-0.4311055331088849,kde,best_of
55,-2.7649064647180914,kde,best_of
56,-1.6621338291068033,kde,best_of
57,-2.5767472371751095,kde,best_of
58,-2.6990515440271556,kde,best_of
59,-0.8278206799940174,kde,best_of
60,-0.8978522897960028,kde,best_of
61,-0.8124004944844859,kde,best_of
62,-0.19286789561656564,kde,best_of
63,4.014536424825005,kde,best_of
64,2.4758676494132876,kde,best_of
65,-3.286353343840405,kde,best_of
66,-4.76929507001467,kde,best_of
67,3.130134500877602,kde,best_of
68,-2.8284033069983425,kde,best_of
69,-3.556950699191296,kde,best_of
70,-0.6487579754187324,kde,best_of
71,-4.978429405049632,kde,best_of
72,-4.497319180227976,kde,best_of
73,-1.1151984476892816,kde,best_of
74,-5.047992763071535,kde,best_of
75,-4.821054974873655,kde,best_of
76,-0.8331643309656047,kde,best_of
77,-4.822753251819497,kde,best_of
78,-3.7175218540070127,kde,best_of
79,-1.5266227997286657,kde,best_of
80,0.4111789256247992,kde,best_of
81,0.22344260120920056,kde,best_of
82,0.6430825720523305,kde,best_of
83,2.0490987627960053,kde,best_of
84,-0.4135268045721566,kde,best_of
85,-0.8626517611640869,kde,best_of
86,-0.7601806725155514,kde,best_of
87,-1.7677311504590367,kde,best_of
88,-1.0152983907874344,kde,best_of
89,0.04010351284782537,kde,best_of
90,2.87782448616458,kde,best_of
91,0.34987706653823636,kde,best_of
92,0.2479528964867305,kde,best_of
93,-0.687034241723996,kde,best_of
94,0.06621103310623822,kde,best_of
95,-0.3955276830099316,kde,best_of
96,-0.058343792029568825,kde,best_of
97,-0.7568709934242772,kde,best_of
98,-0.8268940237980594,kde,best_of
99,-1.1476846876421125,kde,best_of
100,-0.9270152254297758,kde,best_of
101,-0.12583898134591004,kde,best_of
102,0.30876735684559875,kde,best_of
103,0.07217586979046747,kde,best_of
104,0.9984365560592557,kde,best_of
105,0.5415522672800185,kde,best_of
106,-0.7061897062178806,kde,best_of
107,-0.5415963797271851,kde,best_of
108,-0.5285827883987062,kde,best_of
109,-1.4719244729750276,kde,best_of
110,-1.5688338651956495,kde,best_of
111,-1.5223789062169792,kde,best_of
112,-0.6093352750352654,kde,best_of
113,-1.8052161162245914,kde,best_of
114,-0.6386825253654899,kde,best_of
115,-0.4685658642606165,kde,best_of
116,-0.8228875414975542,kde,best_of
117,-1.3896998615105518,kde,best_of
118,-1.0446576591830408,kde,best_of
119,-1.6773022516152774,kde,best_of
120,-0.024473029825121145,kde,best_of
121,-0.7136995332505944,kde,best_of
122,-1.3099338430089555,kde,best_of
123,-1.2605721393873186,kde,best_of
124,-1.7703784627344814,kde,best_of
125,-1.314648588285549,kde,best_of
126,-1.0442063234797108,kde,best_of
127,-1.1099581198844282,kde,best_of
128,-0.8708898049635355,kde,best_of
129,-0.4946142593633609,kde,best_of
130,-1.2682959829446037,kde,best_of
131,-0.9742818274895833,kde,best_of
132,-1.468509845435318,kde,best_of
133,-0.7284983594680358,kde,best_of
134,-0.33460612371921006,kde,best_of
135,-2.1819329766021776,kde,best_of
136,-1.0054193272863845,kde,best_of
137,-0.9050917967186862,kde,best_of
138,-0.550704362175234,kde,best_of
139,-1.4032925854628713,kde,best_of
140,1.1075845049248325,kde,best_of
141,0.8556357041695615,kde,best_of
142,0.3662968399399358,kde,best_of
143,1.5219703400605467,kde,best_of
144,0.46770112690927734,kde,best_of
145,0.41503233676039775,kde,best_of
146,0.7007009209153761,kde,best_of
147,0.8459445195566021,kde,best_of
148,1.4067460687409588,kde,best_of
149,1.8216373727611148,kde,best_of
150,-0.8701328839645619,kde,best_of
151,-4.302393627838939,kde,best_of
152,1.0221930338445415,kde,best_of
153,0.9695545993510062,kde,best_of
154,-1.900040406603566,kde,best_of
155,-4.198691822629964,kde,best_of
156,0.5475054160245846,kde,best_of
157,-0.03302162164649977,kde,best_of
158,-2.206790968346072,kde,best_of
159,-4.6642493703530805,kde,best_of
160,0.5359124050240285,kde,best_of
161,5.747650479485118,kde,best_of
162,-2.9647075848238487,kde,best_of
163,-3.899467208870602,kde,best_of
164,1.0930872313808426,kde,best_of
165,1.4935543630843346,kde,best_of
166,-4.428951547733087,kde,best_of
167,-5.055795558868803,kde,best_of
168,2.4792086813277443,kde,best_of
169,7.270612713351043,kde,best_of
170,-3.6501351847655625,kde,best_of
171,-3.628393652600395,kde,best_of
172,2.1675798411464418,kde,best_of
173,0.36931924785977166,kde,best_of
174,-2.0008073134722197,kde,best_of
175,-3.3981123379400042,kde,best_of
176,1.3480451993288676,kde,best_of
177,0.8465767135742526,kde,best_of
178,-3.4013614117073225,kde,best_of
179,-5.360361117245196,kde,best_of
180,-2.9673318564568505,kde,best_of
181,-4.2249716726538304,kde,best_of
182,0.5143770332012546,kde,best_of
183,6.112104817120301,kde,best_of
184,0.5475960616136486,kde,best_of
185,-5.31531469647033,kde,best_of
186,1.49235560048982,kde,best_of
187,1.8049030394990004,kde,best_of
188,-4.517669296058099,kde,best_of
189,-5.0333698892590535,kde,best_of
190,0.7991703761965708,kde,best_of
191,0.903359637134092,kde,best_of
192,-2.699782100676979,kde,best_of
193,-2.1839918264489993,kde,best_of
194,0.14653876384108022,kde,best_of
195,1.178580015304385,kde,best_of
196,0.7511361252644957,kde,best_of
197,-3.3050641101861724,kde,best_of
198,1.329871364664502,kde,best_of
199,1.078794033984937,kde,best_of
200,-2.6528980359927465,kde,best_of
201,-3.617267329317199,kde,best_of
202,1.2061639047907495,kde,best_of
203,0.7289483470516196,kde,best_of
204,0.6829209333127715,kde,best_of
205,-2.450623075113046,kde,best_of
206,2.6119326195329684,kde,best_of
207,0.5920415027497501,kde,best_of
208,2.9676448653148433,kde,best_of
209,-4.554776420796858,kde,best_of
210,1.9248175018618443,kde,best_of
211,1.1185888744284533,kde,best_of
212,-1.7936473277549712,kde,best_of
213,-5.191384730626992,kde,best_of
214,2.2192668742714172,kde,best_of
215,1.6480924531525474,kde,best_of
216,2.006982047319511,kde,best_of
217,-5.100025622951259,kde,best_of
218,1.3391748519708966,kde,best_of
219,0.9642813189146416,kde,best_of
