,value,metric,type
0,0.15030994951270366,ade,best_of
1,0.23190537337081762,ade,best_of
2,0.15366564558545096,ade,best_of
3,0.09265012597649729,ade,best_of
4,0.12007784863641391,ade,best_of
5,0.4043613173822169,ade,best_of
6,0.08788922441550186,ade,best_of
7,0.17479256508172444,ade,best_of
8,0.19144878231078252,ade,best_of
9,0.41257389687603235,ade,best_of
10,0.42656138904901075,ade,best_of
11,0.23149376271360023,ade,best_of
12,0.24250152593468344,ade,best_of
13,0.37172061132493056,ade,best_of
14,0.13940985600557781,ade,best_of
15,0.12837525059048788,ade,best_of
16,0.18504990563577117,ade,best_of
17,0.1624641748163123,ade,best_of
18,0.0826455716980724,ade,best_of
19,0.24438113110728263,ade,best_of
20,0.9550691220892366,ade,best_of
21,0.1365681736882766,ade,best_of
22,0.26140778614500587,ade,best_of
23,0.22138024058642528,ade,best_of
24,0.2292968017185256,ade,best_of
25,0.16992219768170455,ade,best_of
26,0.14745687116820974,ade,best_of
27,0.1085318340079256,ade,best_of
28,0.0652370393148521,ade,best_of
29,0.19942771842741394,ade,best_of
30,0.1486936231566692,ade,best_of
31,0.1695973055696073,ade,best_of
32,0.19541716521740515,ade,best_of
33,0.5295628979892119,ade,best_of
34,0.2716004843656361,ade,best_of
35,0.4359119494078307,ade,best_of
36,0.12244149872352779,ade,best_of
37,0.1472018486839163,ade,best_of
38,0.20245286062715853,ade,best_of
39,0.617128714006548,ade,best_of
40,0.13055232420650514,ade,best_of
41,0.10143707594806427,ade,best_of
42,0.3094734175931761,ade,best_of
43,0.322274496493208,ade,best_of
44,0.2555383077877142,ade,best_of
45,0.19616955491089053,ade,best_of
46,0.696564315564038,ade,best_of
47,0.48169333334537096,ade,best_of
48,0.38618880884830714,ade,best_of
49,0.2783726144680317,ade,best_of
50,0.22147043804121025,ade,best_of
51,0.5334394585980156,ade,best_of
52,0.44327477173515856,ade,best_of
53,0.14779295245935142,ade,best_of
54,0.5722670946048454,ade,best_of
55,0.6064811906071649,ade,best_of
56,0.4073637396837169,ade,best_of
57,0.19951107254036052,ade,best_of
58,0.3780677490462258,ade,best_of
59,0.1553912432825326,ade,best_of
60,0.14237764366759018,ade,best_of
61,0.11290436904690898,ade,best_of
62,0.231538400844695,ade,best_of
63,0.08798993368547518,ade,best_of
64,0.1531863554569661,ade,best_of
65,0.16978266078508839,ade,best_of
66,0.3359758673779271,ade,best_of
67,0.4813383307472894,ade,best_of
68,0.4915630263456016,ade,best_of
69,0.3225578293185251,ade,best_of
70,0.25113299845011144,ade,best_of
71,0.15702109816154322,ade,best_of
72,0.1921269811256551,ade,best_of
73,0.09405190214677388,ade,best_of
74,0.20087521100820957,ade,best_of
75,0.7387441379607572,ade,best_of
76,0.14241622273216248,ade,best_of
77,0.37632701501731924,ade,best_of
78,0.15397752518591937,ade,best_of
79,0.307400501135092,ade,best_of
80,0.08580568454489675,ade,best_of
81,0.19038189991094245,ade,best_of
82,0.05977460286427053,ade,best_of
83,0.36148052044160756,ade,best_of
84,0.13968562292796585,ade,best_of
85,0.12878461267315217,ade,best_of
86,0.33274762778893535,ade,best_of
87,1.0285591993013943,ade,best_of
88,0.20593769121663483,ade,best_of
89,0.10480454628158203,ade,best_of
90,0.3046869164885562,ade,best_of
91,0.29160074541850484,ade,best_of
92,0.19322009927976344,ade,best_of
93,0.12513166370684745,ade,best_of
94,0.2340556314781619,ade,best_of
95,0.31912362495723284,ade,best_of
96,0.31211452520489685,ade,best_of
97,0.1009611311756836,ade,best_of
98,0.8561401378786515,ade,best_of
99,0.4771094136854262,ade,best_of
100,0.4356441182222195,ade,best_of
101,0.3343354511689079,ade,best_of
102,0.2564882841438431,ade,best_of
103,0.3179889269175571,ade,best_of
104,0.4730114987639589,ade,best_of
105,0.16969161087261594,ade,best_of
106,0.37400606398283354,ade,best_of
107,0.15549312487636083,ade,best_of
108,0.17891411440354363,ade,best_of
109,0.10937902512614905,ade,best_of
110,0.3562913060583364,ade,best_of
111,0.13415505593642577,ade,best_of
112,0.13543795476151363,ade,best_of
113,0.22087251801855978,ade,best_of
114,0.27590527531222536,ade,best_of
115,0.19100264294878125,ade,best_of
116,0.10170377310355343,ade,best_of
117,0.1478192290423341,ade,best_of
118,0.4386456049844789,ade,best_of
119,0.20704052540976056,ade,best_of
120,0.7516075045086404,ade,best_of
121,0.3384709486815831,ade,best_of
122,0.24086917343563718,ade,best_of
123,0.2075709677183668,ade,best_of
124,0.27882409755979737,ade,best_of
125,0.11449914959958984,ade,best_of
126,0.3647026037868806,ade,best_of
127,0.23315654250021156,ade,best_of
128,0.1296036543099805,ade,best_of
129,0.4441269128297525,ade,best_of
130,0.20051010664485672,ade,best_of
131,0.27088418264067854,ade,best_of
132,0.1020086315476082,ade,best_of
133,0.23465985986942486,ade,best_of
134,0.059396102999473066,ade,best_of
135,0.2910669313353789,ade,best_of
136,0.12339807908126049,ade,best_of
137,0.14041031729962364,ade,best_of
138,0.29299288020795594,ade,best_of
139,1.0334754090404052,ade,best_of
140,0.13040690554798426,ade,best_of
141,0.1781494550405612,ade,best_of
142,0.40341201715262115,ade,best_of
143,0.09370568225199029,ade,best_of
144,0.12586929984817455,ade,best_of
145,0.23364893055508473,ade,best_of
146,0.24006421301729833,ade,best_of
147,0.18716171959326466,ade,best_of
148,0.26842184133715313,ade,best_of
149,0.8171155111161772,ade,best_of
150,0.44924916794066144,ade,best_of
151,0.29799166960961126,ade,best_of
152,0.6896416926835139,ade,best_of
153,0.21537063451152869,ade,best_of
154,0.5820173521552489,ade,best_of
155,0.33447731846525025,ade,best_of
156,0.19675108180339382,ade,best_of
157,0.5893899702588942,ade,best_of
158,0.2376445713513788,ade,best_of
159,0.2075976880942135,ade,best_of
160,0.2812477472376233,ade,best_of
161,0.17354379685740998,ade,best_of
162,0.3713753286066132,ade,best_of
163,0.19449232213734538,ade,best_of
164,0.1596144585843652,ade,best_of
165,0.1711231234349475,ade,best_of
166,0.2465338219714579,ade,best_of
167,0.07201709231757548,ade,best_of
168,0.17025840646319912,ade,best_of
169,0.5483205849125853,ade,best_of
170,0.22444222934771732,ade,best_of
171,0.5402062017223868,ade,best_of
172,0.7196596519638079,ade,best_of
173,0.2713069092172047,ade,best_of
174,0.18800620541337087,ade,best_of
175,0.22891354323022442,ade,best_of
176,0.14173781716642597,ade,best_of
177,0.11998836547686315,ade,best_of
178,0.17786722624183912,ade,best_of
179,0.15826865583540786,ade,best_of
180,0.2879064467787944,ade,best_of
181,0.17704576775513,ade,best_of
182,0.2348440905898207,ade,best_of
183,0.13926202526133355,ade,best_of
184,0.16025614433489824,ade,best_of
185,0.10033799601791972,ade,best_of
186,0.3690467052620432,ade,best_of
187,0.20403697055496509,ade,best_of
188,0.16381424369081213,ade,best_of
189,0.22187210983249603,ade,best_of
190,0.15459381042654327,ade,best_of
191,0.28164960035028996,ade,best_of
192,0.16090115034152672,ade,best_of
193,0.13986675229427867,ade,best_of
194,0.12861145173532754,ade,best_of
195,0.22116755154048987,ade,best_of
196,0.18813175573272997,ade,best_of
197,0.39240874428477346,ade,best_of
198,0.26851632991016094,ade,best_of
199,0.5510302939861761,ade,best_of
200,0.5428425154303033,ade,best_of
201,0.7139537186354437,ade,best_of
202,0.9789690868287657,ade,best_of
203,0.2203183170883289,ade,best_of
204,0.33658531950555043,ade,best_of
205,0.23009066335759532,ade,best_of
206,0.24883878325005218,ade,best_of
207,0.512672512951185,ade,best_of
208,0.19099885536343308,ade,best_of
209,0.17539317585912284,ade,best_of
210,0.2712306878554051,ade,best_of
211,0.33731445772806135,ade,best_of
212,0.28211497055411344,ade,best_of
213,0.15777650091944612,ade,best_of
214,0.21184329550482206,ade,best_of
215,0.5201154896329395,ade,best_of
216,0.14676368345956273,ade,best_of
217,0.2313834022780662,ade,best_of
218,0.3869880605266481,ade,best_of
219,0.17963712574527912,ade,best_of
220,0.14774357126687584,ade,best_of
221,0.20664866962103526,ade,best_of
222,0.5102276424508995,ade,best_of
223,0.5271875305002014,ade,best_of
224,1.2494350855463738,ade,best_of
225,0.7025009238769307,ade,best_of
226,0.19558838298045747,ade,best_of
227,0.1404717394016903,ade,best_of
228,0.1503227898553183,ade,best_of
229,0.16848715763619104,ade,best_of
230,0.07354664207232459,ade,best_of
231,0.19101367672468048,ade,best_of
232,0.18678893826161438,ade,best_of
233,0.18601923501722695,ade,best_of
234,0.27591844686527855,ade,best_of
235,0.2394374040453727,ade,best_of
236,0.21487469185686717,ade,best_of
237,0.21674509084621377,ade,best_of
238,0.10820055208243924,ade,best_of
239,0.08898122955260594,ade,best_of
240,0.17695054613781336,ade,best_of
241,0.21357112513125998,ade,best_of
242,0.18747219269257168,ade,best_of
243,0.17288623738125009,ade,best_of
244,0.20393204083257363,ade,best_of
245,0.2825256441259407,ade,best_of
246,0.08755431837372098,ade,best_of
247,0.13199759833551203,ade,best_of
248,0.20594299357421483,ade,best_of
249,0.20323074446807957,ade,best_of
250,0.47801441682241164,ade,best_of
251,0.1135977502352814,ade,best_of
252,0.2857518548027085,ade,best_of
253,0.2026095576012621,ade,best_of
254,0.2875941428576027,ade,best_of
255,0.499793589739884,ade,best_of
256,0.2899109374263118,ade,best_of
257,0.5143308162834787,ade,best_of
258,0.2664775061483542,ade,best_of
259,0.2776798112066381,ade,best_of
260,0.3585463051322426,ade,best_of
261,0.18147149949039218,ade,best_of
262,0.14744418691786457,ade,best_of
263,0.18129401261660058,ade,best_of
264,0.3781631990592902,ade,best_of
265,0.18507622883938968,ade,best_of
266,0.1333339111790709,ade,best_of
267,0.14928333166238864,ade,best_of
268,0.6794837439820883,ade,best_of
269,0.1444038081674931,ade,best_of
270,0.20721639324099747,ade,best_of
271,0.2560646809193357,ade,best_of
272,0.10926579035391,ade,best_of
273,0.10971716534033694,ade,best_of
274,0.3429980954062315,ade,best_of
275,1.1838107847047004,ade,best_of
276,0.4530443283257533,ade,best_of
277,0.662130732693837,ade,best_of
278,0.6544445241906941,ade,best_of
279,0.24402450356542893,ade,best_of
280,0.5644751542364851,ade,best_of
281,0.1774172748670686,ade,best_of
282,0.18383268378970155,ade,best_of
283,0.2253700181666564,ade,best_of
284,0.16425063667706974,ade,best_of
285,0.16506994800752223,ade,best_of
286,0.19931546235730804,ade,best_of
287,0.20420931933233888,ade,best_of
288,0.3948690228010608,ade,best_of
289,0.17261739458285122,ade,best_of
290,0.11961644180643521,ade,best_of
291,0.19085318802394732,ade,best_of
292,0.2833797084201279,ade,best_of
293,0.1217589371738582,ade,best_of
294,0.15006546532360207,ade,best_of
295,0.3588053842133166,ade,best_of
296,0.1821447040423825,ade,best_of
297,0.11080745458692857,ade,best_of
298,0.21151819873011,ade,best_of
299,0.15451516435495996,ade,best_of
300,0.5094036142935916,ade,best_of
301,0.335513198457764,ade,best_of
302,0.34832798684496097,ade,best_of
303,0.27951404338630403,ade,best_of
304,0.2921347138785569,ade,best_of
305,0.23941803629702688,ade,best_of
306,0.2614581525845125,ade,best_of
307,0.3171166737350875,ade,best_of
308,0.29070393223710495,ade,best_of
309,0.2743083074540879,ade,best_of
310,0.37092992282700826,ade,best_of
311,0.4453412728786335,ade,best_of
312,0.20346497959617535,ade,best_of
313,0.2344389846724524,ade,best_of
314,0.30274196156114974,ade,best_of
315,0.13634567213822885,ade,best_of
316,0.3442366247807455,ade,best_of
317,0.31513931090067865,ade,best_of
318,0.1500672947859595,ade,best_of
319,0.23364446323922805,ade,best_of
320,0.18743333562744957,ade,best_of
321,0.3067676800139864,ade,best_of
322,0.6914349678887955,ade,best_of
323,0.15314509675453883,ade,best_of
324,0.182561282293485,ade,best_of
325,0.3431616888660088,ade,best_of
326,0.7339724781454536,ade,best_of
327,0.36716507892412015,ade,best_of
328,0.38715836339041493,ade,best_of
329,0.3472982094248152,ade,best_of
330,0.2270958712635227,ade,best_of
331,0.6111075311343325,ade,best_of
332,0.16016410188367966,ade,best_of
333,0.145446253629419,ade,best_of
334,0.3272965439199123,ade,best_of
335,0.14206063799500235,ade,best_of
336,0.27034269752792983,ade,best_of
337,0.26500490506167335,ade,best_of
338,0.15158557232659156,ade,best_of
339,0.2113841891041819,ade,best_of
340,0.20026456258446915,ade,best_of
341,0.1590003132615388,ade,best_of
342,0.24534313113133596,ade,best_of
343,0.1696606594871323,ade,best_of
344,0.45037061887220475,ade,best_of
345,0.2620340234778156,ade,best_of
346,0.17238033158418778,ade,best_of
347,0.3623719650091202,ade,best_of
348,0.14755595371491084,ade,best_of
349,0.43859173051450084,ade,best_of
350,0.22900954376781327,ade,best_of
351,0.194822593173575,ade,best_of
352,0.34800411745200566,ade,best_of
353,0.3532557511787729,ade,best_of
354,0.23980092640994222,ade,best_of
355,0.16561295552207253,ade,best_of
356,0.5456585346413118,ade,best_of
357,0.20811938521476334,ade,best_of
358,0.38699859106676704,ade,best_of
359,0.37323009541403174,ade,best_of
360,0.22981308129982306,ade,best_of
361,0.19695717128156057,ade,best_of
362,0.3491632031574025,ade,best_of
363,0.149782529269822,ade,best_of
364,0.15941855642537134,ade,best_of
365,0.2348562223718019,ade,best_of
366,0.30476050372764324,ade,best_of
367,0.1356760448173848,ade,best_of
368,0.19741357111947763,ade,best_of
369,0.15286270084065628,ade,best_of
370,0.3329710159803196,ade,best_of
371,0.41454411366187643,ade,best_of
372,0.19480599924077346,ade,best_of
373,0.16760000307068856,ade,best_of
374,0.2855969715402827,ade,best_of
375,1.8225646423562145,ade,best_of
376,0.193896040125197,ade,best_of
377,0.35863299835173224,ade,best_of
378,0.755123135371215,ade,best_of
379,0.2821846411348487,ade,best_of
380,0.8536172071602718,ade,best_of
381,0.21628161402466975,ade,best_of
382,0.13456210636684182,ade,best_of
383,0.2985150023835805,ade,best_of
384,0.09315623097528307,ade,best_of
385,0.14000982673322318,ade,best_of
386,0.27824325113466664,ade,best_of
387,0.1229669401562078,ade,best_of
388,0.19914405031813007,ade,best_of
389,0.12376631406202275,ade,best_of
390,0.2033471149399,ade,best_of
391,0.3805280876439936,ade,best_of
392,0.12739917443960744,ade,best_of
393,0.35211454031539174,ade,best_of
394,0.4058783668435378,ade,best_of
395,0.1255756666638401,ade,best_of
396,0.2375719658181581,ade,best_of
397,0.1756028966770993,ade,best_of
398,0.23828737633367378,ade,best_of
399,0.18225485056690713,ade,best_of
400,0.1383030820795914,ade,best_of
401,0.42108040759771614,ade,best_of
402,0.4934362096959079,ade,best_of
