,value,metric,type
0,0.049019077082077,ade,ml
1,0.19266640125369391,ade,ml
2,0.15039071943880677,ade,ml
3,0.10662490495482828,ade,ml
4,0.2336760015360276,ade,ml
5,0.44207366422700983,ade,ml
6,0.10245378422908806,ade,ml
7,0.24701929752646137,ade,ml
8,0.2218225311136525,ade,ml
9,0.42938245514482404,ade,ml
10,0.5458711173294359,ade,ml
11,0.5869174310269051,ade,ml
12,0.4537662366004727,ade,ml
13,0.6603859866508427,ade,ml
14,0.2574338139880483,ade,ml
15,0.2645274487700277,ade,ml
16,0.2981391426283258,ade,ml
17,0.19139989145189032,ade,ml
18,0.16223668621339474,ade,ml
19,0.41265110427828855,ade,ml
20,1.1880955893385856,ade,ml
21,0.19203760603602815,ade,ml
22,0.583629172106745,ade,ml
23,0.272797870616262,ade,ml
24,0.3062287773314396,ade,ml
25,0.534719482193511,ade,ml
26,0.6602266470990625,ade,ml
27,0.31632623197290305,ade,ml
28,0.06964074644807311,ade,ml
29,0.42017158196144083,ade,ml
30,0.19403414893454277,ade,ml
31,0.06736408329356013,ade,ml
32,0.3268082247235792,ade,ml
33,1.0082063645252504,ade,ml
34,0.6486792050834532,ade,ml
35,0.4133199601100344,ade,ml
36,0.10134511300904751,ade,ml
37,0.32188923411389814,ade,ml
38,0.36243964862269945,ade,ml
39,1.2831152419399037,ade,ml
40,0.247303396076988,ade,ml
41,0.20400664985561934,ade,ml
42,0.7908621954234971,ade,ml
43,0.6033231623318118,ade,ml
44,0.38406707284978364,ade,ml
45,0.59572719000576,ade,ml
46,1.2429396597146232,ade,ml
47,0.8504620394434798,ade,ml
48,1.5568958537794992,ade,ml
49,0.5924459776497785,ade,ml
50,0.2939112065607941,ade,ml
51,1.0657150630716812,ade,ml
52,0.9612790666126781,ade,ml
53,0.14930806494715668,ade,ml
54,0.7590515709803581,ade,ml
55,1.23680343020662,ade,ml
56,0.7759814161132081,ade,ml
57,0.10348498692698176,ade,ml
58,0.5945252377124797,ade,ml
59,0.172087697892531,ade,ml
60,0.15871689179793605,ade,ml
61,0.2789889960867212,ade,ml
62,0.32473001487036596,ade,ml
63,0.10470904745653097,ade,ml
64,0.21636959283385906,ade,ml
65,0.300694934892713,ade,ml
66,0.616063920149977,ade,ml
67,0.6842681960326398,ade,ml
68,0.7612770301869863,ade,ml
69,0.6302549151173732,ade,ml
70,0.32360459175744244,ade,ml
71,0.28155871955158224,ade,ml
72,0.26575674727273363,ade,ml
73,0.11281823103502758,ade,ml
74,0.33175513291276665,ade,ml
75,1.2683277827330592,ade,ml
76,0.16836548445616736,ade,ml
77,0.7184812305485188,ade,ml
78,0.3990531430546838,ade,ml
79,0.5919850659842135,ade,ml
80,0.11346085693513137,ade,ml
81,0.3069239773242869,ade,ml
82,0.08165117420088165,ade,ml
83,0.4547733870069042,ade,ml
84,0.08793525118792535,ade,ml
85,0.1312427411267784,ade,ml
86,0.5276445352670563,ade,ml
87,1.2663201448181498,ade,ml
88,0.13468412909884128,ade,ml
89,0.25093430957607743,ade,ml
90,0.2528174124380054,ade,ml
91,1.5106685785655027,ade,ml
92,0.2945850851638729,ade,ml
93,0.23609608671761664,ade,ml
94,0.5652056824818584,ade,ml
95,0.5364603935290919,ade,ml
96,0.4850110643698593,ade,ml
97,0.36175474259791174,ade,ml
98,0.9365363680815681,ade,ml
99,0.8520577686311818,ade,ml
100,0.7685587406109531,ade,ml
101,0.9890463788917069,ade,ml
102,0.2972606860047642,ade,ml
103,0.5996013115625393,ade,ml
104,0.6942853647945001,ade,ml
105,0.13868393236157714,ade,ml
106,0.8951451068857698,ade,ml
107,0.13136990797977297,ade,ml
108,0.2507970450850459,ade,ml
109,0.06454497154784448,ade,ml
110,0.7285747735186371,ade,ml
111,0.17265291849455697,ade,ml
112,0.2258628056143461,ade,ml
113,0.34283306845922445,ade,ml
114,0.4313733990713156,ade,ml
115,0.06169551948057248,ade,ml
116,0.27037513303196253,ade,ml
117,0.3894568189611922,ade,ml
118,0.8446791964040075,ade,ml
119,0.4410097552629098,ade,ml
120,0.9660653867356573,ade,ml
121,0.75337154725814,ade,ml
122,0.38704757352615765,ade,ml
123,0.3029529519511906,ade,ml
124,0.34281164657684454,ade,ml
125,0.1388126257894822,ade,ml
126,0.3999332515330527,ade,ml
127,0.14879716726915165,ade,ml
128,0.24217431031193612,ade,ml
129,0.8581247219716711,ade,ml
130,0.41677298497266113,ade,ml
131,0.7057491640563289,ade,ml
132,0.19853316163632126,ade,ml
133,0.33160296092356195,ade,ml
134,0.07140239681360204,ade,ml
135,0.5364346008953296,ade,ml
136,0.13649479736833672,ade,ml
137,0.17632363726754588,ade,ml
138,0.5539238320393239,ade,ml
139,1.5669701803068197,ade,ml
140,0.13372094713785262,ade,ml
141,0.30935810911112704,ade,ml
142,0.5955710456064837,ade,ml
143,0.3043347794763452,ade,ml
144,0.24751007955629953,ade,ml
145,0.2759296871793481,ade,ml
146,0.3412462683487383,ade,ml
147,0.5641504427801206,ade,ml
148,0.2924006234432201,ade,ml
149,1.2322493965885766,ade,ml
150,1.039725338456009,ade,ml
151,0.7029200127290872,ade,ml
152,1.2099994060133474,ade,ml
153,0.3365604620660218,ade,ml
154,0.6961091659581996,ade,ml
155,0.6431957865272497,ade,ml
156,0.19273507514709867,ade,ml
157,1.2465726871937757,ade,ml
158,0.12363388674220188,ade,ml
159,0.2343674070412102,ade,ml
160,0.2451779017514072,ade,ml
161,0.08085342243826482,ade,ml
162,0.7209012689037083,ade,ml
163,0.09376128068567201,ade,ml
164,0.3067938139393083,ade,ml
165,0.41526661824197797,ade,ml
166,0.5393673058930116,ade,ml
167,0.11595407354901459,ade,ml
168,0.3497365509473067,ade,ml
169,1.1186578140121297,ade,ml
170,0.4483804141755922,ade,ml
171,1.201752836704329,ade,ml
