,value,metric,type
0,0.25835153172469205,ade,ml
1,0.4673402265251457,ade,ml
2,0.11370236424686876,ade,ml
3,0.10767552227705006,ade,ml
4,0.2687591715003493,ade,ml
5,0.35149068438554804,ade,ml
6,0.0870061375454914,ade,ml
7,0.17415211230925717,ade,ml
8,0.21493352237871677,ade,ml
9,0.4214624834479043,ade,ml
10,0.5424301864955748,ade,ml
11,0.5672183240750862,ade,ml
12,0.7630971396569848,ade,ml
13,0.48901662124041473,ade,ml
14,0.6030302030372368,ade,ml
15,0.41098365749907156,ade,ml
16,0.454453513739378,ade,ml
17,0.17570897344104056,ade,ml
18,0.17795694791748284,ade,ml
19,0.4861661511991941,ade,ml
20,1.1979243351727538,ade,ml
21,0.3591488865855475,ade,ml
22,0.6177867460720331,ade,ml
23,0.6228165116172569,ade,ml
24,0.43447879710845516,ade,ml
25,0.5675713770812894,ade,ml
26,0.25936630316015413,ade,ml
27,0.5293666708807624,ade,ml
28,0.055195848755909514,ade,ml
29,0.4508808328868185,ade,ml
30,0.7820698435640742,ade,ml
31,0.6273017382941906,ade,ml
32,0.8374698714181954,ade,ml
33,1.1664604779847532,ade,ml
34,0.5681992971737547,ade,ml
35,1.0731178111134365,ade,ml
36,0.8429768203808393,ade,ml
37,0.4873534750831348,ade,ml
38,0.5061280437179946,ade,ml
39,1.3678587523346584,ade,ml
40,0.2931245637127688,ade,ml
41,0.26309947102806663,ade,ml
42,1.122929507058715,ade,ml
43,1.1473029230709408,ade,ml
44,0.41250119264585466,ade,ml
45,0.613271274315231,ade,ml
46,1.054306958556195,ade,ml
47,0.6883708929559615,ade,ml
48,1.4718879415972508,ade,ml
49,0.44219621279064775,ade,ml
50,0.2833662017532328,ade,ml
51,1.067601571620694,ade,ml
52,0.9967093849503758,ade,ml
53,0.17972056283923132,ade,ml
54,1.6129627739730765,ade,ml
55,0.6891549647679344,ade,ml
56,0.7904185903395463,ade,ml
57,0.29498433477191593,ade,ml
58,0.21706074797802258,ade,ml
59,0.16772281574744463,ade,ml
60,0.1665459136323779,ade,ml
61,0.3139933342721252,ade,ml
62,0.21058860465183935,ade,ml
63,0.09348695552107711,ade,ml
64,0.12274954039551005,ade,ml
65,0.29180877371569763,ade,ml
66,0.6210733672945178,ade,ml
67,0.6641549994267805,ade,ml
68,0.736526437409231,ade,ml
69,0.7886004095916607,ade,ml
70,0.7723485374988451,ade,ml
71,0.425560949928262,ade,ml
72,0.2413899186954628,ade,ml
73,0.09615629704938661,ade,ml
74,0.3948309319148961,ade,ml
75,1.281007587383569,ade,ml
76,0.3745307161675581,ade,ml
77,0.7811277634660518,ade,ml
78,0.4610498572798063,ade,ml
79,0.5602273577839133,ade,ml
80,0.1399965945577752,ade,ml
81,0.49263169654576405,ade,ml
82,0.06056500854104358,ade,ml
83,0.550738808722648,ade,ml
84,0.5248763816217271,ade,ml
85,0.832083822600351,ade,ml
86,0.927962636196345,ade,ml
87,1.3115212152752467,ade,ml
88,0.8677538922794038,ade,ml
89,0.6173209147810704,ade,ml
90,0.491392451393798,ade,ml
91,1.520345042679682,ade,ml
92,0.33283590715460226,ade,ml
93,0.2927621557723965,ade,ml
94,0.8654959784871599,ade,ml
95,0.9992395773852545,ade,ml
96,0.5201103376731978,ade,ml
97,0.4030979335614188,ade,ml
98,0.8955406955899319,ade,ml
99,0.6031425035235053,ade,ml
100,0.7160659390299586,ade,ml
101,0.7830776719167861,ade,ml
102,0.32739388730884345,ade,ml
103,0.6143693144210486,ade,ml
104,0.7285218307519044,ade,ml
105,0.13043331256611482,ade,ml
106,1.7402825345956536,ade,ml
107,0.9381685342431684,ade,ml
108,0.5034447437632549,ade,ml
109,0.07229609307472137,ade,ml
110,0.21590795486428585,ade,ml
111,0.16062846265741737,ade,ml
112,0.2397933870129544,ade,ml
113,0.36756757424859415,ade,ml
114,0.41919405508567414,ade,ml
115,0.08131000416209767,ade,ml
116,0.252508098388238,ade,ml
117,0.3720740885357288,ade,ml
118,0.8475178994382876,ade,ml
119,0.529579196475187,ade,ml
120,0.9415238189706745,ade,ml
121,0.9146337323351621,ade,ml
122,0.8039180848220463,ade,ml
123,0.44940418328105675,ade,ml
124,0.33939221134131237,ade,ml
125,0.1263775271371799,ade,ml
126,0.4304444237204736,ade,ml
127,0.7454716454790723,ade,ml
128,0.4393261423674697,ade,ml
129,0.8955477013983307,ade,ml
130,0.5761855424463763,ade,ml
