,value,metric,type
0,0.7083312410172341,fde,best_of
1,0.6823015560090847,fde,best_of
2,0.3287295518786381,fde,best_of
3,0.11780501471189149,fde,best_of
4,0.5826141199370698,fde,best_of
5,0.6340534706830627,fde,best_of
6,0.5698712403785331,fde,best_of
7,0.43077733365571713,fde,best_of
8,0.054014471229126684,fde,best_of
9,0.22000428624757612,fde,best_of
10,0.04821679915342942,fde,best_of
11,0.32760940659118837,fde,best_of
12,1.4405488689478607,fde,best_of
13,0.6190462359888171,fde,best_of
14,0.1870995913884072,fde,best_of
15,0.4132618122294627,fde,best_of
16,0.2189310607386533,fde,best_of
17,0.196211279334255,fde,best_of
18,0.22104325112040524,fde,best_of
19,0.5566576967183383,fde,best_of
20,1.174534085416992,fde,best_of
21,0.21626544137149792,fde,best_of
22,0.4203953082187706,fde,best_of
23,0.5087081052943077,fde,best_of
24,0.34353151161693324,fde,best_of
25,0.1746507133777576,fde,best_of
26,0.19365423402072127,fde,best_of
27,2.4649992925378563,fde,best_of
28,1.6970941589321598,fde,best_of
29,0.4064181961108251,fde,best_of
30,0.23078357090122517,fde,best_of
31,0.048607371740614295,fde,best_of
32,0.24195732393977035,fde,best_of
33,0.07852277044273263,fde,best_of
34,0.08694304038421079,fde,best_of
35,1.3039319357740609,fde,best_of
36,1.1892841214617502,fde,best_of
37,0.8134797962218009,fde,best_of
38,0.30076807290126223,fde,best_of
39,0.24415603709039196,fde,best_of
40,0.2122486537953181,fde,best_of
41,0.3766451306494195,fde,best_of
42,0.2761673748054992,fde,best_of
43,1.9475334302120195,fde,best_of
44,1.2491642595194894,fde,best_of
45,0.8902798605739538,fde,best_of
46,0.07751387694972176,fde,best_of
47,0.3235623694154689,fde,best_of
48,0.09307364249523492,fde,best_of
49,0.27837504962024745,fde,best_of
50,1.4471550756067018,fde,best_of
51,1.8433737731274835,fde,best_of
52,0.6183708702935432,fde,best_of
53,0.10315883988024126,fde,best_of
54,0.2833629335158742,fde,best_of
55,0.2525245561640849,fde,best_of
56,0.17997500430528465,fde,best_of
57,0.6537984258145955,fde,best_of
58,0.9224211280304498,fde,best_of
59,0.377777137002878,fde,best_of
60,0.18798943927015221,fde,best_of
61,0.042682355843846685,fde,best_of
62,0.2865838368386646,fde,best_of
63,0.30314193301301623,fde,best_of
64,0.7012661460173891,fde,best_of
65,0.26280813536331066,fde,best_of
66,0.24522333821835332,fde,best_of
67,0.18805161712229237,fde,best_of
68,0.5606860963429777,fde,best_of
69,0.30196583916413866,fde,best_of
70,0.23361019182071843,fde,best_of
71,0.26739391975847043,fde,best_of
72,0.27489380633081184,fde,best_of
73,0.39580981332126314,fde,best_of
74,0.33394722543672467,fde,best_of
75,0.4352567081403165,fde,best_of
76,0.3344537649295476,fde,best_of
77,0.16090645623459748,fde,best_of
78,0.1529283785850158,fde,best_of
79,0.03660471488810394,fde,best_of
80,0.3081751572215473,fde,best_of
81,0.13175728489728722,fde,best_of
82,0.2293650350110952,fde,best_of
83,0.35617556607216555,fde,best_of
84,0.4189559419522604,fde,best_of
85,0.12669666688698172,fde,best_of
86,0.36112760968049085,fde,best_of
87,0.48185051545214,fde,best_of
88,0.22279278855001464,fde,best_of
89,0.07248722626789457,fde,best_of
90,0.3442993290573936,fde,best_of
91,0.24281315208846033,fde,best_of
92,0.2629306939291037,fde,best_of
93,0.619878012984283,fde,best_of
94,0.8163219773006559,fde,best_of
95,0.7408557411125434,fde,best_of
96,0.3630794766007666,fde,best_of
97,0.10954746552933492,fde,best_of
98,0.13875353380235436,fde,best_of
99,0.3767071994854436,fde,best_of
100,0.4735059300725345,fde,best_of
101,0.26319956138997413,fde,best_of
102,0.11923870237669655,fde,best_of
103,1.2502229033516974,fde,best_of
104,0.18953837689178998,fde,best_of
105,0.5623264624003347,fde,best_of
106,0.9727659301086229,fde,best_of
107,0.3339332467341861,fde,best_of
108,0.1186704259473042,fde,best_of
109,0.14203017712859442,fde,best_of
110,1.7920345116183902,fde,best_of
111,0.39592409581948435,fde,best_of
112,0.5504562896352234,fde,best_of
113,0.18859960551699567,fde,best_of
114,3.3199483085073425,fde,best_of
115,0.18991413940542012,fde,best_of
116,0.21974411512244518,fde,best_of
117,0.331813711036108,fde,best_of
118,1.3900417226002595,fde,best_of
119,0.48438247409024815,fde,best_of
120,0.4824152457603351,fde,best_of
121,0.7088329353943338,fde,best_of
122,0.8093942265776474,fde,best_of
123,0.27465149162577873,fde,best_of
124,0.6087713869491921,fde,best_of
125,1.0471546503388727,fde,best_of
126,0.3052263421269354,fde,best_of
127,0.40145170431474236,fde,best_of
128,0.8070169720277321,fde,best_of
129,0.5052530440638657,fde,best_of
130,0.022501967127240157,fde,best_of
131,0.22438983921929978,fde,best_of
132,0.00943898958016205,fde,best_of
133,0.34477233995567497,fde,best_of
134,0.0190841081478288,fde,best_of
135,0.13284597020310152,fde,best_of
136,0.018581384201595982,fde,best_of
137,0.16415542910624487,fde,best_of
138,0.014051398885779352,fde,best_of
139,0.09766319634357193,fde,best_of
140,0.01630248327719803,fde,best_of
141,0.12496632429211949,fde,best_of
142,0.017682396914609932,fde,best_of
143,0.1877851052000183,fde,best_of
144,0.3633841029714566,fde,best_of
145,0.1984016152994467,fde,best_of
146,0.012450290165797285,fde,best_of
147,0.33860819496603367,fde,best_of
148,0.18812683278260847,fde,best_of
149,0.17503671440428478,fde,best_of
150,0.025485898687111985,fde,best_of
151,0.3719527172356447,fde,best_of
152,0.23896281769203354,fde,best_of
153,0.5257684741154648,fde,best_of
154,0.021739417143920588,fde,best_of
155,0.17531758010242407,fde,best_of
156,0.15541009924752164,fde,best_of
157,0.16442809704418165,fde,best_of
158,0.05792581038629652,fde,best_of
159,0.3606620383296137,fde,best_of
160,0.1501381626558006,fde,best_of
161,0.16818429110802932,fde,best_of
162,0.061714531216177634,fde,best_of
163,0.1691825366197956,fde,best_of
164,0.3401650672615943,fde,best_of
165,0.20131684080340229,fde,best_of
166,0.06783469096179502,fde,best_of
167,0.2432589862457135,fde,best_of
168,0.14993274896077882,fde,best_of
169,0.3352501659090361,fde,best_of
170,0.2145501556004259,fde,best_of
171,0.15634900992307366,fde,best_of
172,0.19241557792224076,fde,best_of
173,0.3551542702262607,fde,best_of
174,0.3409120112922997,fde,best_of
175,0.13222027577955,fde,best_of
176,0.19141986273031658,fde,best_of
177,0.23541166659308418,fde,best_of
