,value,metric,type
0,0.48994442266290505,ade,ml
1,0.23881987198922724,ade,ml
2,0.04807571063156363,ade,ml
3,0.29200305114307584,ade,ml
4,0.4208949756036999,ade,ml
5,1.3663867293259406,ade,ml
6,0.517152210096135,ade,ml
7,0.5751503520277231,ade,ml
8,0.27245527886173887,ade,ml
9,0.08477844942634259,ade,ml
10,0.33667874468459136,ade,ml
11,0.11002866944893712,ade,ml
12,1.0240329318810786,ade,ml
13,0.7969295433072636,ade,ml
14,0.4935679206107724,ade,ml
15,0.3647892653728461,ade,ml
16,0.11736597365787853,ade,ml
17,0.14962335186811632,ade,ml
18,0.12778885929770542,ade,ml
19,0.9977204852582796,ade,ml
20,1.0221435637361023,ade,ml
21,0.6087741752400759,ade,ml
22,0.4673262834084769,ade,ml
23,0.5808712141023303,ade,ml
24,0.15346011423745395,ade,ml
25,0.1941256247981826,ade,ml
26,0.17938017324345015,ade,ml
27,1.2817103003567403,ade,ml
28,1.2782326526983867,ade,ml
29,0.3380597884694252,ade,ml
30,0.5428081333447242,ade,ml
31,0.6800442328971062,ade,ml
32,0.18320983135115973,ade,ml
33,0.24301384621744973,ade,ml
34,0.23121443231948666,ade,ml
35,1.1033005386204378,ade,ml
36,1.0788498971176081,ade,ml
37,0.7188630340752032,ade,ml
38,0.1622460888207997,ade,ml
39,0.28136216264129205,ade,ml
40,0.1308577751717315,ade,ml
41,0.31588094731773575,ade,ml
42,0.28755673212537297,ade,ml
43,1.3140812066347476,ade,ml
44,1.1307223905263726,ade,ml
45,0.8101641235129987,ade,ml
46,0.11585555937127458,ade,ml
47,0.1449109875214455,ade,ml
48,0.16345021155842268,ade,ml
49,0.3225963346755571,ade,ml
50,1.5985233415050801,ade,ml
51,1.3723359317496424,ade,ml
52,0.5762150018864146,ade,ml
53,0.14715436362545362,ade,ml
54,0.1796224981666691,ade,ml
55,0.18995050670016125,ade,ml
56,0.12283934757056127,ade,ml
57,1.3392011613019685,ade,ml
58,1.0397868759487565,ade,ml
59,0.7318681206076918,ade,ml
60,0.2971241518206727,ade,ml
61,0.0702576460115327,ade,ml
62,0.2555214030713336,ade,ml
63,0.19774307648160636,ade,ml
64,1.1767649770350117,ade,ml
65,0.49764483646079677,ade,ml
66,0.3592684807059425,ade,ml
67,0.277440888188981,ade,ml
68,1.2040930899738487,ade,ml
69,0.432444517587036,ade,ml
70,0.2997218879777542,ade,ml
71,0.3717889191557175,ade,ml
72,0.19408047559090338,ade,ml
73,0.3704958140878145,ade,ml
74,0.3852143883918255,ade,ml
75,0.3469712357742003,ade,ml
76,0.20337234894727776,ade,ml
77,0.28503832664687473,ade,ml
78,0.4964550499531188,ade,ml
79,0.31671713612372077,ade,ml
80,0.21740565391324074,ade,ml
81,0.2559315700185283,ade,ml
82,0.06892399384206165,ade,ml
83,0.4124787826010345,ade,ml
84,0.17339782938825812,ade,ml
85,0.29696696892043206,ade,ml
86,0.06819197883451916,ade,ml
87,0.24450647838453787,ade,ml
88,0.4138052826160241,ade,ml
89,0.09419325478494424,ade,ml
90,0.3010603656031541,ade,ml
91,0.3208916556783968,ade,ml
92,0.09398850201045533,ade,ml
93,0.3713302908313763,ade,ml
94,0.4283723464740852,ade,ml
95,0.23311616106787347,ade,ml
96,0.21856030169072416,ade,ml
97,0.616159277300452,ade,ml
98,0.25216199409739093,ade,ml
99,0.25722103523252743,ade,ml
100,0.83865002014986,ade,ml
101,0.352746458966438,ade,ml
102,0.3435778785834828,ade,ml
103,0.9864110233233959,ade,ml
104,0.16239120177139613,ade,ml
105,0.4406996528939831,ade,ml
106,1.2567470938464032,ade,ml
107,0.16931124546378595,ade,ml
108,0.23463066777836175,ade,ml
109,0.54636216794337,ade,ml
110,1.5760595613696466,ade,ml
111,0.16187529294445832,ade,ml
112,0.39465602265713695,ade,ml
113,0.5050654312262713,ade,ml
114,1.928815446456132,ade,ml
115,0.21480142490958654,ade,ml
116,0.4665895048363244,ade,ml
117,0.5983186002337082,ade,ml
118,1.4864217389009842,ade,ml
119,0.1217721690905189,ade,ml
120,0.6431733302634464,ade,ml
121,0.697154318027864,ade,ml
122,1.1578371507793193,ade,ml
123,0.18253521114895901,ade,ml
124,0.8050633827251926,ade,ml
125,1.4341927086583057,ade,ml
126,0.26556878652681537,ade,ml
127,0.2206025703244375,ade,ml
128,0.956899184870892,ade,ml
129,0.2675546010211796,ade,ml
130,0.020382075119015543,ade,ml
131,0.3201943506514831,ade,ml
132,0.009991974598498118,ade,ml
133,0.3893629740369573,ade,ml
134,0.009129666489624851,ade,ml
135,0.30206220836303355,ade,ml
136,0.009625034415365724,ade,ml
137,0.0952755789451397,ade,ml
138,0.009788925052081012,ade,ml
139,0.09554183102970011,ade,ml
140,0.008511944100203997,ade,ml
141,0.1039853996100985,ade,ml
142,0.012361865957051797,ade,ml
143,0.2308005705760038,ade,ml
144,0.18005263020336396,ade,ml
145,0.2871299643726565,ade,ml
146,0.012180682164527114,ade,ml
147,0.28444123564712026,ade,ml
148,0.19801878612464188,ade,ml
149,0.4523482477713232,ade,ml
150,0.007330974880334229,ade,ml
151,0.3016532530798003,ade,ml
152,0.26019805854153516,ade,ml
153,0.5538885700677912,ade,ml
154,0.006405099511082427,ade,ml
155,0.28907161500231565,ade,ml
156,0.13949285776195802,ade,ml
157,0.1516705048358766,ade,ml
158,0.011131651468133358,ade,ml
159,0.3477267656001741,ade,ml
160,0.1563758771186434,ade,ml
161,0.16594163765550474,ade,ml
162,0.02249777458949458,ade,ml
163,0.4122523300246681,ade,ml
164,0.1644863119261906,ade,ml
165,0.20485857740009125,ade,ml
166,0.036971948314704225,ade,ml
167,0.12558097244404764,ade,ml
168,0.17304311781678383,ade,ml
169,0.3942443155857331,ade,ml
170,0.057748813761662264,ade,ml
171,0.07176936506742064,ade,ml
172,0.2006452132092733,ade,ml
173,0.5997353403351219,ade,ml
174,0.08578642520544237,ade,ml
175,0.0867551154451696,ade,ml
176,0.23061528870954262,ade,ml
177,0.7119327602202,ade,ml
178,0.12127955019437596,ade,ml
179,0.12214784374607009,ade,ml
180,0.2783632366176872,ade,ml
181,0.8192834369341849,ade,ml
182,0.16437532822948128,ade,ml
183,0.16863801576561507,ade,ml
184,0.19776798359077843,ade,ml
185,0.3710481871282008,ade,ml
186,0.21502410241738298,ade,ml
187,0.3200123608168242,ade,ml
188,0.6556729075878476,ade,ml
189,0.3645186887558187,ade,ml
190,0.7816830945887415,ade,ml
191,0.4209834841071592,ade,ml
192,0.1892582611248006,ade,ml
193,0.05958955120939547,ade,ml
194,0.16879089286518537,ade,ml
195,0.38382341253831814,ade,ml
196,0.08055917525167132,ade,ml
197,0.012715501095521617,ade,ml
198,0.48537634301487137,ade,ml
199,0.11150732812269015,ade,ml
200,0.015383669866351105,ade,ml
