,value,metric,type
0,0.2249101725239321,ade,ml
1,0.2502855686597857,ade,ml
2,0.2475400296150869,ade,ml
3,0.1960151647610664,ade,ml
4,0.23293324758056158,ade,ml
5,0.2476194454781839,ade,ml
6,0.9380220300278485,ade,ml
7,0.1729631381866489,ade,ml
8,1.057958909657697,ade,ml
9,0.17437216684863033,ade,ml
10,0.8490125735600774,ade,ml
11,0.1901995340326179,ade,ml
12,0.8983956221796547,ade,ml
13,0.26023711248949516,ade,ml
14,0.39846761126875685,ade,ml
15,0.2975303576919996,ade,ml
16,1.0184407614133988,ade,ml
17,0.10184176760836929,ade,ml
18,0.10732383177572848,ade,ml
19,1.1097766303687635,ade,ml
20,0.12468357586916379,ade,ml
21,0.12335334494989329,ade,ml
22,0.14972365102681448,ade,ml
23,0.14432712102242615,ade,ml
24,0.2725654134121826,ade,ml
25,0.17359903052473305,ade,ml
26,0.28913463731812095,ade,ml
27,0.19699313272332675,ade,ml
28,0.36391434936908573,ade,ml
29,0.24039827551165974,ade,ml
30,0.11970068586133088,ade,ml
31,0.316485848216245,ade,ml
32,0.19271826620811291,ade,ml
33,0.3949792529259815,ade,ml
34,0.8001563742769809,ade,ml
35,0.40349021024645687,ade,ml
36,0.1750961497293021,ade,ml
37,0.19693365581616332,ade,ml
38,0.21759500940987264,ade,ml
39,0.21927090838497088,ade,ml
40,0.29417631078023126,ade,ml
41,0.34340417065212514,ade,ml
42,0.3285757285056002,ade,ml
43,0.43869838159535846,ade,ml
44,0.5117210291054902,ade,ml
45,0.28940430715351645,ade,ml
46,0.2020887631722108,ade,ml
47,0.31250423537524147,ade,ml
48,0.4752722259912215,ade,ml
49,0.10887039768361712,ade,ml
50,0.7627805304084779,ade,ml
51,0.2725637869204502,ade,ml
52,0.3480165524024164,ade,ml
53,1.022283620845115,ade,ml
54,0.3560707622873991,ade,ml
55,0.1803076416548377,ade,ml
56,0.2620213523620602,ade,ml
57,1.3182089085099868,ade,ml
58,0.42293796118302035,ade,ml
59,0.14372015258604548,ade,ml
60,0.21518064236661913,ade,ml
61,1.6279967603814274,ade,ml
62,0.2510946084029997,ade,ml
63,0.23639629496521009,ade,ml
64,0.15175931599753345,ade,ml
65,1.928049180978248,ade,ml
66,0.07020466727082632,ade,ml
67,0.21012771195884125,ade,ml
68,0.20310410375454388,ade,ml
69,0.1378507243407302,ade,ml
70,2.08993561526638,ade,ml
71,0.09461712158833073,ade,ml
72,0.19857487351528758,ade,ml
73,0.2819460960730557,ade,ml
74,0.1966407048834741,ade,ml
75,1.8438186261728513,ade,ml
76,0.10344173388738032,ade,ml
77,0.20702206596481446,ade,ml
78,0.333856218069859,ade,ml
79,0.260840437768322,ade,ml
80,0.44164761236391303,ade,ml
81,0.29035536259370015,ade,ml
82,2.0702664043573056,ade,ml
83,0.11527617846605731,ade,ml
84,0.2541245318632805,ade,ml
85,0.42252567568851035,ade,ml
86,0.3340676536442316,ade,ml
87,0.17638526766279639,ade,ml
88,0.20494980775970026,ade,ml
89,2.1362196384992473,ade,ml
90,0.2303443023434919,ade,ml
91,0.28792384752842565,ade,ml
92,0.5223700268500294,ade,ml
93,0.4134481560815824,ade,ml
94,0.1999206667546871,ade,ml
95,0.2625101542651193,ade,ml
96,2.623421303567323,ade,ml
97,0.2500266408836545,ade,ml
98,0.3487930729153173,ade,ml
99,0.6246420057040848,ade,ml
100,0.566365009933402,ade,ml
101,0.22635860192712187,ade,ml
102,0.3394041705543725,ade,ml
103,3.178730087506228,ade,ml
104,0.2552079150479493,ade,ml
105,0.36941527930441126,ade,ml
106,0.4583973706018107,ade,ml
107,0.7113766600304494,ade,ml
108,0.32272545612726317,ade,ml
109,0.3962679396181867,ade,ml
110,0.2912514210853531,ade,ml
111,0.290016381069169,ade,ml
112,0.5323377620780331,ade,ml
113,0.847293601361788,ade,ml
114,0.5214134719275753,ade,ml
115,0.706472759132334,ade,ml
116,0.03815186968224668,ade,ml
117,0.3216070005903645,ade,ml
118,0.6217882043009104,ade,ml
119,0.6623921566887981,ade,ml
120,0.5250275342888908,ade,ml
121,0.8614321543794219,ade,ml
122,0.13204517286628212,ade,ml
123,0.3668129623068648,ade,ml
124,0.4442896821245545,ade,ml
125,0.3637153411952901,ade,ml
126,0.5295515095932998,ade,ml
127,1.0570725763672961,ade,ml
128,0.12031032958195859,ade,ml
129,0.42170238740966126,ade,ml
130,0.5083254394288268,ade,ml
131,0.3779243283413465,ade,ml
132,0.6257374369446251,ade,ml
133,0.7957822015045405,ade,ml
134,0.12328168341079758,ade,ml
135,0.5114093140013161,ade,ml
136,0.4142029830516307,ade,ml
137,0.6708173681212406,ade,ml
138,0.947447224876381,ade,ml
139,0.14466151559585094,ade,ml
140,0.8650267866669868,ade,ml
141,0.27069928054217884,ade,ml
142,0.4629241052211164,ade,ml
143,0.5939577528990755,ade,ml
144,0.1558876683382188,ade,ml
145,1.0171324711576797,ade,ml
146,0.42444225503410055,ade,ml
147,0.5300995484344796,ade,ml
148,0.6098428936482806,ade,ml
149,0.11396311735250635,ade,ml
