,value,metric,type
0,0.21989558469654122,ade,best_of
1,0.18876133001842166,ade,best_of
2,0.26508354435920684,ade,best_of
3,0.12960551805399084,ade,best_of
4,0.24255119401923422,ade,best_of
5,0.1075098630419045,ade,best_of
6,0.4926973568388726,ade,best_of
7,0.04714628784061653,ade,best_of
8,0.5563474117228824,ade,best_of
9,0.09445803012865293,ade,best_of
10,0.409425867019046,ade,best_of
11,0.09093470195243963,ade,best_of
12,0.5855603634120972,ade,best_of
13,0.09495170823275167,ade,best_of
14,0.17196783830159948,ade,best_of
15,0.1511747068779621,ade,best_of
16,0.38164855584010837,ade,best_of
17,0.07468001081717905,ade,best_of
18,0.061063140021900754,ade,best_of
19,0.5914396382195958,ade,best_of
20,0.0998247308148369,ade,best_of
21,0.08177848147270028,ade,best_of
22,0.10701719282286644,ade,best_of
23,0.1214247325357886,ade,best_of
24,0.046249735149163036,ade,best_of
25,0.16415895305546016,ade,best_of
26,0.10083352290151942,ade,best_of
27,0.07389343532494623,ade,best_of
28,0.1579825692916845,ade,best_of
29,0.08098284963708545,ade,best_of
30,0.19145397322295457,ade,best_of
31,0.19777250845737146,ade,best_of
32,0.16996161074305824,ade,best_of
33,0.18368518193976344,ade,best_of
34,0.5326480893987074,ade,best_of
35,0.24503790533275346,ade,best_of
36,0.13037045194835786,ade,best_of
37,0.16822284904024465,ade,best_of
38,0.16058037174225226,ade,best_of
39,0.17055280223506522,ade,best_of
40,0.17502933580801935,ade,best_of
41,0.18831934854559307,ade,best_of
42,0.13852526964775383,ade,best_of
43,0.050823612208395964,ade,best_of
44,0.16457317966461651,ade,best_of
45,0.19464508005274225,ade,best_of
46,0.2251127724449422,ade,best_of
47,0.28697229556050674,ade,best_of
48,0.3954121687433998,ade,best_of
49,0.1358451821561539,ade,best_of
50,0.516987446030818,ade,best_of
51,0.20494779921573217,ade,best_of
52,0.22670552134603816,ade,best_of
53,0.45392851082050956,ade,best_of
54,0.13654670492209098,ade,best_of
55,0.07643209847413156,ade,best_of
56,0.11952274646396249,ade,best_of
57,0.6829553534109057,ade,best_of
58,0.14593751380014228,ade,best_of
59,0.19414112329095193,ade,best_of
60,0.09574141328580427,ade,best_of
61,1.3210875098149466,ade,best_of
62,0.0898455844917684,ade,best_of
63,0.08690179632005046,ade,best_of
64,0.1720412041568732,ade,best_of
65,1.6104979548160292,ade,best_of
66,0.12133773870579367,ade,best_of
67,0.08029061054271446,ade,best_of
68,0.15522698105209343,ade,best_of
69,0.11325329631404524,ade,best_of
70,0.886991943324035,ade,best_of
71,0.10909400305474455,ade,best_of
72,0.048824969567029135,ade,best_of
73,0.11620075955388463,ade,best_of
74,0.11237226801763149,ade,best_of
75,1.2069165161803894,ade,best_of
76,0.12631399061522283,ade,best_of
77,0.11809423666988295,ade,best_of
78,0.11046676995173216,ade,best_of
79,0.12204269340929384,ade,best_of
80,0.2538272813018174,ade,best_of
