,value,metric,type
0,0.022534441306823506,fde,best_of
1,0.4073035222757406,fde,best_of
2,0.027482262789159773,fde,best_of
3,0.2761499379788968,fde,best_of
4,0.17176265732937765,fde,best_of
5,0.25467285066506395,fde,best_of
6,1.1113729802899828,fde,best_of
7,0.018916076047256248,fde,best_of
8,1.0920908026151614,fde,best_of
9,0.1364392759659657,fde,best_of
10,0.6807581617778001,fde,best_of
11,0.16854960336037536,fde,best_of
12,1.1969996091577804,fde,best_of
13,0.22229519104266993,fde,best_of
14,0.4146042136630529,fde,best_of
15,0.24785314863717187,fde,best_of
16,0.5034999641722355,fde,best_of
17,0.16181431029257518,fde,best_of
18,0.012685861066658196,fde,best_of
19,0.5537904544925965,fde,best_of
20,0.21127537168002103,fde,best_of
21,0.058743923366078976,fde,best_of
22,0.27247291768599036,fde,best_of
23,0.10648395111180438,fde,best_of
24,0.029101494472998802,fde,best_of
25,0.17426857365753315,fde,best_of
26,0.1341952323582331,fde,best_of
27,0.13835932588011096,fde,best_of
28,0.29851098930634523,fde,best_of
29,0.1421840934255124,fde,best_of
30,0.3174295359641118,fde,best_of
31,0.498246059196673,fde,best_of
32,0.21031768399611916,fde,best_of
33,0.3260696133875053,fde,best_of
34,1.082331552367215,fde,best_of
35,0.2702012279995626,fde,best_of
36,0.39019861305476744,fde,best_of
37,0.31543208705312614,fde,best_of
38,0.29823213831069056,fde,best_of
39,0.3493540542291186,fde,best_of
40,0.45347080521876226,fde,best_of
41,0.38909863170687353,fde,best_of
42,0.2486469304867484,fde,best_of
43,0.15395793515186273,fde,best_of
44,0.3810974511756698,fde,best_of
45,0.31313683732830383,fde,best_of
46,0.6048851855301396,fde,best_of
47,1.0732627926629166,fde,best_of
48,1.1496081461672945,fde,best_of
49,0.298657736510905,fde,best_of
50,1.3505540043121613,fde,best_of
51,0.4805386903166406,fde,best_of
52,0.48305765106350834,fde,best_of
53,1.0658088849271667,fde,best_of
54,0.23562298572751164,fde,best_of
55,0.1412457111429826,fde,best_of
56,0.34253306574629894,fde,best_of
57,2.0501709103314067,fde,best_of
58,0.19825870331067344,fde,best_of
59,0.277360952071909,fde,best_of
60,0.3108645530759701,fde,best_of
61,2.995285300325126,fde,best_of
62,0.20067945659403422,fde,best_of
63,0.1037737362614321,fde,best_of
64,0.3213829853532722,fde,best_of
65,3.011009535511939,fde,best_of
66,0.29889964430598537,fde,best_of
67,0.12475935703924067,fde,best_of
68,0.3652096758425807,fde,best_of
69,0.12038268612965541,fde,best_of
70,1.9028177483268998,fde,best_of
71,0.30143208972461594,fde,best_of
72,0.15194552518497514,fde,best_of
73,0.46163826624115906,fde,best_of
74,0.24269494146831158,fde,best_of
75,2.7801311921634793,fde,best_of
76,0.1367378641235943,fde,best_of
77,0.1464287855558147,fde,best_of
78,0.16334927973142652,fde,best_of
79,0.26938714939716596,fde,best_of
80,0.37049365925487127,fde,best_of
81,0.25870049696356634,fde,best_of
82,2.773484290717553,fde,best_of
83,0.277540695684816,fde,best_of
84,0.17606672721804928,fde,best_of
85,0.2554423949333629,fde,best_of
86,0.43811722417323773,fde,best_of
87,0.047280248860896136,fde,best_of
88,0.27284034481918346,fde,best_of
89,2.2617407207437545,fde,best_of
90,0.19731825324957006,fde,best_of
91,0.3398243581499531,fde,best_of
92,0.36961433978358127,fde,best_of
93,0.37848002021039645,fde,best_of
94,0.04630467512660664,fde,best_of
95,0.38256227091187994,fde,best_of
96,4.019117593391233,fde,best_of
97,0.08868171634224066,fde,best_of
98,0.3310468188463648,fde,best_of
99,0.3363813233513499,fde,best_of
100,0.5674563022545553,fde,best_of
101,0.09299613105573402,fde,best_of
102,0.30761293756110347,fde,best_of
103,5.419343049287302,fde,best_of
104,0.12035762503199648,fde,best_of
105,0.39888879611212286,fde,best_of
106,0.5240454851345243,fde,best_of
107,0.7446622077557435,fde,best_of
108,0.23587694109878446,fde,best_of
109,0.20274868971554935,fde,best_of
110,0.31924023658510864,fde,best_of
111,0.4268805539925852,fde,best_of
112,0.39867032610418535,fde,best_of
113,0.8965506715179045,fde,best_of
114,0.5037519674466735,fde,best_of
115,1.0485103341905975,fde,best_of
116,0.19244284023258423,fde,best_of
117,0.2920575471958972,fde,best_of
118,0.6353210838694929,fde,best_of
119,0.45880718909136037,fde,best_of
120,0.43298040877273636,fde,best_of
121,0.14770460497960203,fde,best_of
122,0.19079957443000156,fde,best_of
123,0.34342291086585985,fde,best_of
124,0.2840783829567989,fde,best_of
125,0.16589186900277117,fde,best_of
126,0.46574307475400684,fde,best_of
127,1.7493618709280179,fde,best_of
128,0.4353868966904939,fde,best_of
129,0.39540943769117876,fde,best_of
130,0.4626952272881662,fde,best_of
131,0.45611261544146103,fde,best_of
132,0.627722216494076,fde,best_of
133,0.9116401479145977,fde,best_of
