,value,metric,type
0,0.2795055621189399,fde,ml
1,0.6969296971011384,fde,ml
2,1.3822810392606697,fde,ml
3,0.3966818890154693,fde,ml
4,2.0435318841383636,fde,ml
5,0.4903516946293799,fde,ml
6,1.8478754653415868,fde,ml
7,0.5821105834817696,fde,ml
8,1.6682284983708595,fde,ml
9,0.508566298292261,fde,ml
10,0.9797870396468386,fde,ml
11,0.6357506222814435,fde,ml
12,0.43667894822572223,fde,ml
13,0.2519991032580288,fde,ml
14,0.4184095154899836,fde,ml
15,0.36194635860950686,fde,ml
16,0.08320852207547667,fde,ml
17,0.3885274684542561,fde,ml
18,0.3059739003854499,fde,ml
19,0.920497129928926,fde,ml
20,0.5365918030552931,fde,ml
21,0.10290928572803971,fde,ml
22,0.6057127136534978,fde,ml
23,0.39711414681169915,fde,ml
24,0.6566066739994945,fde,ml
25,0.6114859611497839,fde,ml
26,0.18804981935940432,fde,ml
27,0.6277513420091198,fde,ml
28,0.5198778262112677,fde,ml
29,0.7775449020763882,fde,ml
30,0.22328956245450143,fde,ml
31,0.6633870249979089,fde,ml
32,0.11601627401170748,fde,ml
33,0.6733931738664114,fde,ml
34,1.0803623125959982,fde,ml
35,0.9933005747418769,fde,ml
36,0.3411420564674342,fde,ml
37,0.44956966659084197,fde,ml
38,0.3892935700231809,fde,ml
39,0.3487161170365973,fde,ml
40,0.6331489542076262,fde,ml
41,0.5473783005595235,fde,ml
42,0.5047654787184377,fde,ml
43,0.5278495951184955,fde,ml
44,0.13164742527833953,fde,ml
45,0.45897871988789307,fde,ml
46,0.954813914917431,fde,ml
47,1.5843964013393268,fde,ml
48,2.157208802625777,fde,ml
49,0.5494686429368068,fde,ml
50,2.5556069174941123,fde,ml
51,0.6437971132685358,fde,ml
52,0.3687715679579405,fde,ml
53,2.9532101968249234,fde,ml
54,0.3497822316208448,fde,ml
55,0.36333625613667075,fde,ml
56,0.20349773799314724,fde,ml
57,3.1998280694909496,fde,ml
58,0.21668782633207204,fde,ml
59,0.39849935268215764,fde,ml
60,0.33912590036629103,fde,ml
61,3.2815323182549805,fde,ml
62,0.20804606235981746,fde,ml
63,0.3801174516164555,fde,ml
64,0.42360048074375095,fde,ml
65,3.084995491858534,fde,ml
66,0.2221269035501527,fde,ml
67,0.30343338294888417,fde,ml
68,0.5562651832357567,fde,ml
69,0.621252883688132,fde,ml
70,3.3829820092511165,fde,ml
71,0.24038132267330867,fde,ml
72,0.38923451139914944,fde,ml
73,0.6541073072892493,fde,ml
74,0.7276285829284572,fde,ml
75,3.641155304773504,fde,ml
76,0.3453215350013125,fde,ml
77,0.43974754568389496,fde,ml
78,0.8460752403949886,fde,ml
79,0.8308036874219332,fde,ml
80,0.3180659406443428,fde,ml
81,0.535016704666722,fde,ml
82,4.592523618615431,fde,ml
