,value,metric,type
0,0.907038587865217,ade,ml
1,0.497180496496606,ade,ml
2,0.7436244422238527,ade,ml
3,2.260210749168721,ade,ml
4,0.8741065662990802,ade,ml
5,0.15914442059432785,ade,ml
6,0.49344063069452604,ade,ml
7,0.23930923975723792,ade,ml
8,0.011670012374321819,ade,ml
9,0.21397443777331993,ade,ml
10,0.07575306920842224,ade,ml
11,0.01103146468319837,ade,ml
12,0.2499954911377437,ade,ml
13,0.09047287286518137,ade,ml
14,0.011746678848200442,ade,ml
15,0.2852183872258218,ade,ml
16,0.10777831122364057,ade,ml
17,0.01418274107048653,ade,ml
18,0.32409842899029956,ade,ml
19,0.21586480083467643,ade,ml
20,0.018332747335986527,ade,ml
21,0.3585897411962693,ade,ml
22,0.5044196472717474,ade,ml
23,0.022732118833608064,ade,ml
24,0.3900186910970132,ade,ml
25,0.4361627971599435,ade,ml
26,0.02483104654539806,ade,ml
27,0.35359872609333526,ade,ml
28,0.24298395419278732,ade,ml
29,0.031697834557736865,ade,ml
30,0.9152339168180621,ade,ml
31,0.18602738582493153,ade,ml
32,0.0363060915980021,ade,ml
33,1.0585350541631975,ade,ml
34,0.27530366284548835,ade,ml
35,0.042411241565100476,ade,ml
36,1.2627643661009795,ade,ml
37,0.44704188471214473,ade,ml
38,0.048951962017448426,ade,ml
39,0.8339131127745035,ade,ml
40,0.34311181949871344,ade,ml
41,0.05178189484238998,ade,ml
42,0.4901385646670313,ade,ml
43,0.44017516021131503,ade,ml
44,0.04871757635148771,ade,ml
45,0.5525292694440762,ade,ml
46,0.09769432631666375,ade,ml
47,0.611447846490062,ade,ml
48,0.0896442948221282,ade,ml
49,0.5303915305954047,ade,ml
50,0.07766549862467372,ade,ml
51,0.33780933630940685,ade,ml
52,0.020108641656251643,ade,ml
53,0.8749234114162077,ade,ml
54,0.03643782833789282,ade,ml
55,1.6609842581134797,ade,ml
56,0.03306993557569402,ade,ml
57,0.4673551550987806,ade,ml
58,0.043203185379645244,ade,ml
59,0.2139413564644587,ade,ml
