,value,metric,type
0,1.7880813430939573,fde,ml
1,1.4762111471925168,fde,ml
2,2.693811704900623,fde,ml
3,6.097771789838851,fde,ml
4,1.9181219920173398,fde,ml
5,0.5602901869643118,fde,ml
6,1.4489135798183999,fde,ml
7,0.2930784303145011,fde,ml
8,0.013282459712865733,fde,ml
9,0.6344870699449537,fde,ml
10,0.1500455679653596,fde,ml
11,0.012211541846064182,fde,ml
12,0.45717914254342246,fde,ml
13,0.22686309871330138,fde,ml
14,0.020794111826089024,fde,ml
15,0.45749836920035186,fde,ml
16,0.1994994863031857,fde,ml
17,0.04304443366111171,fde,ml
18,0.45717914254342246,fde,ml
19,0.47989341442432065,fde,ml
20,0.06375176718948734,fde,ml
21,0.4261498488251564,fde,ml
22,1.009712073177797,fde,ml
23,0.06375176718948734,fde,ml
24,0.3897768374103871,fde,ml
25,0.8233328105183627,fde,ml
26,0.06044589550710009,fde,ml
27,0.9830571844949518,fde,ml
28,0.3701158538122355,fde,ml
29,0.06768139336476398,fde,ml
30,2.20715445594852,fde,ml
31,0.2851535403027978,fde,ml
32,0.06481916740375576,fde,ml
33,2.435114987068403,fde,ml
34,0.5862841006087556,fde,ml
35,0.0683685740461672,fde,ml
36,2.5714421126471665,fde,ml
37,0.8881935096665782,fde,ml
38,0.06992632428171587,fde,ml
39,1.44514326934644,fde,ml
40,0.6342369839524687,fde,ml
41,0.06851711503876119,fde,ml
42,0.7649937802072951,fde,ml
43,0.921694017558704,fde,ml
44,0.07692861483230103,fde,ml
45,1.1564179353733237,fde,ml
46,0.1969544876505662,fde,ml
47,0.7580576931643388,fde,ml
48,0.19851432780789255,fde,ml
49,0.7411252097413756,fde,ml
50,0.1642223002804026,fde,ml
51,0.36019536467262225,fde,ml
52,0.0990778379714393,fde,ml
53,1.6399734144572093,fde,ml
54,0.10503476242603581,fde,ml
55,3.2934520681240365,fde,ml
56,0.09126877579861829,fde,ml
57,0.9469579055800528,fde,ml
58,0.09887597476083375,fde,ml
59,0.3363460577712079,fde,ml
60,2.5880059924787844,fde,ml
61,0.5795259842444374,fde,ml
62,1.2791227094426674,fde,ml
63,5.504139468249964,fde,ml
64,3.231557508812759,fde,ml
65,0.6349291856840321,fde,ml
66,1.075127139176517,fde,ml
67,1.2761659372457652,fde,ml
68,1.461258927656794,fde,ml
69,1.3975441573807799,fde,ml
70,3.1605586522285285,fde,ml
71,3.8366687248679536,fde,ml
72,3.7746403144243708,fde,ml
73,2.4609222510070614,fde,ml
74,1.370055062374879,fde,ml
75,1.40906532794435,fde,ml
76,1.5126763997463464,fde,ml
77,1.4567089664487005,fde,ml
78,1.4530334588767992,fde,ml
79,0.852269107150714,fde,ml
80,1.751880071315704,fde,ml
81,1.14126778235673,fde,ml
82,2.7737867321987677,fde,ml
83,2.28708642985273,fde,ml
84,0.8768497631385774,fde,ml
85,0.17188676813738626,fde,ml
86,0.46796098737873176,fde,ml
87,0.41448214763685703,fde,ml
88,0.7813283653560582,fde,ml
89,1.2124801738692046,fde,ml
90,1.4578750261924673,fde,ml
91,2.23832171654472,fde,ml
92,2.1391870009407916,fde,ml
93,2.4832096162324726,fde,ml
94,2.8661776045469276,fde,ml
95,3.337169950939717,fde,ml
96,3.747829255396373,fde,ml
97,1.7881486183595903,fde,ml
98,2.087951599016645,fde,ml
99,3.443428004345597,fde,ml
100,1.8785348582471069,fde,ml
101,0.6392353487323892,fde,ml
102,0.4032274237180346,fde,ml
103,1.062677441376557,fde,ml
104,0.9086462194783461,fde,ml
105,0.977848212563489,fde,ml
106,0.755714299632866,fde,ml
107,1.3574980737217786,fde,ml
108,0.7470315327443316,fde,ml
109,0.5716355602274142,fde,ml
110,0.6325551525501563,fde,ml
111,1.0600728471223988,fde,ml
112,0.627170961637504,fde,ml
113,0.9528663131653242,fde,ml
114,1.73849292358659,fde,ml
115,1.3840772735874005,fde,ml
116,2.2039919974116007,fde,ml
117,1.8303881437692657,fde,ml
118,1.5710318578097424,fde,ml
119,3.4944750904657367,fde,ml
120,3.6057319943764323,fde,ml
121,3.5230867596464033,fde,ml
122,3.629472242905074,fde,ml
123,2.4108841465289945,fde,ml
124,2.81933282522585,fde,ml
125,4.050525135180208,fde,ml
126,2.7514989521488062,fde,ml
127,2.4804086526809925,fde,ml
128,3.1883435152974324,fde,ml
129,3.306301754065221,fde,ml
130,3.2384927559750807,fde,ml
131,2.1816405231225677,fde,ml
132,2.250938746672362,fde,ml
133,1.4333291014747405,fde,ml
134,1.4594321406369473,fde,ml
135,1.684995145947541,fde,ml
136,0.6668331237923416,fde,ml
137,0.9420095718545856,fde,ml
138,0.30015407758924934,fde,ml
139,0.9558472809890247,fde,ml
140,0.9117264487493617,fde,ml
141,2.846006432225909,fde,ml
142,0.22017400809980578,fde,ml
143,3.1070435836050754,fde,ml
144,1.799952361565824,fde,ml
145,0.7708870509870968,fde,ml
146,4.1555909566511,fde,ml
147,0.873978098739605,fde,ml
148,1.9127989944317816,fde,ml
149,0.546402991238231,fde,ml
150,2.4150552633824107,fde,ml
151,2.384555723624192,fde,ml
152,0.8058370405322126,fde,ml
153,0.7937902794976804,fde,ml
154,0.4171568582078312,fde,ml
