,value,metric,type
0,1.41165246509884,kde,best_of
1,0.8810324858378,kde,best_of
2,4.455486558104933,kde,best_of
3,9.554631891764028,kde,best_of
4,1.5425210593082939,kde,best_of
5,-0.5728198283203154,kde,best_of
6,0.7751911191406917,kde,best_of
7,-0.15713175725500184,kde,best_of
8,-3.6557368143102837,kde,best_of
9,-1.844656128433944,kde,best_of
10,-1.556376747539401,kde,best_of
11,-3.7600146104320573,kde,best_of
12,-0.12744578261950457,kde,best_of
13,-1.1335774531684721,kde,best_of
14,-5.063032570704911,kde,best_of
15,8.966011079443389,kde,best_of
16,-1.901185941204612,kde,best_of
17,-4.442221769277785,kde,best_of
18,8.011111432900137,kde,best_of
19,-0.5014146832375964,kde,best_of
20,-5.1006793511227135,kde,best_of
21,13.068509077309745,kde,best_of
22,1.1741619829489052,kde,best_of
23,-4.997749537171539,kde,best_of
24,10.75304723261244,kde,best_of
25,-0.7365613867484797,kde,best_of
26,-3.5232935896988913,kde,best_of
27,5.895612676649593,kde,best_of
28,-1.2177399166847775,kde,best_of
29,-4.777332940517682,kde,best_of
30,1.1105074537543316,kde,best_of
31,-1.1352845217931375,kde,best_of
32,-4.447399474358525,kde,best_of
33,4.105136579292359,kde,best_of
34,-1.010463064392208,kde,best_of
35,-4.202485603510119,kde,best_of
36,4.355734915993509,kde,best_of
37,-0.3117722606120234,kde,best_of
38,-4.594442661333399,kde,best_of
39,2.7771832173975737,kde,best_of
40,1.731967765954328,kde,best_of
41,-1.628432588145611,kde,best_of
42,2.7834738846899048,kde,best_of
43,2.9381705622986187,kde,best_of
44,-3.2760475536542346,kde,best_of
45,2.784245216233445,kde,best_of
46,-4.152575546114782,kde,best_of
47,1.5434493945729102,kde,best_of
48,-3.7772310732388523,kde,best_of
49,-0.0315647113032414,kde,best_of
50,-2.231773490400695,kde,best_of
51,0.0974028796041866,kde,best_of
52,-2.79335046679808,kde,best_of
53,4.2522557334946764,kde,best_of
54,-4.529805849660444,kde,best_of
55,18.260064578498486,kde,best_of
56,-5.119766243119154,kde,best_of
57,0.9727721078685678,kde,best_of
58,-4.328030348982907,kde,best_of
59,1.2071992758256247,kde,best_of
60,4.506648419617829,kde,best_of
61,-0.2437393556991733,kde,best_of
62,0.1645245199495703,kde,best_of
63,10.65704156337064,kde,best_of
64,5.5030518277789024,kde,best_of
65,1.9045027297676551,kde,best_of
66,1.4026763210692506,kde,best_of
67,4.716816487656725,kde,best_of
68,8.159490367546903,kde,best_of
69,4.0282502050987405,kde,best_of
70,2.4516350647452168,kde,best_of
71,3.0241906937034444,kde,best_of
72,3.0624219905551375,kde,best_of
73,-0.10534683227795474,kde,best_of
74,2.6164903366818937,kde,best_of
75,0.9107966352775629,kde,best_of
76,1.2590905697437864,kde,best_of
77,10.474423353731657,kde,best_of
78,14.86896275721694,kde,best_of
79,3.4290422001384018,kde,best_of
80,1.783932951071725,kde,best_of
81,3.5671989289013233,kde,best_of
82,3.052468345663393,kde,best_of
83,1.804298252293214,kde,best_of
84,1.730824418720329,kde,best_of
85,-1.0595308420686576,kde,best_of
86,-1.0131098176031585,kde,best_of
87,-0.6519556704780768,kde,best_of
88,1.2913486919855026,kde,best_of
89,1.258762159680337,kde,best_of
90,1.0365672767204108,kde,best_of
91,0.3756692700942292,kde,best_of
92,0.05936322394141769,kde,best_of
93,0.11689248529632634,kde,best_of
94,4.472243674071145,kde,best_of
95,12.845480059073097,kde,best_of
96,15.411645662429429,kde,best_of
97,5.648106530041819,kde,best_of
98,7.787629071411993,kde,best_of
99,17.704497542429646,kde,best_of
100,3.0360083354414265,kde,best_of
101,0.9039854931206871,kde,best_of
102,2.38994189271158,kde,best_of
103,1.0514968414811248,kde,best_of
104,4.811211995176956,kde,best_of
105,2.189824700453197,kde,best_of
106,1.047113903541188,kde,best_of
107,1.6493007426558817,kde,best_of
