,value,metric,type
0,0.9528962672169662,fde,ml
1,1.3233674918413754,fde,ml
2,2.66337787685305,fde,ml
3,5.832020413016208,fde,ml
4,1.7094995348831241,fde,ml
5,0.8096973907518935,fde,ml
6,0.5836245974341134,fde,ml
7,0.3588737548028682,fde,ml
8,0.0009864006699525489,fde,ml
9,0.6310552193106681,fde,ml
10,0.10196428174985467,fde,ml
11,0.010306563376430922,fde,ml
12,0.4568122669715896,fde,ml
13,0.2182834773166898,fde,ml
14,0.02155901593974961,fde,ml
15,0.4413312350565812,fde,ml
16,0.17038543703894204,fde,ml
17,0.04391405969904674,fde,ml
18,0.4568122669715896,fde,ml
19,0.5046826644093342,fde,ml
20,0.06359015091317767,fde,ml
21,0.426209451079999,fde,ml
22,1.1251756884092898,fde,ml
23,0.06359015091317767,fde,ml
24,0.3901937895219127,fde,ml
25,0.7928834726018226,fde,ml
26,0.06047262385176506,fde,ml
27,1.0518497779640081,fde,ml
28,0.3563138552312748,fde,ml
29,0.06304811093765557,fde,ml
30,1.8530911982066185,fde,ml
31,0.30030136216612086,fde,ml
32,0.05774114897209151,fde,ml
33,2.4979792099438463,fde,ml
34,0.6313840185203665,fde,ml
35,0.06138450784210843,fde,ml
36,2.291500437488248,fde,ml
37,0.9709964045602293,fde,ml
38,0.06290272662149175,fde,ml
39,1.4006012675005153,fde,ml
40,0.7159564996435173,fde,ml
41,0.053623437342990396,fde,ml
42,0.2711300487282609,fde,ml
43,1.007718105972771,fde,ml
44,0.07675309528919755,fde,ml
45,0.30774228162030015,fde,ml
46,0.20069386042445736,fde,ml
47,0.7390986987318131,fde,ml
48,0.21951491791774017,fde,ml
49,0.8415566648350035,fde,ml
50,0.18266637646920822,fde,ml
51,0.3843764685428724,fde,ml
52,0.09834230375108773,fde,ml
53,0.769198426257685,fde,ml
54,0.09850270077720877,fde,ml
55,1.7135413520953664,fde,ml
56,0.09454974619975412,fde,ml
57,0.24021318756787988,fde,ml
58,0.10982054874425415,fde,ml
59,0.3008873575995447,fde,ml
60,2.3426887847548454,fde,ml
61,0.8577868026604184,fde,ml
62,1.1520490284149087,fde,ml
63,4.889955537055399,fde,ml
64,2.0849559685924453,fde,ml
65,0.7254934210817917,fde,ml
66,0.7604166677749139,fde,ml
67,1.435253961275841,fde,ml
68,1.4569968037343592,fde,ml
69,1.3516518180961534,fde,ml
70,2.7455744949242424,fde,ml
71,2.453461045568532,fde,ml
72,3.5509491899387893,fde,ml
73,2.3735695062252664,fde,ml
74,1.2954685374257209,fde,ml
75,1.4230874214183435,fde,ml
76,1.435332318144558,fde,ml
77,1.4753455053880231,fde,ml
78,1.424691726063136,fde,ml
79,0.17578803993923822,fde,ml
80,1.370426475136531,fde,ml
81,0.7887240725190439,fde,ml
82,1.7939588155732629,fde,ml
83,1.2123946999141901,fde,ml
84,1.2940470112792122,fde,ml
85,0.16087397694877614,fde,ml
86,0.47654957504948764,fde,ml
87,0.47286450795547347,fde,ml
88,0.7971454377068776,fde,ml
89,1.2715409170693,fde,ml
90,1.4742482529673713,fde,ml
91,2.287684009048871,fde,ml
92,2.112483106490937,fde,ml
93,2.488425840491109,fde,ml
94,2.8741375670863043,fde,ml
95,3.318382865122081,fde,ml
96,3.7525246757428503,fde,ml
97,1.126487101191238,fde,ml
98,2.367149143446748,fde,ml
99,3.7366833978033775,fde,ml
100,1.6868885882613671,fde,ml
101,0.5750128239888167,fde,ml
102,1.7684614785307173,fde,ml
103,0.8009139846178455,fde,ml
104,1.8659924960354901,fde,ml
105,0.6305321929872058,fde,ml
106,0.9715642323077982,fde,ml
107,1.7400729784666187,fde,ml
108,0.3461949794957329,fde,ml
109,0.8894355347971481,fde,ml
110,1.0944618811613105,fde,ml
111,1.548360443399085,fde,ml
112,0.6664409626594344,fde,ml
113,1.0275344295729631,fde,ml
114,1.0696732360055268,fde,ml
115,0.8385401659142743,fde,ml
116,1.6512890529836282,fde,ml
117,1.603973496788077,fde,ml
118,1.24067641260842,fde,ml
119,3.6549240905691898,fde,ml
120,3.581302044307236,fde,ml
121,3.29599745625796,fde,ml
122,3.231512132586142,fde,ml
123,1.8879382276932792,fde,ml
124,2.3653732025909733,fde,ml
125,4.048892402166245,fde,ml
126,2.168765962207302,fde,ml
127,2.476076140650246,fde,ml
128,3.3010664959004505,fde,ml
129,3.255653619699166,fde,ml
130,3.1170150220986788,fde,ml
131,2.111022377843234,fde,ml
132,2.4630644053685407,fde,ml
133,2.526849712026756,fde,ml
134,1.2455988828383828,fde,ml
135,1.7613850768211265,fde,ml
136,1.2636203734589488,fde,ml
137,0.9352017794175485,fde,ml
138,0.6093050184417871,fde,ml
139,1.2590003160787067,fde,ml
140,0.9199030029324908,fde,ml
141,2.6643532911046313,fde,ml
142,0.21194190840537275,fde,ml
143,3.3712771244615585,fde,ml
144,2.144889863740575,fde,ml
145,0.812061397317375,fde,ml
146,3.8376912311645084,fde,ml
147,0.7798753145099593,fde,ml
148,1.5214937841792127,fde,ml
149,0.5758396658749683,fde,ml
150,2.178746506129314,fde,ml
151,2.154999458902423,fde,ml
152,0.6872412352629705,fde,ml
153,1.0600249020289259,fde,ml
154,0.30452877164587555,fde,ml
155,1.1132850086059405,fde,ml
156,1.6730357552954684,fde,ml
157,2.311465012954578,fde,ml
158,2.351941869590785,fde,ml
159,2.5905889642077873,fde,ml
160,1.2460210403806684,fde,ml
161,2.7785600651055904,fde,ml
162,3.718286031578574,fde,ml
163,0.29951267884945176,fde,ml
164,0.7183597755197566,fde,ml
165,1.9014308648637717,fde,ml
166,2.253438601305387,fde,ml
167,2.5256273588516165,fde,ml
168,2.291114552681104,fde,ml
169,1.1546489563539366,fde,ml
170,0.9880168711845391,fde,ml
171,1.5365382492663775,fde,ml
172,1.3647792691410783,fde,ml
173,2.1241251406910164,fde,ml
174,0.7860791315568866,fde,ml
175,1.3330567508914597,fde,ml
176,0.8125010037528888,fde,ml
177,1.2174576872324014,fde,ml
178,1.9545423131671904,fde,ml
179,1.8706744440911205,fde,ml
180,1.4905919650781287,fde,ml
181,1.335320189050951,fde,ml
182,0.7067069952589202,fde,ml
183,0.6219806474067071,fde,ml
184,0.5485855498430016,fde,ml
185,1.4144996264546372,fde,ml
186,1.295173843525238,fde,ml
187,1.8445346156097238,fde,ml
188,1.3696548724017636,fde,ml
189,1.7157579957001439,fde,ml
190,1.4762573951192466,fde,ml
191,1.6820541196691121,fde,ml
192,0.37561342394976244,fde,ml
193,1.3718615433366859,fde,ml
194,0.20086704498604102,fde,ml
195,2.8918955872250134,fde,ml
196,3.2356721198762837,fde,ml
197,0.21018541331792295,fde,ml
198,0.471973317873228,fde,ml
199,1.2101153292773754,fde,ml
200,0.9397137481459481,fde,ml
