,value,metric,type
0,0.00957005858678261,ade,best_of
1,0.010226819139704992,ade,best_of
2,0.018834187833719693,ade,best_of
3,0.01153250228045276,ade,best_of
4,0.00831163540815648,ade,best_of
5,0.017813415637665597,ade,best_of
6,0.004010679213020227,ade,best_of
7,0.03715740813157181,ade,best_of
8,0.03128851110199712,ade,best_of
9,0.0062632473783353374,ade,best_of
10,0.03232498489026723,ade,best_of
11,0.042764976073870996,ade,best_of
12,0.004576090404842186,ade,best_of
13,0.00699663835485134,ade,best_of
14,0.042279483967710176,ade,best_of
15,0.00835922546519322,ade,best_of
16,0.006699037831103482,ade,best_of
17,0.04277528921262746,ade,best_of
18,0.00949071635872229,ade,best_of
19,0.006901428523402539,ade,best_of
20,0.04262312394727082,ade,best_of
21,0.16798425335971656,ade,best_of
22,0.17844893946820617,ade,best_of
23,0.2432755215711895,ade,best_of
24,0.16045697094773378,ade,best_of
25,0.18883167366477274,ade,best_of
26,0.14656441076718166,ade,best_of
27,0.2781228909825823,ade,best_of
28,0.16639507079280783,ade,best_of
29,0.11056686036333287,ade,best_of
30,0.12919166398298387,ade,best_of
31,0.12847549767070013,ade,best_of
32,0.18890843808927285,ade,best_of
33,0.2138577468518136,ade,best_of
34,0.2698685634079225,ade,best_of
35,0.17730314923520785,ade,best_of
36,0.20263662556717357,ade,best_of
37,0.1393415849567137,ade,best_of
38,0.20496307917384013,ade,best_of
39,0.21074598538390243,ade,best_of
40,0.19288888794854833,ade,best_of
41,0.1741232252546255,ade,best_of
42,0.07154453787120457,ade,best_of
43,0.2736162069234589,ade,best_of
44,0.23998032880231904,ade,best_of
45,0.11032488024915497,ade,best_of
46,0.1271094968856313,ade,best_of
47,0.38098098805415836,ade,best_of
48,0.40187856236376746,ade,best_of
49,0.06177045441077058,ade,best_of
50,0.11235278845921337,ade,best_of
51,0.10289195669892977,ade,best_of
52,0.08271207988047526,ade,best_of
53,0.029857423717814486,ade,best_of
54,0.033537345038319386,ade,best_of
55,0.02998545712383181,ade,best_of
56,0.03289001383652511,ade,best_of
57,0.03571564732588328,ade,best_of
58,0.03570333486685634,ade,best_of
59,0.04323676065392428,ade,best_of
60,0.05584662873383726,ade,best_of
61,0.3132593981588107,ade,best_of
62,0.14877893292325398,ade,best_of
63,0.1296640744301319,ade,best_of
64,0.12982517536028132,ade,best_of
65,0.007759714638046314,ade,best_of
66,0.007494182951894655,ade,best_of
67,0.06706707269694932,ade,best_of
68,0.011657056591163466,ade,best_of
69,0.005047748010128452,ade,best_of
70,0.06744291374146212,ade,best_of
71,0.005171657958836761,ade,best_of
72,0.006441723592562861,ade,best_of
73,0.07244581544809704,ade,best_of
74,0.006131541046822025,ade,best_of
75,0.004132829396255704,ade,best_of
76,0.159394043264138,ade,best_of
77,0.005340706844206726,ade,best_of
78,0.004948778430156905,ade,best_of
79,0.23150241765561844,ade,best_of
80,0.181677598122116,ade,best_of
81,0.13826502880148756,ade,best_of
82,0.061601281997240076,ade,best_of
83,0.1365516636208399,ade,best_of
84,0.052511848970645016,ade,best_of
85,0.05309489366720421,ade,best_of
86,0.022024392733415162,ade,best_of
87,0.020523323116957773,ade,best_of
88,0.2665611798904435,ade,best_of
89,0.09621292778825279,ade,best_of
90,0.08391225492598949,ade,best_of
91,0.07256684476999092,ade,best_of
92,0.0385910584056787,ade,best_of
93,0.06685817667803838,ade,best_of
94,0.06698354046437455,ade,best_of
95,0.09020855269404894,ade,best_of
96,0.12480020369366433,ade,best_of
97,0.13708057652911923,ade,best_of
98,0.16773613178224597,ade,best_of
99,0.2025493618545872,ade,best_of
100,0.18445175441879222,ade,best_of
101,0.10038838213230948,ade,best_of
102,0.17165309641046977,ade,best_of
103,0.110575076094259,ade,best_of
104,0.03767075023120173,ade,best_of
105,0.01192745164196983,ade,best_of
106,0.011595480827041994,ade,best_of
107,0.02096873023310976,ade,best_of
108,0.013201992879289142,ade,best_of
109,0.005937038032068327,ade,best_of
110,0.013682643029895645,ade,best_of
111,0.009297150190222954,ade,best_of
112,0.009024416858072691,ade,best_of
113,0.012841007751884993,ade,best_of
114,0.01107603693762006,ade,best_of
115,0.01041954945273356,ade,best_of
116,0.008896831783505995,ade,best_of
117,0.0069351048027320355,ade,best_of
118,0.016042510929259766,ade,best_of
119,0.010213005250746044,ade,best_of
120,0.011710120713642816,ade,best_of
121,0.009471445658357685,ade,best_of
122,0.010438547862303799,ade,best_of
123,0.006866664802447226,ade,best_of
124,0.006386410744261273,ade,best_of
125,0.008254731997065083,ade,best_of
126,0.007167170054113146,ade,best_of
127,0.012411167868539776,ade,best_of
128,0.008819497931944397,ade,best_of
129,0.0037115505069268613,ade,best_of
130,0.011100347896850632,ade,best_of
131,0.009914358260910425,ade,best_of
132,0.009381935342360086,ade,best_of
133,0.010238211513920696,ade,best_of
134,0.00508722490330023,ade,best_of
135,0.009371903968628699,ade,best_of
136,0.007622325040487772,ade,best_of
137,0.014240593758625401,ade,best_of
138,0.011067336943354515,ade,best_of
139,0.005721334156814045,ade,best_of
140,0.1848677605860208,ade,best_of
141,0.10907535294855793,ade,best_of
142,0.18616042522696696,ade,best_of
143,0.08413623476848026,ade,best_of
144,0.4936554247233027,ade,best_of
145,0.20376998895777163,ade,best_of
146,0.16012281978754336,ade,best_of
147,0.26784463129326014,ade,best_of
148,0.10423907309462001,ade,best_of
149,0.18670455397577115,ade,best_of
150,0.011877174629622803,ade,best_of
151,0.004783410172995398,ade,best_of
152,0.13996359426409077,ade,best_of
153,0.41267328740214443,ade,best_of
154,0.013721471013605128,ade,best_of
155,0.004187474845531651,ade,best_of
156,0.14722696897882628,ade,best_of
157,0.10809414417737441,ade,best_of
158,0.008668511601167746,ade,best_of
159,0.00758225177869263,ade,best_of
160,0.15820348475107773,ade,best_of
161,0.23014523756176217,ade,best_of
162,0.025070034810213995,ade,best_of
163,0.008165134028590955,ade,best_of
164,0.1312445423776715,ade,best_of
165,0.17748705337266257,ade,best_of
166,0.041389627238739665,ade,best_of
167,0.00852114480545356,ade,best_of
168,0.13743439155903345,ade,best_of
169,0.23957655603290148,ade,best_of
170,0.02611548334040722,ade,best_of
171,0.00788924707005144,ade,best_of
172,0.3500699952646848,ade,best_of
173,0.09759463939600721,ade,best_of
174,0.006206045975279903,ade,best_of
175,0.007189005437487995,ade,best_of
176,0.16670053408889296,ade,best_of
177,0.19875098032846747,ade,best_of
178,0.006373550103227769,ade,best_of
179,0.009241007280507915,ade,best_of
180,0.031124143131035745,ade,best_of
181,0.009972182568597339,ade,best_of
182,0.18309630404700938,ade,best_of
183,0.5163779796549408,ade,best_of
184,0.024225389041925408,ade,best_of
185,0.004303406172841772,ade,best_of
186,0.11416090984963356,ade,best_of
187,0.28429707768866713,ade,best_of
188,0.040179496347719945,ade,best_of
189,0.009713314730235364,ade,best_of
190,0.12682323176279311,ade,best_of
191,0.19914738194850545,ade,best_of
192,0.0484445769760573,ade,best_of
193,0.006666035882566492,ade,best_of
194,0.13990308334232385,ade,best_of
195,0.15970106873400222,ade,best_of
196,0.06280089745195581,ade,best_of
197,0.010573228593635941,ade,best_of
198,0.3589758074920204,ade,best_of
199,0.18507921338497077,ade,best_of
200,0.09277710460318143,ade,best_of
201,0.007759427496142396,ade,best_of
202,0.15405210725993018,ade,best_of
203,0.23747479104688765,ade,best_of
204,0.06297313862080237,ade,best_of
205,0.010489611779770884,ade,best_of
206,0.2077816242430139,ade,best_of
207,0.1096190583513121,ade,best_of
208,0.11910734930686934,ade,best_of
209,0.009463178288344806,ade,best_of
210,0.14506715310044152,ade,best_of
211,0.07267579504111676,ade,best_of
212,0.09704977871413041,ade,best_of
213,0.004815315231764582,ade,best_of
214,0.1877530836873417,ade,best_of
215,0.21354056967484644,ade,best_of
216,0.09014121865325388,ade,best_of
217,0.005576156724645682,ade,best_of
218,0.1757522283802868,ade,best_of
219,0.16790324722188835,ade,best_of
220,0.17544981394342718,ade,best_of
221,0.007035839399491223,ade,best_of
222,0.18675103171178298,ade,best_of
223,0.10171826295025925,ade,best_of
224,0.1120524333067383,ade,best_of
225,0.005594217383408978,ade,best_of
226,0.13404618207659544,ade,best_of
227,0.10098659855346177,ade,best_of
228,0.10823265322764658,ade,best_of
229,0.007491199620472909,ade,best_of
230,0.16662600693406804,ade,best_of
231,0.1444633004425667,ade,best_of
232,0.17547518584836977,ade,best_of
233,0.006693982215362275,ade,best_of
234,0.1139922911841691,ade,best_of
235,0.05362687874714336,ade,best_of
236,0.19049174048936954,ade,best_of
237,0.013616524309616249,ade,best_of
238,0.24237828766545655,ade,best_of
239,0.22273917515654454,ade,best_of
240,0.2408566266942607,ade,best_of
241,0.21834362031344004,ade,best_of
242,0.022231592065669742,ade,best_of
243,0.26090416419449824,ade,best_of
244,0.10941634975325697,ade,best_of
245,0.20668589538480817,ade,best_of
246,0.022552336097990348,ade,best_of
247,0.17431223770598323,ade,best_of
248,0.09787145728465607,ade,best_of
249,0.24241962527053929,ade,best_of
250,0.0239132181445029,ade,best_of
251,0.3139137760847472,ade,best_of
252,0.3507994419085163,ade,best_of
253,0.12601344842276863,ade,best_of
254,0.02323775036985387,ade,best_of
255,0.11963436868905193,ade,best_of
256,0.1294162077400451,ade,best_of
257,0.17306940140457694,ade,best_of
258,0.026297468526833786,ade,best_of
259,0.1759774288683009,ade,best_of
260,0.10809424416385298,ade,best_of
261,0.15469911364830793,ade,best_of
262,0.023153563703007366,ade,best_of
263,0.11179343076080533,ade,best_of
264,0.2052359851413927,ade,best_of
265,0.05277064600430959,ade,best_of
266,0.02348663006633384,ade,best_of
267,0.09991788637156346,ade,best_of
268,0.1284863809659779,ade,best_of
269,0.08815219396070523,ade,best_of
