,value,metric,type
0,0.010554678144498278,ade,ml
1,0.010380972624064077,ade,ml
2,0.022052048709915326,ade,ml
3,0.01093190449347696,ade,ml
4,0.011621074832873932,ade,ml
5,0.022267316147519745,ade,ml
6,0.009468626285642353,ade,ml
7,0.04368780483669793,ade,ml
8,0.03469625860349148,ade,ml
9,0.009544139277933373,ade,ml
10,0.06715226049156554,ade,ml
11,0.04696157495470551,ade,ml
12,0.013359527181058983,ade,ml
13,0.01962479578286234,ade,ml
14,0.04663778347689084,ade,ml
15,0.015236572231696215,ade,ml
16,0.006515713352456942,ade,ml
17,0.046850240906168565,ade,ml
18,0.015482111590535313,ade,ml
19,0.014146230272597739,ade,ml
20,0.04754877768708768,ade,ml
21,0.4278467596488151,ade,ml
22,0.37746471495116635,ade,ml
23,0.5000638962256369,ade,ml
24,0.39410876660852906,ade,ml
25,0.3090154540200452,ade,ml
26,0.11910251455821674,ade,ml
27,0.4621047480072804,ade,ml
28,0.21889404595038645,ade,ml
29,0.06927389545986508,ade,ml
30,0.23059001609362742,ade,ml
31,0.13498114576147213,ade,ml
32,0.22953055293179192,ade,ml
33,0.32032801931084254,ade,ml
34,0.4870990895887816,ade,ml
35,0.33726290805556064,ade,ml
36,0.4267438952349849,ade,ml
37,0.1731661291109354,ade,ml
38,0.42274727857197264,ade,ml
39,0.3580858973823351,ade,ml
40,0.17876377604581814,ade,ml
41,0.503043234370416,ade,ml
42,0.21573360346471146,ade,ml
43,0.5124924441449483,ade,ml
44,0.47649556961544753,ade,ml
45,0.05808252281611329,ade,ml
46,0.2856059394845876,ade,ml
47,0.6595517038878778,ade,ml
48,0.778749178476602,ade,ml
49,0.07016893700782507,ade,ml
50,0.23765221943098322,ade,ml
51,0.2471323562671429,ade,ml
52,0.13271408036039692,ade,ml
53,0.032511747660640175,ade,ml
54,0.041150784698182584,ade,ml
55,0.040771830992580735,ade,ml
56,0.04002294170427358,ade,ml
57,0.04207568943949894,ade,ml
58,0.039826159651414984,ade,ml
59,0.05060001881934458,ade,ml
60,0.05851985114086914,ade,ml
61,0.35868042011775053,ade,ml
62,0.5684871575468141,ade,ml
63,0.23697767389021404,ade,ml
64,0.47095049192689525,ade,ml
65,0.012239750181889922,ade,ml
66,0.011835679585855628,ade,ml
67,0.08045320624680567,ade,ml
68,0.012239750181889922,ade,ml
69,0.011835679585855628,ade,ml
70,0.08687579833938112,ade,ml
71,0.012239750181889922,ade,ml
72,0.011835679585855628,ade,ml
73,0.08293732515794322,ade,ml
74,0.012239750181889922,ade,ml
75,0.013890027851637982,ade,ml
76,0.21105065775203524,ade,ml
77,0.013302847736220402,ade,ml
78,0.012812632539486493,ade,ml
79,0.289520680909931,ade,ml
80,0.32167220653935985,ade,ml
81,0.21703459268760303,ade,ml
82,0.12250932395139207,ade,ml
83,0.28148942131798776,ade,ml
84,0.2735031390073845,ade,ml
85,0.09463896606044586,ade,ml
86,0.02713894393676471,ade,ml
87,0.02369392406650819,ade,ml
88,0.3399050320453599,ade,ml
89,0.24280807567927912,ade,ml
90,0.30532881959794134,ade,ml
91,0.17877735158634123,ade,ml
92,0.04456306859324546,ade,ml
93,0.07014048436166459,ade,ml
94,0.09673168358046909,ade,ml
95,0.12174731032771453,ade,ml
96,0.14884947601368803,ade,ml
97,0.1684104985244028,ade,ml
98,0.19438000412227852,ade,ml
99,0.22606877319078167,ade,ml
100,0.20232320484836977,ade,ml
101,0.1486491814852304,ade,ml
102,0.44352434187356976,ade,ml
103,0.47327695239178896,ade,ml
104,0.20969359046591465,ade,ml
105,0.006611957724796728,ade,ml
