,value,metric,type
0,-2.348170509260763,kde,best_of
1,-5.354047513036106,kde,best_of
2,-4.200755587932362,kde,best_of
3,-4.7598216368188595,kde,best_of
4,-4.2469117836837915,kde,best_of
5,-5.023965666832896,kde,best_of
6,-3.730699148621711,kde,best_of
7,-0.19309873839942004,kde,best_of
8,-5.166106955572246,kde,best_of
9,-5.491787814955195,kde,best_of
10,-2.5632488741188464,kde,best_of
11,-2.0966378570405233,kde,best_of
12,-5.0455134435216795,kde,best_of
13,-4.981090269848058,kde,best_of
14,-1.3966244138937114,kde,best_of
15,-5.4197774081198675,kde,best_of
16,-5.035979284750932,kde,best_of
17,-2.2673748559328,kde,best_of
18,-5.840298219317977,kde,best_of
19,-5.117582327647627,kde,best_of
20,-2.3902227911211846,kde,best_of
21,-0.8923053946458919,kde,best_of
22,-0.6371257701197607,kde,best_of
23,-0.2262336060000851,kde,best_of
24,-0.7095479505165053,kde,best_of
25,-0.25391636699331954,kde,best_of
26,-1.0529022013538536,kde,best_of
27,0.32101505500492306,kde,best_of
28,-0.8659569102039588,kde,best_of
29,-1.576096161040138,kde,best_of
30,-1.9151560203294988,kde,best_of
31,-1.440603851544463,kde,best_of
32,-1.5094751924347363,kde,best_of
33,-0.6734014876244756,kde,best_of
34,0.7238493101406505,kde,best_of
35,1.37933384485312,kde,best_of
36,-0.26916572477037237,kde,best_of
37,-1.062530869650272,kde,best_of
38,-0.20339889548811046,kde,best_of
39,-0.47928624111486334,kde,best_of
40,1.3297920577153342,kde,best_of
41,-0.5072502958309755,kde,best_of
42,-1.5418415484602324,kde,best_of
43,0.7438505713668104,kde,best_of
44,-0.6335310177060565,kde,best_of
45,-1.3696693449363049,kde,best_of
46,-1.6362370575027412,kde,best_of
47,1.5418218200004539,kde,best_of
48,1.0422383127026469,kde,best_of
49,-2.7481482003555904,kde,best_of
50,-1.7634753454917327,kde,best_of
51,-1.4485133714950926,kde,best_of
52,-2.1082399570105417,kde,best_of
53,-2.376580484987926,kde,best_of
54,-2.912786225545184,kde,best_of
55,-3.6384793867038008,kde,best_of
56,-3.3143924213471063,kde,best_of
57,-2.4313460738148307,kde,best_of
58,-3.392419727198598,kde,best_of
59,-0.5674818949643299,kde,best_of
60,1.2576849951090385,kde,best_of
61,0.5354508463882407,kde,best_of
62,2.398022701956189,kde,best_of
63,-0.3354265011255938,kde,best_of
64,-0.8014447185357545,kde,best_of
65,-6.425864828759179,kde,best_of
66,-6.550572814049932,kde,best_of
67,-1.1309942188560083,kde,best_of
68,-3.438667844943238,kde,best_of
69,-4.865095963823039,kde,best_of
70,-1.0948520861321793,kde,best_of
71,-5.52379712518351,kde,best_of
72,-5.8507448831297735,kde,best_of
73,-1.829685821656414,kde,best_of
74,-4.585087893292559,kde,best_of
75,-5.230522106554547,kde,best_of
76,-1.4537856668915887,kde,best_of
77,-4.321328604990355,kde,best_of
78,-4.413569875145468,kde,best_of
79,-0.7251068070116017,kde,best_of
80,3.219784888384165,kde,best_of
81,-1.6241491235716834,kde,best_of
82,-1.9540700636952306,kde,best_of
83,-1.176825254513748,kde,best_of
84,-1.4783047066067159,kde,best_of
85,-2.345181952032687,kde,best_of
86,-2.654704292309345,kde,best_of
87,-1.5335792668665138,kde,best_of
88,0.14943328053675461,kde,best_of
89,-1.6726958161196706,kde,best_of
90,-0.6475968089373424,kde,best_of
91,-0.6961277683970742,kde,best_of
92,-3.02413328982357,kde,best_of
93,-3.3962417668193177,kde,best_of
94,-2.8576954620675084,kde,best_of
95,-2.62994319483145,kde,best_of
96,-2.3499805571619836,kde,best_of
97,-1.86154651544304,kde,best_of
98,-1.7339931636855215,kde,best_of
99,2.28397707673705,kde,best_of
100,-0.811926083717975,kde,best_of
101,-1.2782270815394132,kde,best_of
102,-0.41270503412227244,kde,best_of
103,-1.150284593128024,kde,best_of
104,-1.9949994801445738,kde,best_of
105,-2.9603010845297684,kde,best_of
106,-3.033405691591818,kde,best_of
107,-2.967763213278476,kde,best_of
108,-3.0499137226389803,kde,best_of
109,-3.842121144403235,kde,best_of
110,-2.4879453757738488,kde,best_of
111,-2.659214785757811,kde,best_of
112,-2.946379016445681,kde,best_of
113,-2.1274743159079748,kde,best_of
114,-2.99845299108273,kde,best_of
115,-1.9993552150724612,kde,best_of
