,value,metric,type
0,0.008940651414523174,ade,best_of
1,0.007866976930482569,ade,best_of
2,0.02019169991854274,ade,best_of
3,0.00777507339940831,ade,best_of
4,0.009816588266336142,ade,best_of
5,0.022052689566450862,ade,best_of
6,0.018776267470883803,ade,best_of
7,0.034998400753734255,ade,best_of
8,0.035521601334824134,ade,best_of
9,0.011482320177940047,ade,best_of
10,0.03762542600599641,ade,best_of
11,0.043449168160402445,ade,best_of
12,0.004927996145837453,ade,best_of
13,0.010807709316313084,ade,best_of
14,0.04096898677294898,ade,best_of
15,0.007573629701766692,ade,best_of
16,0.005384170356643282,ade,best_of
17,0.048203299559391566,ade,best_of
18,0.010620323055725404,ade,best_of
19,0.013880818283705706,ade,best_of
20,0.04579481018506021,ade,best_of
21,0.055809053245651184,ade,best_of
22,0.25685256938621315,ade,best_of
23,0.3896613954463512,ade,best_of
24,0.10101344090105023,ade,best_of
25,0.17963869217650533,ade,best_of
26,0.10693597235190377,ade,best_of
27,0.18735799651050877,ade,best_of
28,0.12440711327156806,ade,best_of
29,0.09071004781293367,ade,best_of
30,0.09190607869753069,ade,best_of
31,0.08191234383545216,ade,best_of
32,0.13338881852500473,ade,best_of
33,0.1344343655973895,ade,best_of
34,0.09127158919273222,ade,best_of
35,0.10788950921362227,ade,best_of
36,0.16965812051948434,ade,best_of
37,0.13654510423577373,ade,best_of
38,0.29124962115077085,ade,best_of
39,0.1614078920244554,ade,best_of
40,0.09150635078626738,ade,best_of
41,0.2337236203540338,ade,best_of
42,0.1606484196730407,ade,best_of
43,0.3192965251824324,ade,best_of
44,0.2163253758897757,ade,best_of
45,0.07314336132233189,ade,best_of
46,0.23359753574268882,ade,best_of
47,0.11556766696506336,ade,best_of
48,0.2558782193418115,ade,best_of
49,0.048000416387124496,ade,best_of
50,0.041219144871731464,ade,best_of
51,0.054548209510584644,ade,best_of
52,0.049877766732707586,ade,best_of
53,0.036174547231390096,ade,best_of
54,0.030028943612580985,ade,best_of
55,0.032190253816555346,ade,best_of
56,0.02887557422485222,ade,best_of
57,0.03656182448564746,ade,best_of
58,0.03799261472085882,ade,best_of
59,0.048067591931835386,ade,best_of
60,0.05351707759661126,ade,best_of
61,0.32098012416315985,ade,best_of
62,0.1409564504368783,ade,best_of
63,0.12340011466163259,ade,best_of
64,0.07817967449651851,ade,best_of
65,0.012114830212975434,ade,best_of
66,0.009873100805114348,ade,best_of
67,0.08647465638815542,ade,best_of
68,0.00618044859495719,ade,best_of
69,0.009358008307027888,ade,best_of
70,0.06581080280268072,ade,best_of
71,0.010766673671210878,ade,best_of
72,0.013958340981965136,ade,best_of
73,0.06067302411884354,ade,best_of
74,0.005942833811544086,ade,best_of
75,0.005510668273340222,ade,best_of
76,0.16352965136275613,ade,best_of
77,0.01053212252996233,ade,best_of
78,0.008963220739826137,ade,best_of
79,0.1015423131219655,ade,best_of
80,0.1519686062231499,ade,best_of
81,0.09552723904305628,ade,best_of
82,0.0849628753344966,ade,best_of
83,0.22789870033145176,ade,best_of
84,0.050974835329170166,ade,best_of
85,0.04660111992511192,ade,best_of
86,0.019533624529958566,ade,best_of
87,0.01637469222247643,ade,best_of
88,0.26133944536919756,ade,best_of
89,0.045006831547109015,ade,best_of
90,0.09129269741237687,ade,best_of
91,0.11677601367169592,ade,best_of
92,0.04427516964287933,ade,best_of
93,0.06714800539411996,ade,best_of
94,0.10085330669116428,ade,best_of
95,0.11535678558246916,ade,best_of
96,0.14295301725042997,ade,best_of
97,0.13314096457808106,ade,best_of
98,0.1298960479006135,ade,best_of
99,0.15381516506639534,ade,best_of
100,0.12589046724844358,ade,best_of
101,0.09690631592591643,ade,best_of
102,0.030233436062526247,ade,best_of
103,0.09212583716481061,ade,best_of
104,0.04628025859060037,ade,best_of
105,0.02090439426417703,ade,best_of
106,0.022516747693104393,ade,best_of
107,0.005291853993679512,ade,best_of
108,0.007365618124590579,ade,best_of
109,0.00839582776321218,ade,best_of
110,0.00702977168832733,ade,best_of
111,0.017487656141634673,ade,best_of
112,0.012917579139561508,ade,best_of
113,0.010497910355090899,ade,best_of
114,0.004962336399125755,ade,best_of
115,0.006999429128571007,ade,best_of
116,0.021541004236288342,ade,best_of
117,0.01044177629491746,ade,best_of
118,0.005335362947385305,ade,best_of
119,0.006352569370161035,ade,best_of
120,0.0033148023439343727,ade,best_of
121,0.008556585376320909,ade,best_of
122,0.0071987384283557715,ade,best_of
123,0.016002812877085524,ade,best_of
124,0.012707333002016381,ade,best_of
125,0.012164887732307096,ade,best_of
126,0.006936648746288499,ade,best_of
127,0.007167726529490628,ade,best_of
128,0.006641555229375017,ade,best_of
129,0.013645546452939047,ade,best_of
130,0.009787818564325588,ade,best_of
131,0.021280841494807426,ade,best_of
132,0.008057438975421603,ade,best_of
133,0.007707308033705044,ade,best_of
134,0.009845804187951956,ade,best_of
135,0.007975500361073367,ade,best_of
136,0.014396737252978131,ade,best_of
137,0.005132338767572531,ade,best_of
138,0.01550664808419304,ade,best_of
139,0.007539737469633582,ade,best_of
140,0.18625912608858367,ade,best_of
141,0.13868906368822323,ade,best_of
142,0.19453988981986536,ade,best_of
143,0.12033749213605112,ade,best_of
144,0.5410828893711449,ade,best_of
145,0.11552444989105032,ade,best_of
146,0.0969298189971069,ade,best_of
147,0.3089157798520572,ade,best_of
148,0.12435693355540745,ade,best_of
149,0.07706308303339059,ade,best_of
150,0.012705763181249411,ade,best_of
151,0.011986684816020545,ade,best_of
152,0.043089229268329386,ade,best_of
153,0.3745953229787147,ade,best_of
154,0.010231478425209274,ade,best_of
155,0.00979576410680428,ade,best_of
156,0.0903190531779872,ade,best_of
157,0.18943427643662858,ade,best_of
158,0.006029280862126905,ade,best_of
159,0.004667152493078451,ade,best_of
160,0.1855248344180697,ade,best_of
161,0.09909817815277243,ade,best_of
162,0.033621478318751806,ade,best_of
163,0.009918921229817626,ade,best_of
164,0.09972958024437108,ade,best_of
165,0.1707368399975964,ade,best_of
166,0.03309392245430658,ade,best_of
167,0.007454279838966987,ade,best_of
