,value,metric,type
0,0.010184489499275943,ade,ml
1,0.007638552298943998,ade,ml
2,0.02240182424527341,ade,ml
3,0.009481668289494824,ade,ml
4,0.008702045840768663,ade,ml
5,0.022321806722970756,ade,ml
6,0.009890091087503267,ade,ml
7,0.05316424759975157,ade,ml
8,0.03294250251574916,ade,ml
9,0.009642041136005083,ade,ml
10,0.0591023649118202,ade,ml
11,0.043078986756011954,ade,ml
12,0.012367048508751163,ade,ml
13,0.012454144441730014,ade,ml
14,0.0409155382459498,ade,ml
15,0.013822405525696099,ade,ml
16,0.01559275293332947,ade,ml
17,0.04437923613042638,ade,ml
18,0.01341063652904343,ade,ml
19,0.010262839485072561,ade,ml
20,0.05044062444928621,ade,ml
21,0.3764249107481159,ade,ml
22,0.4405247600927633,ade,ml
23,0.4572495457288981,ade,ml
24,0.34503652062491735,ade,ml
25,0.3133799336909388,ade,ml
26,0.13620908282028654,ade,ml
27,0.5668905423193958,ade,ml
28,0.24209491569714414,ade,ml
29,0.09473010326455066,ade,ml
30,0.26679116102650063,ade,ml
31,0.13689025619185916,ade,ml
32,0.18844875965409202,ade,ml
33,0.41669908501555225,ade,ml
34,0.4669393177176689,ade,ml
35,0.41318989785749743,ade,ml
36,0.44658342604348195,ade,ml
37,0.1927005983728484,ade,ml
38,0.3540428573893959,ade,ml
39,0.4060365991373048,ade,ml
40,0.20109167187571833,ade,ml
41,0.4388209060666683,ade,ml
42,0.24893339768566233,ade,ml
43,0.5404237674049441,ade,ml
44,0.4408680049340814,ade,ml
45,0.10401206989435474,ade,ml
46,0.3452904662051532,ade,ml
47,0.6017812831000374,ade,ml
48,0.7247549423736676,ade,ml
49,0.07383589489513943,ade,ml
50,0.24342527303389835,ade,ml
51,0.25621180913948316,ade,ml
52,0.1352472813822845,ade,ml
53,0.03371257700546857,ade,ml
54,0.038939909918215,ade,ml
55,0.039578835136767854,ade,ml
56,0.03576369412790462,ade,ml
57,0.041638278121198975,ade,ml
58,0.03697345929267844,ade,ml
59,0.04944529094626798,ade,ml
60,0.05778587879186755,ade,ml
61,0.41450123458327554,ade,ml
62,0.5611391997689216,ade,ml
63,0.3329243412273304,ade,ml
64,0.43941141558143154,ade,ml
65,0.014282034887218452,ade,ml
66,0.012075358592583003,ade,ml
67,0.06341692127212838,ade,ml
68,0.014282034887218452,ade,ml
69,0.012075358592583003,ade,ml
70,0.059012821181083086,ade,ml
71,0.014282034887218452,ade,ml
72,0.012075358592583003,ade,ml
73,0.08356971694573047,ade,ml
74,0.014282034887218452,ade,ml
75,0.011809160281873595,ade,ml
76,0.2050944621749713,ade,ml
77,0.01536750732646265,ade,ml
78,0.014154595080152432,ade,ml
79,0.27471282850119305,ade,ml
80,0.33091395078170294,ade,ml
81,0.19492825570796793,ade,ml
82,0.14218218043488737,ade,ml
83,0.27723779668009735,ade,ml
84,0.24191918298899176,ade,ml
85,0.07066779538299232,ade,ml
86,0.0221254344979418,ade,ml
87,0.02613312704747729,ade,ml
88,0.38147363170995047,ade,ml
89,0.15673855241558918,ade,ml
90,0.3398400458125057,ade,ml
91,0.09294533946280843,ade,ml
92,0.04940843419632333,ade,ml
93,0.08200383235580373,ade,ml
94,0.09486259339743917,ade,ml
95,0.12357837972178916,ade,ml
96,0.14621409246923833,ade,ml
97,0.17450005370956825,ade,ml
98,0.20878646395367337,ade,ml
99,0.22463033362471604,ade,ml
100,0.20002623699881375,ade,ml
101,0.174888063447127,ade,ml
102,0.433529450227882,ade,ml
103,0.4618688953655437,ade,ml
104,0.1973937730158044,ade,ml
105,0.0051194689139338065,ade,ml
106,0.024000245451910193,ade,ml
107,0.007658501152629176,ade,ml
108,0.013400830830932646,ade,ml
109,0.009969620235784385,ade,ml
110,0.020924736356143336,ade,ml
111,0.01602939709768412,ade,ml
112,0.005696608946006827,ade,ml
113,0.019037300452265354,ade,ml
114,0.008785299426193851,ade,ml
115,0.0123664750946796,ade,ml
116,0.0123664750946796,ade,ml
117,0.0123664750946796,ade,ml
118,0.0123664750946796,ade,ml
119,0.0123664750946796,ade,ml
120,0.0123664750946796,ade,ml
121,0.0123664750946796,ade,ml
122,0.0123664750946796,ade,ml
123,0.0123664750946796,ade,ml
124,0.0123664750946796,ade,ml
125,0.0123664750946796,ade,ml
126,0.0123664750946796,ade,ml
127,0.0123664750946796,ade,ml
128,0.0123664750946796,ade,ml
129,0.0123664750946796,ade,ml
130,0.0123664750946796,ade,ml
131,0.0123664750946796,ade,ml
132,0.0123664750946796,ade,ml
133,0.0123664750946796,ade,ml
134,0.0123664750946796,ade,ml
135,0.0123664750946796,ade,ml
136,0.0123664750946796,ade,ml
137,0.0123664750946796,ade,ml
138,0.0123664750946796,ade,ml
139,0.0123664750946796,ade,ml
140,0.4265592645395675,ade,ml
141,0.13952002771323643,ade,ml
142,0.32277669572272244,ade,ml
143,0.12873655851006463,ade,ml
144,0.8155695947467331,ade,ml
145,0.2996013419271725,ade,ml
146,0.4332579718346654,ade,ml
147,0.8776973823932909,ade,ml
148,0.21883737242127713,ade,ml
149,0.28295837333009394,ade,ml
150,0.015667549158188188,ade,ml
151,0.009964640802605094,ade,ml
152,0.1202936289949839,ade,ml
153,0.6559561800290722,ade,ml
154,0.01867681854337621,ade,ml
155,0.009766123363987689,ade,ml
156,0.17045398730982705,ade,ml
157,0.2729970868185206,ade,ml
158,0.009712883705015583,ade,ml
159,0.01271001777559642,ade,ml
160,0.24362608052476808,ade,ml
161,0.4717698399703975,ade,ml
162,0.037789668995567675,ade,ml
163,0.007216624314390622,ade,ml
164,0.11156167821426523,ade,ml
165,0.17148622523418353,ade,ml
166,0.06090434847133169,ade,ml
167,0.013478051517365646,ade,ml
168,0.17065165970454135,ade,ml
169,0.30915146347031536,ade,ml
170,0.03353119595049576,ade,ml
171,0.014131289475166819,ade,ml
172,0.7336652511872854,ade,ml
173,0.09699242079294311,ade,ml
174,0.01577475909682983,ade,ml
175,0.01098658598978689,ade,ml
176,0.21120550900154697,ade,ml
177,0.367468289944982,ade,ml
178,0.008996419972297021,ade,ml
179,0.010840785664232912,ade,ml
180,0.0651932059592351,ade,ml
181,0.00985261983782323,ade,ml
182,0.33622072784033197,ade,ml
183,0.7182506187563148,ade,ml
184,0.0340383227640988,ade,ml
185,0.01079523789675235,ade,ml
186,0.21118037316205393,ade,ml
187,0.5723704313049837,ade,ml
188,0.04525654732502344,ade,ml
189,0.013369847137126209,ade,ml
190,0.21798695576175298,ade,ml
191,0.2521643379364982,ade,ml
192,0.05898071675890648,ade,ml
193,0.010975089561482217,ade,ml
194,0.20278797974381083,ade,ml
195,0.2565127556979864,ade,ml
196,0.0789778072336944,ade,ml
197,0.01397656547734584,ade,ml
198,0.7299894773411073,ade,ml
199,0.4212550203520932,ade,ml
200,0.10306564322659885,ade,ml
201,0.011940742855450569,ade,ml
202,0.1431577922859596,ade,ml
203,0.29889077883608967,ade,ml
204,0.11738922466935349,ade,ml
205,0.013949031889398028,ade,ml
206,0.3805186123899246,ade,ml
207,0.2500790049722733,ade,ml
208,0.13327049009249037,ade,ml
209,0.00952714841184458,ade,ml
210,0.10298285848618892,ade,ml
211,0.12852845318380027,ade,ml
212,0.09954545235331007,ade,ml
213,0.012807411650918601,ade,ml
214,0.3544047296565098,ade,ml
215,0.41409443792221307,ade,ml
216,0.1049040431204144,ade,ml
217,0.011034152600788666,ade,ml
218,0.17388786578247428,ade,ml
219,0.26725049770444537,ade,ml
220,0.18315884203014673,ade,ml
221,0.015192684130869027,ade,ml
