,value,metric,type
0,0.011588009987883459,fde,best_of
1,0.012219793963804397,fde,best_of
2,0.03200085811356065,fde,best_of
3,0.01790756519660214,fde,best_of
4,0.00881431411063884,fde,best_of
5,0.0140032890819231,fde,best_of
6,0.024881391148198335,fde,best_of
7,0.050632611425185894,fde,best_of
8,0.08549733833274277,fde,best_of
9,0.01732940295004974,fde,best_of
10,0.04358845136445547,fde,best_of
11,0.06643389386556614,fde,best_of
12,0.004232665326683129,fde,best_of
13,0.011965749592184043,fde,best_of
14,0.02198095339462148,fde,best_of
15,0.013765569933180408,fde,best_of
16,0.010952958449681941,fde,best_of
17,0.008754611621535725,fde,best_of
18,0.004107837852205356,fde,best_of
19,0.010873426573452272,fde,best_of
20,0.014603626011233118,fde,best_of
21,0.023852577263285307,fde,best_of
22,0.3208503265814147,fde,best_of
23,0.6968956426539394,fde,best_of
24,0.16751082027280229,fde,best_of
25,0.23294483788182666,fde,best_of
26,0.12127427570223986,fde,best_of
27,0.21205053059841883,fde,best_of
28,0.32806209740079717,fde,best_of
29,0.11010472379499148,fde,best_of
30,0.23313341128214218,fde,best_of
31,0.13902959376202517,fde,best_of
32,0.004687256683659317,fde,best_of
33,0.07202297029483118,fde,best_of
34,0.22864397081836046,fde,best_of
35,0.19651465466788778,fde,best_of
36,0.310580747599087,fde,best_of
37,0.2793589581359081,fde,best_of
38,0.5119350363032077,fde,best_of
39,0.3028012439960002,fde,best_of
40,0.0862758997687818,fde,best_of
41,0.7816717895404239,fde,best_of
42,0.28351325980468556,fde,best_of
43,0.4722719564415368,fde,best_of
44,0.4786434439018472,fde,best_of
45,0.14738124482774226,fde,best_of
46,0.7983098575062398,fde,best_of
47,0.1833221266669199,fde,best_of
48,0.14528167419396681,fde,best_of
49,0.07360675563175348,fde,best_of
50,0.04211286417473995,fde,best_of
51,0.08330277893921516,fde,best_of
52,0.18731707677801132,fde,best_of
53,0.023503063692272733,fde,best_of
54,0.0044138123848824744,fde,best_of
55,0.023006781157120165,fde,best_of
56,0.0054888996723510735,fde,best_of
57,0.0378548522377027,fde,best_of
58,0.047290358753178934,fde,best_of
59,0.05342080661976788,fde,best_of
60,0.07678482158914542,fde,best_of
61,0.545419794994907,fde,best_of
62,0.03497490116789215,fde,best_of
63,0.21643127482757843,fde,best_of
64,0.009320493212289591,fde,best_of
65,0.017257309918467502,fde,best_of
66,0.00864464539091334,fde,best_of
67,0.1235805922100064,fde,best_of
68,0.018510433456810253,fde,best_of
69,0.021227059141400995,fde,best_of
70,0.1150727896536539,fde,best_of
71,0.01982981740357779,fde,best_of
72,0.025247383052300038,fde,best_of
73,0.06527669185819038,fde,best_of
74,0.0038728213740434306,fde,best_of
75,0.00457064460315722,fde,best_of
76,0.36784488926356745,fde,best_of
77,0.010853204227729894,fde,best_of
78,0.011590685584877615,fde,best_of
79,0.1488514324802596,fde,best_of
80,0.1629893452507909,fde,best_of
81,0.12970784363611648,fde,best_of
82,0.089134895334667,fde,best_of
83,0.4742569347110035,fde,best_of
84,0.03850652256162546,fde,best_of
85,0.03524674068949416,fde,best_of
86,0.011193172291737082,fde,best_of
87,0.0036061979449144937,fde,best_of
88,0.3248184840882748,fde,best_of
89,0.06238512788769064,fde,best_of
90,0.13646329215573594,fde,best_of
91,0.18181479186672406,fde,best_of
92,0.18411938913974743,fde,best_of
93,0.29135934900492383,fde,best_of
94,0.3278562959411088,fde,best_of
95,0.20499862012385067,fde,best_of
96,0.29807441805585766,fde,best_of
97,0.2803357130204036,fde,best_of
98,0.31843532150789744,fde,best_of
99,0.34655031988472274,fde,best_of
100,0.061564509385386955,fde,best_of
101,0.12089084624982765,fde,best_of
102,0.03979330064134154,fde,best_of
103,0.1080680268472959,fde,best_of
104,0.10036311149808183,fde,best_of
105,0.03148826506821652,fde,best_of
106,0.03834012044419349,fde,best_of
107,0.011713099583690717,fde,best_of
108,0.004715158152995741,fde,best_of
109,0.005050510383021475,fde,best_of
110,0.00579717393549305,fde,best_of
111,0.026008283322441143,fde,best_of
112,0.022432437355591056,fde,best_of
113,0.017684061377596535,fde,best_of
114,0.00659386586836298,fde,best_of
115,0.006162444879572352,fde,best_of
116,0.038612189732634444,fde,best_of
117,0.016945891020565422,fde,best_of
118,0.0021981164964342322,fde,best_of
119,0.006289817702042452,fde,best_of
120,0.005106955308452785,fde,best_of
121,0.007822036963289933,fde,best_of
122,0.007115186224610341,fde,best_of
123,0.01727185283352403,fde,best_of
124,0.022529188758118438,fde,best_of
125,0.01690711618689864,fde,best_of
126,0.009213769519385387,fde,best_of
127,0.008077658817947923,fde,best_of
128,0.002114657479103839,fde,best_of
129,0.011987070558203826,fde,best_of
130,0.00840717211157078,fde,best_of
131,0.041015637485100544,fde,best_of
132,0.0058884475813005075,fde,best_of
133,0.008564766311064464,fde,best_of
134,0.020609760940116174,fde,best_of
135,0.014186697192422475,fde,best_of
136,0.014856990457845333,fde,best_of
137,0.009197144867553447,fde,best_of
138,0.02429631614479435,fde,best_of
139,0.016063458441462362,fde,best_of
140,0.5398749684864449,fde,best_of
141,0.30225797051006137,fde,best_of
142,0.6213992662649798,fde,best_of
143,0.3293775205432258,fde,best_of
144,1.162686138103136,fde,best_of
145,0.32296701391950616,fde,best_of
146,0.16460701286070326,fde,best_of
147,1.0558540378400778,fde,best_of
148,0.2480224902704542,fde,best_of
149,0.08558733313983649,fde,best_of
150,0.00831157617416979,fde,best_of
151,0.018141219382114358,fde,best_of
152,0.12035471572638683,fde,best_of
153,0.7789849068733871,fde,best_of
154,0.014400889386848238,fde,best_of
155,0.00838619752696221,fde,best_of
156,0.059232572531921025,fde,best_of
157,0.33142644239230074,fde,best_of
158,0.00782983550544478,fde,best_of
159,0.001171082577729879,fde,best_of
160,0.33120319606331217,fde,best_of
161,0.018772866699503097,fde,best_of
162,0.0759656016553982,fde,best_of
163,0.013346578820969582,fde,best_of
164,0.26407682482035866,fde,best_of
165,0.37853153420562136,fde,best_of
166,0.045086027854754664,fde,best_of
167,0.0044285319165143335,fde,best_of
168,0.26346343289911894,fde,best_of
169,0.2278203266516064,fde,best_of
170,0.04135113827649016,fde,best_of
171,0.010678623404318275,fde,best_of
172,1.171163359229703,fde,best_of
173,0.42443874277050037,fde,best_of
174,0.008326592291165204,fde,best_of
175,0.014019460885786728,fde,best_of
176,0.18393461012703796,fde,best_of
177,0.5351731127546171,fde,best_of
178,0.021357765465953752,fde,best_of
179,0.009525478240979249,fde,best_of
180,0.03012971028677562,fde,best_of
181,0.004343586372893605,fde,best_of
182,0.464755902690359,fde,best_of
183,1.0534947912615835,fde,best_of
184,0.018175250196550165,fde,best_of
185,0.006037873548136827,fde,best_of
186,0.28057205065745855,fde,best_of
187,0.06903641792104853,fde,best_of
188,0.12776913342410245,fde,best_of
189,0.02046817422187384,fde,best_of
190,0.25142670668122685,fde,best_of
191,0.054442496686515546,fde,best_of
192,0.05337473552909643,fde,best_of
193,0.00684009270604072,fde,best_of
194,0.18522695463472952,fde,best_of
195,0.36523661256048223,fde,best_of
196,0.16115201737959256,fde,best_of
197,0.0046014140337616695,fde,best_of
198,0.9412635805830101,fde,best_of
199,0.4632594927880251,fde,best_of
200,0.2212712068096348,fde,best_of
201,0.004714820548235436,fde,best_of
202,0.29150287769984895,fde,best_of
203,0.3073498566796253,fde,best_of
204,0.08023605018748645,fde,best_of
205,0.017993015329334484,fde,best_of
206,0.054276618780864275,fde,best_of
207,0.32055529583141124,fde,best_of
208,0.06382377914392232,fde,best_of
209,0.011205363424607503,fde,best_of
210,0.10346907603100768,fde,best_of
211,0.2453260256788019,fde,best_of
212,0.1671161977302042,fde,best_of
213,0.007330533973072857,fde,best_of
214,0.40153508455205783,fde,best_of
215,0.6535958450811008,fde,best_of
216,0.15731266646981823,fde,best_of
217,0.007121868462980713,fde,best_of
218,0.15090814972664848,fde,best_of
219,0.17894525092101507,fde,best_of
220,0.33975348691123036,fde,best_of
221,0.009944373193024901,fde,best_of
222,0.3304472551173556,fde,best_of
223,0.2863994230645165,fde,best_of
224,0.12219482374620054,fde,best_of
225,0.01356128396706778,fde,best_of
226,0.5021120939259116,fde,best_of
227,0.11919469196608057,fde,best_of
228,0.1545565470553521,fde,best_of
229,0.017421138046712904,fde,best_of
230,0.17238653654388247,fde,best_of
231,0.1707427428413831,fde,best_of
232,0.24411792813487898,fde,best_of
233,0.006492895879118835,fde,best_of
234,0.20845243702605315,fde,best_of
235,0.030301648156116474,fde,best_of
236,0.3217970828568421,fde,best_of
237,0.04346882954991098,fde,best_of
238,0.36972079739703,fde,best_of
239,0.22533120121302658,fde,best_of
240,0.4384142513478698,fde,best_of
241,0.11717651153201719,fde,best_of
242,0.04157352732150198,fde,best_of
243,0.3524192003123588,fde,best_of
244,0.07975909992852388,fde,best_of
245,0.06518455420488287,fde,best_of
246,0.02222101186622355,fde,best_of
247,0.4918023258967357,fde,best_of
248,0.20089248813830618,fde,best_of
249,0.2575208918596107,fde,best_of
250,0.006016564788161712,fde,best_of
251,0.17407346212887453,fde,best_of
252,0.2871842556364239,fde,best_of
253,0.26513074722470786,fde,best_of
254,0.023752880328491606,fde,best_of
255,0.14555709503676936,fde,best_of
256,0.3217619863661244,fde,best_of
257,0.7427815142025722,fde,best_of
258,0.006189452062484263,fde,best_of
259,0.2954229907337504,fde,best_of
260,0.1428825976310715,fde,best_of
261,0.1332262568342643,fde,best_of
262,0.006026255840874828,fde,best_of
263,0.2065914847245265,fde,best_of
264,0.37689396658887603,fde,best_of
265,0.026650688156924663,fde,best_of
266,0.00960056585729401,fde,best_of
267,0.05540795767463461,fde,best_of
268,0.21843868532009997,fde,best_of
269,0.0869214202647863,fde,best_of
270,0.01124798798595908,fde,best_of
271,0.2547636945925103,fde,best_of
272,0.5643422406419182,fde,best_of
273,0.18452131514891787,fde,best_of
274,0.01659247384445506,fde,best_of
275,0.44717625641347175,fde,best_of
276,0.17129068808351547,fde,best_of
277,0.023933235757107672,fde,best_of
278,0.12924266163512269,fde,best_of
279,0.5681268896967309,fde,best_of
280,0.17613267186747125,fde,best_of
281,0.03983445881837634,fde,best_of
282,0.11250817868451446,fde,best_of
283,0.2888495431035947,fde,best_of
284,0.38665601798963684,fde,best_of
285,0.11841218236332945,fde,best_of
286,0.22212516316100445,fde,best_of
287,0.3936400007886623,fde,best_of
288,0.1264139031449075,fde,best_of
289,0.3409612426052143,fde,best_of
290,0.13161239696328922,fde,best_of
291,0.020548760962152867,fde,best_of
292,0.21774204551405327,fde,best_of
293,0.19486675037731868,fde,best_of
294,0.5112134830775386,fde,best_of
295,0.11510325910790106,fde,best_of
296,0.07348573538387868,fde,best_of
297,0.2494922163814773,fde,best_of
298,0.181538899778656,fde,best_of
299,0.5125534487258965,fde,best_of
300,0.07234911457393657,fde,best_of
301,0.05711709823123507,fde,best_of
302,0.22114053097011052,fde,best_of
303,0.11620992331111471,fde,best_of
304,0.05721511957126641,fde,best_of
305,0.014728168454798131,fde,best_of
306,0.04069501116826628,fde,best_of
307,0.30284377627647696,fde,best_of
308,0.08216601699014431,fde,best_of
309,0.032716922057895406,fde,best_of
310,0.3270141250523743,fde,best_of
311,0.30817593267867033,fde,best_of
312,0.18219522478180117,fde,best_of
313,0.014418141392979783,fde,best_of
314,0.2889733209275481,fde,best_of
315,0.38928364879033195,fde,best_of
316,0.05839971194136581,fde,best_of
317,0.027795014006707187,fde,best_of
318,0.44982052697636,fde,best_of
319,0.15791187223314762,fde,best_of
320,0.05040027896775141,fde,best_of
321,0.08930517332853265,fde,best_of
322,0.3184776377928511,fde,best_of
323,0.4876057753414447,fde,best_of
324,0.21695329535481658,fde,best_of
325,0.03539529970440807,fde,best_of
326,0.09791092823113702,fde,best_of
327,0.2693756918011995,fde,best_of
328,0.007660820134256958,fde,best_of
329,0.325750638606603,fde,best_of
330,0.3047601845317342,fde,best_of
331,0.3289205722723172,fde,best_of
332,0.03598521006109781,fde,best_of
333,0.17622875719192163,fde,best_of
334,0.15237633793827363,fde,best_of
335,0.28558703232664234,fde,best_of
336,0.34362845175737927,fde,best_of
337,0.4057692811312659,fde,best_of
338,0.16681477919891546,fde,best_of
339,0.1310937864678348,fde,best_of
340,0.21147889631553232,fde,best_of
341,0.5480248924381005,fde,best_of
342,0.31107918082274544,fde,best_of
343,0.3340824605653081,fde,best_of
344,0.443738619970391,fde,best_of
345,0.5220514087766279,fde,best_of
346,0.41647753191812814,fde,best_of
347,0.40573691320591815,fde,best_of
348,0.30992280705746134,fde,best_of
349,0.32498314698181563,fde,best_of
350,0.11130153911938885,fde,best_of
351,0.1247456346390189,fde,best_of
352,0.03749665561126628,fde,best_of
353,0.13517144516584464,fde,best_of
354,0.25640902370068486,fde,best_of
355,0.13357155964844666,fde,best_of
356,0.17711939581390487,fde,best_of
357,0.009587565896925825,fde,best_of
358,0.260735269507893,fde,best_of
359,0.10364465784967024,fde,best_of
360,0.05151456238061417,fde,best_of
361,0.049948612904404076,fde,best_of
362,0.009292756849931917,fde,best_of
363,0.010118703728803483,fde,best_of
364,0.036627129788821704,fde,best_of
365,0.006511674231360578,fde,best_of
366,0.046173714466431606,fde,best_of
367,0.005632217781785716,fde,best_of
368,0.16379965465878382,fde,best_of
369,0.12925855004055495,fde,best_of
370,0.4997264336535075,fde,best_of
371,0.15808379513386012,fde,best_of
372,0.021343247441102157,fde,best_of
373,0.21005188141983921,fde,best_of
374,0.24549706081359104,fde,best_of
375,0.44074742532895816,fde,best_of
376,0.09524755093545739,fde,best_of
377,0.014742106064362989,fde,best_of
378,0.02705662680182547,fde,best_of
379,0.2570285661274187,fde,best_of
380,0.19816497606270822,fde,best_of
381,0.07546938978148578,fde,best_of
382,0.016901475009698918,fde,best_of
383,0.04498092840097699,fde,best_of
384,0.651121306742555,fde,best_of
385,0.24204099557294406,fde,best_of
386,0.21234331373845217,fde,best_of
387,0.008886025794036318,fde,best_of
388,0.1332024961151191,fde,best_of
389,0.1857675436870997,fde,best_of
390,0.13277857130148288,fde,best_of
