,value,metric,type
0,0.02170443699189313,fde,ml
1,0.006144767424592664,fde,ml
2,0.026011651847720765,fde,ml
3,0.021407180956242573,fde,ml
4,0.0025036034390764224,fde,ml
5,0.024879030942403943,fde,ml
6,0.02232905455462967,fde,ml
7,0.11360895810058179,fde,ml
8,0.16065108465815417,fde,ml
9,0.020180796257307607,fde,ml
10,0.1260412253562743,fde,ml
11,0.1629973842381842,fde,ml
12,0.02648815772308879,fde,ml
13,0.026663145973126162,fde,ml
14,0.015409360631650564,fde,ml
15,0.034701815087138245,fde,ml
16,0.0484767412875135,fde,ml
17,0.02434861780992222,fde,ml
18,0.04373085184494275,fde,ml
19,0.034295817109499395,fde,ml
20,0.030406137192487633,fde,ml
21,0.9666038737841111,fde,ml
22,0.8528495408501106,fde,ml
23,1.1227981396625695,fde,ml
24,0.93430948795042,fde,ml
25,0.5439881491298717,fde,ml
26,0.25671801899989294,fde,ml
27,1.1001286439173101,fde,ml
28,0.6051510269606571,fde,ml
29,0.10183963205049139,fde,ml
30,0.7807622821075637,fde,ml
31,0.36692434490429765,fde,ml
32,0.5630444043697334,fde,ml
33,0.7378341294057114,fde,ml
34,1.105592010223371,fde,ml
35,0.9043516628023531,fde,ml
36,1.0128883821424919,fde,ml
37,0.27013321218515607,fde,ml
38,0.5127503044996988,fde,ml
39,0.8598699396020062,fde,ml
40,0.2160504166631025,fde,ml
41,1.3796799585457262,fde,ml
42,0.573435891056389,fde,ml
43,1.0986740724753141,fde,ml
44,1.2971748783210701,fde,ml
45,0.17394441964584764,fde,ml
46,1.0407180626044932,fde,ml
47,1.5656121121925675,fde,ml
48,1.6768706638026971,fde,ml
49,0.16607273598047356,fde,ml
50,0.560709223416909,fde,ml
51,0.5038467103897444,fde,ml
52,0.2772677938435089,fde,ml
53,0.026761992207915614,fde,ml
54,0.02982822036374749,fde,ml
55,0.03110227325402167,fde,ml
56,0.022974936022105878,fde,ml
57,0.04769460528901579,fde,ml
58,0.057486494492937724,fde,ml
59,0.10653533684744732,fde,ml
60,0.14371847184012476,fde,ml
61,0.7943836512186035,fde,ml
62,1.0383860862725254,fde,ml
