,value,metric,type
0,-4.482010366575576,kde,best_of
1,-3.2254725453165687,kde,best_of
2,-5.361013629324798,kde,best_of
3,-4.224690023844237,kde,best_of
4,-4.855346384243982,kde,best_of
5,-4.810470817930851,kde,best_of
6,-4.5569169684189434,kde,best_of
7,-3.7822694265961987,kde,best_of
8,-3.1243201834540084,kde,best_of
9,-5.025563165316714,kde,best_of
10,-4.141890550051837,kde,best_of
11,-1.4234578925984567,kde,best_of
12,-3.9281571886182096,kde,best_of
13,-3.8838055419913813,kde,best_of
14,-4.149075856521087,kde,best_of
15,-5.421652782190319,kde,best_of
16,-4.483297492693379,kde,best_of
17,-3.1397997538361917,kde,best_of
18,-3.305438841308609,kde,best_of
19,-3.7004755220900627,kde,best_of
20,-2.311463924385217,kde,best_of
21,0.5704876668796162,kde,best_of
22,2.4381123549405928,kde,best_of
23,-0.2287156825090265,kde,best_of
24,0.26345699892218677,kde,best_of
25,0.09380119339452356,kde,best_of
26,0.16042662191411572,kde,best_of
27,1.0307453018849138,kde,best_of
28,-0.841023494503201,kde,best_of
29,1.231108960276725,kde,best_of
30,-1.1241453290245242,kde,best_of
31,0.8755290267480393,kde,best_of
32,-1.1413275027183303,kde,best_of
33,0.5082578994226686,kde,best_of
34,1.785962041412033,kde,best_of
35,3.2219574172223546,kde,best_of
36,-0.48958657546086537,kde,best_of
37,3.0854530268154243,kde,best_of
38,0.4529865316086262,kde,best_of
39,3.2578509304587167,kde,best_of
40,-0.5821013288265481,kde,best_of
41,-0.5820403828339221,kde,best_of
42,0.5879256808734274,kde,best_of
43,2.505903459347563,kde,best_of
44,-0.4646544584040603,kde,best_of
45,-1.039023266314143,kde,best_of
46,0.9696637059214515,kde,best_of
47,1.013189133786404,kde,best_of
48,3.410080542247682,kde,best_of
49,-1.3927120805950695,kde,best_of
50,-1.6769009814086087,kde,best_of
51,-2.4136937494603083,kde,best_of
52,-2.8827062752887995,kde,best_of
53,-3.243725641685624,kde,best_of
54,-3.1472796199607447,kde,best_of
55,-4.318578018169816,kde,best_of
56,-3.311437573935625,kde,best_of
57,-4.024315032087215,kde,best_of
58,-3.1664323325109294,kde,best_of
59,-0.21274266608329215,kde,best_of
60,-1.2515798190258445,kde,best_of
61,2.101590942157502,kde,best_of
62,3.7086154889360197,kde,best_of
63,2.2831929283062347,kde,best_of
64,0.8343169835218256,kde,best_of
65,-4.358372686841916,kde,best_of
66,-5.874018525203157,kde,best_of
67,-0.9888178997891892,kde,best_of
68,-4.511644335351855,kde,best_of
69,-4.85740106064099,kde,best_of
70,-1.1600475459392214,kde,best_of
71,-4.543534393526235,kde,best_of
72,-4.307107167442326,kde,best_of
73,-2.6357811133705793,kde,best_of
