,value,metric,type
0,0.10472333404236393,ade,best_of
1,0.36571766797447286,ade,best_of
2,0.10826809164228542,ade,best_of
3,0.10293038246257151,ade,best_of
4,0.20030309984076547,ade,best_of
5,0.14908046816507234,ade,best_of
6,0.07769845855483111,ade,best_of
7,0.09135818037424348,ade,best_of
8,0.16296712105264766,ade,best_of
9,0.3917921842016126,ade,best_of
10,0.36986960795114765,ade,best_of
11,0.3336535897922593,ade,best_of
12,0.3253539923867848,ade,best_of
13,0.16615649214194964,ade,best_of
14,0.1470432590191247,ade,best_of
15,0.18139521548996726,ade,best_of
16,0.1245875426268811,ade,best_of
17,0.1292368562645901,ade,best_of
18,0.07959395441740626,ade,best_of
19,0.5072277095237879,ade,best_of
20,0.31740344116519986,ade,best_of
21,0.11202426723138241,ade,best_of
22,0.45662887752124476,ade,best_of
23,0.14923024023631123,ade,best_of
24,0.13635318416892103,ade,best_of
25,0.33030173167649984,ade,best_of
26,0.09418282086441282,ade,best_of
27,0.1165550400516409,ade,best_of
28,0.03560806841272401,ade,best_of
29,0.11192389010436099,ade,best_of
30,0.1503718922194934,ade,best_of
31,0.1417273607585566,ade,best_of
32,0.30856893544007485,ade,best_of
33,0.32109018815723706,ade,best_of
34,0.22241259587852238,ade,best_of
35,0.454081468087004,ade,best_of
36,0.09281175317444094,ade,best_of
37,0.06339015903162172,ade,best_of
38,0.12274003467030566,ade,best_of
39,0.3114323201196063,ade,best_of
40,0.0988618929010371,ade,best_of
41,0.11259717143258428,ade,best_of
42,0.16791165862200064,ade,best_of
43,0.15719489696572117,ade,best_of
44,0.29454313421588657,ade,best_of
45,0.2013307157402108,ade,best_of
46,0.3794166798951563,ade,best_of
47,0.2845836474078823,ade,best_of
48,0.3660419902473324,ade,best_of
49,0.451539120447956,ade,best_of
50,0.15438527796332815,ade,best_of
51,0.3134436088945789,ade,best_of
52,0.2624146535322008,ade,best_of
53,0.12397673386015019,ade,best_of
54,0.5473194349332263,ade,best_of
55,0.5636032637342813,ade,best_of
