,value,metric,type
0,0.0958162021645983,ade,best_of
1,0.2308102152971007,ade,best_of
2,0.12471393619200943,ade,best_of
3,0.10698080406046956,ade,best_of
4,0.12278856932876127,ade,best_of
5,0.2005018296593993,ade,best_of
6,0.05460224175713132,ade,best_of
7,0.08614058246972722,ade,best_of
8,0.10563580894777387,ade,best_of
9,0.40100625941028056,ade,best_of
10,0.1574806400520696,ade,best_of
11,0.424009893263783,ade,best_of
12,0.3223929348257218,ade,best_of
13,0.08874247356906673,ade,best_of
14,0.07201066038840157,ade,best_of
15,0.20631569415813578,ade,best_of
16,0.2090229058684894,ade,best_of
17,0.14833667146702678,ade,best_of
18,0.11714862142183269,ade,best_of
19,0.29718880614315996,ade,best_of
20,0.22751043358204823,ade,best_of
21,0.12727856910118793,ade,best_of
22,0.4322208507621515,ade,best_of
23,0.10687360055902,ade,best_of
24,0.09238100531741743,ade,best_of
25,0.2049934287301706,ade,best_of
26,0.051342984479354696,ade,best_of
27,0.22418281432112594,ade,best_of
28,0.06714850368683134,ade,best_of
29,0.2393502116474289,ade,best_of
30,0.03538625032684762,ade,best_of
31,0.07490433142778923,ade,best_of
32,0.2349677087020922,ade,best_of
33,0.5390133585730806,ade,best_of
34,0.13074488959354685,ade,best_of
35,0.44740468857437304,ade,best_of
36,0.06372362037018597,ade,best_of
37,0.092384761128132,ade,best_of
38,0.18531137559582841,ade,best_of
39,0.3839647876718428,ade,best_of
40,0.08283714749118783,ade,best_of
41,0.07689018705498706,ade,best_of
42,0.18937508242168766,ade,best_of
43,0.08689511766512677,ade,best_of
44,0.1964143158851358,ade,best_of
45,0.1713341091547682,ade,best_of
46,0.4008731968233961,ade,best_of
47,0.29406054762309713,ade,best_of
48,0.31596694198029773,ade,best_of
49,0.5031949469787128,ade,best_of
50,0.22936525260424778,ade,best_of
51,0.24883386896019596,ade,best_of
52,0.45115741735495885,ade,best_of
53,0.08202319543583532,ade,best_of
54,0.330961741195574,ade,best_of
55,0.23136285308152818,ade,best_of
56,0.2604030009024731,ade,best_of
57,0.0386004757055539,ade,best_of
58,0.33938298867522215,ade,best_of
59,0.11071849382769607,ade,best_of
60,0.12836103958966347,ade,best_of
61,0.1851175520488998,ade,best_of
62,0.1032956450641035,ade,best_of
63,0.03819677760199508,ade,best_of
64,0.10140878767124427,ade,best_of
65,0.2657926553617938,ade,best_of
66,0.5408974718004725,ade,best_of
67,0.15647868252472474,ade,best_of
68,0.2103830583692995,ade,best_of
69,0.22231522323610087,ade,best_of
70,0.14570091976160834,ade,best_of
71,0.20030781128745537,ade,best_of
72,0.1432458906503592,ade,best_of
73,0.09271775596943903,ade,best_of
74,0.17314238415057734,ade,best_of
75,0.2591666650405977,ade,best_of
76,0.20474835635146324,ade,best_of
77,0.2600903512588229,ade,best_of
78,0.0992421295134593,ade,best_of
79,0.25007049303807943,ade,best_of
80,0.1316921365497217,ade,best_of
81,0.11688892599633256,ade,best_of
82,0.06257830523891235,ade,best_of
83,0.09398204113715948,ade,best_of
84,0.04169919453656915,ade,best_of
85,0.14265109221473038,ade,best_of
86,0.1451263357347857,ade,best_of
87,0.3432119181637443,ade,best_of
88,0.12448396541143823,ade,best_of
89,0.05269825343311672,ade,best_of
90,0.2654026077899706,ade,best_of
91,0.3001638644263562,ade,best_of
92,0.07062836855254316,ade,best_of
93,0.06810698311969147,ade,best_of
94,0.24401171698013005,ade,best_of
95,0.08800691058150278,ade,best_of
96,0.37881643683475114,ade,best_of
97,0.17797198331244324,ade,best_of
98,0.6244160059917289,ade,best_of
99,0.44345259892903943,ade,best_of
100,0.403853692001523,ade,best_of
101,0.36151506776768244,ade,best_of
102,0.23356780019718373,ade,best_of
103,0.3964259573662204,ade,best_of
104,0.41883575840547116,ade,best_of
105,0.2259426130648822,ade,best_of
106,0.17765341423087722,ade,best_of
107,0.09287208162487078,ade,best_of
108,0.41011893758697476,ade,best_of
109,0.036339862836202254,ade,best_of
110,0.7368787595729414,ade,best_of
111,0.09414309432163738,ade,best_of
112,0.1440452899007025,ade,best_of
113,0.21014415264540529,ade,best_of
114,0.046424728730004944,ade,best_of
115,0.07490313286815407,ade,best_of
116,0.29824970587710764,ade,best_of
117,0.14661144373213775,ade,best_of
118,0.7812472840537105,ade,best_of
119,0.20794801437588664,ade,best_of
120,0.6416967852068883,ade,best_of
121,0.3947611747971212,ade,best_of
122,0.07423612463676914,ade,best_of
123,0.1253799069771212,ade,best_of
124,0.1110850755871904,ade,best_of
125,0.08242470499863777,ade,best_of
126,0.15302888475903834,ade,best_of
127,0.18593467748018463,ade,best_of
128,0.17389980201946076,ade,best_of
129,0.24775238678022693,ade,best_of
130,0.12643199997788077,ade,best_of
131,0.29747639344249366,ade,best_of
132,0.0878069330946714,ade,best_of
133,0.08901526599526337,ade,best_of
134,0.0616581665696031,ade,best_of
135,0.12470969274709708,ade,best_of
136,0.06591858400581771,ade,best_of
137,0.07717742452497545,ade,best_of
138,0.13238022834979038,ade,best_of
139,0.18033908469417237,ade,best_of
140,0.044987952769638566,ade,best_of
141,0.20295787479583813,ade,best_of
142,0.13621593479675728,ade,best_of
143,0.06392414652745738,ade,best_of
144,0.0571825139334525,ade,best_of
145,0.10556690205503927,ade,best_of
146,0.1440478775662037,ade,best_of
147,0.5765245106223746,ade,best_of
148,0.11222844003648157,ade,best_of
149,0.5518758403119376,ade,best_of
150,0.23196025442962234,ade,best_of
151,0.29273291635769305,ade,best_of
152,0.3684224028767668,ade,best_of
153,0.2987991620319681,ade,best_of
154,0.29202116875754025,ade,best_of
155,0.4366150445609793,ade,best_of
156,0.17155675585007132,ade,best_of
157,0.2195256943589113,ade,best_of
158,0.10701996868297962,ade,best_of
159,0.07604005842117251,ade,best_of
160,0.1885959542702257,ade,best_of
161,0.1170145588649258,ade,best_of
162,0.2597950268755487,ade,best_of
163,0.11388800962285735,ade,best_of
164,0.14225186509495966,ade,best_of
165,0.15775446759796616,ade,best_of
166,0.13502852983523253,ade,best_of
167,0.12537161845018538,ade,best_of
168,0.262449396677141,ade,best_of
169,0.9036388893379343,ade,best_of
170,0.3591755177929239,ade,best_of
171,0.7431394333222765,ade,best_of
172,0.3830237222001487,ade,best_of
173,0.08074722826295268,ade,best_of
174,0.10700963425610022,ade,best_of
175,0.35983681139185647,ade,best_of
176,0.10076801809131346,ade,best_of
177,0.13830473151629805,ade,best_of
178,0.1423043349182037,ade,best_of
179,0.04468936008615134,ade,best_of
180,0.14902935145405513,ade,best_of
181,0.27269140418392473,ade,best_of
182,0.20562497904866137,ade,best_of
183,0.08536289960062393,ade,best_of
184,0.09605102643567248,ade,best_of
185,0.06605407870827366,ade,best_of
186,0.1350594704637181,ade,best_of
187,0.15568275499915704,ade,best_of
188,0.11314038048688613,ade,best_of
189,0.20114374193424914,ade,best_of
190,0.0635145591803174,ade,best_of
191,0.12373845859874709,ade,best_of
192,0.1923897504168588,ade,best_of
193,0.08799480196346825,ade,best_of
194,0.0755244134353779,ade,best_of
195,0.20504052167335862,ade,best_of
196,0.13946399260182263,ade,best_of
197,0.37460727743406846,ade,best_of
198,0.17247157566881585,ade,best_of
199,0.23121455273875888,ade,best_of
200,0.27657989974099323,ade,best_of
201,0.18691957842932996,ade,best_of
202,0.17256731140775114,ade,best_of
203,0.31723921836569424,ade,best_of
204,0.41433823010863335,ade,best_of
205,0.16649360743148167,ade,best_of
206,0.09325136360751317,ade,best_of
207,0.29953262762360483,ade,best_of
208,0.26473725267041964,ade,best_of
209,0.2368284077146542,ade,best_of
210,0.3205565055898853,ade,best_of
211,0.26112240154260796,ade,best_of
212,0.10800603856024915,ade,best_of
213,0.1704119462120275,ade,best_of
214,0.11504471243133434,ade,best_of
215,0.17454740155945667,ade,best_of
216,0.0936557424100351,ade,best_of
217,0.2741723364072353,ade,best_of
218,0.2594929187162966,ade,best_of
219,0.11298238330470824,ade,best_of
220,0.07416789038537507,ade,best_of
221,0.16829230641919513,ade,best_of
222,1.0473526921841876,ade,best_of
223,0.2762723762829718,ade,best_of
224,0.248900320104009,ade,best_of
225,0.264804849535032,ade,best_of
226,0.11554023052604145,ade,best_of
227,0.21255231697372265,ade,best_of
228,0.5569089719564341,ade,best_of
229,0.1614707084146337,ade,best_of
230,0.11071714910016416,ade,best_of
231,0.188294324768576,ade,best_of
232,0.1817004074544923,ade,best_of
233,0.0790428423436707,ade,best_of
234,0.2212514009449508,ade,best_of
235,0.24590814734256405,ade,best_of
236,0.11920554681087987,ade,best_of
237,0.08146608057957141,ade,best_of
238,0.07594277186206667,ade,best_of
239,0.1297456641373115,ade,best_of
240,0.08872086187888482,ade,best_of
241,0.2077861628645192,ade,best_of
242,0.20662916732592707,ade,best_of
243,0.04492627207795813,ade,best_of
244,0.18523273555438888,ade,best_of
245,0.1363669460471124,ade,best_of
246,0.09926620390584069,ade,best_of
247,0.12313289893390673,ade,best_of
248,0.2714543564733069,ade,best_of
249,0.24870517500410594,ade,best_of
250,0.32646853061064246,ade,best_of
251,0.18991610553344176,ade,best_of
252,0.20195451844700604,ade,best_of
253,0.2723422992136875,ade,best_of
254,0.39399693194885765,ade,best_of
255,0.14062411225872107,ade,best_of
256,0.16894206602094033,ade,best_of
257,0.26103358256535014,ade,best_of
258,0.1361053633775068,ade,best_of
259,0.42233539149039895,ade,best_of
260,0.2756965875629128,ade,best_of
261,0.1719321345906318,ade,best_of
262,0.10979029494328048,ade,best_of
263,0.25507104275322984,ade,best_of
264,0.24257157825468367,ade,best_of
265,0.08996444049950054,ade,best_of
266,0.22670321864805584,ade,best_of
267,0.16047600068527554,ade,best_of
268,0.15914394553772018,ade,best_of
269,0.10298736198823483,ade,best_of
270,0.3818395893460551,ade,best_of
271,0.11805664770188057,ade,best_of
272,0.07417172605797091,ade,best_of
273,0.06830710440126671,ade,best_of
274,0.19026967631980687,ade,best_of
275,1.5359629051554595,ade,best_of
276,0.2609185594204722,ade,best_of
277,0.46099462991179135,ade,best_of
278,0.2716577630131072,ade,best_of
279,0.17075498959816768,ade,best_of
280,0.44125315207930055,ade,best_of
281,0.17376723694756746,ade,best_of
282,0.09365994571540566,ade,best_of
283,0.2001836959269562,ade,best_of
284,0.0758719330440366,ade,best_of
285,0.15714247819397145,ade,best_of
286,0.14235986330584713,ade,best_of
287,0.1192030379620035,ade,best_of
288,0.19763582916938305,ade,best_of
289,0.11514857628968524,ade,best_of
290,0.1314366258173182,ade,best_of
291,0.10452898299190065,ade,best_of
292,0.13561234056836488,ade,best_of
293,0.05118426550256386,ade,best_of
294,0.1580704069565226,ade,best_of
295,0.18382818162186973,ade,best_of
296,0.11570459917348662,ade,best_of
297,0.08909481121059874,ade,best_of
298,0.08245175094114529,ade,best_of
299,0.10481460040145858,ade,best_of
300,0.19140530632974495,ade,best_of
301,0.09890488892821703,ade,best_of
302,0.11754281566275614,ade,best_of
303,0.16222751225052007,ade,best_of
304,0.39313743501378345,ade,best_of
305,0.25435107206096624,ade,best_of
306,0.14380908723640035,ade,best_of
307,0.2517866650395076,ade,best_of
308,0.15374892397792092,ade,best_of
309,0.37137801147429217,ade,best_of
310,0.24221356402848424,ade,best_of
311,0.13811505110981392,ade,best_of
312,0.09006268439220198,ade,best_of
313,0.23285961773440148,ade,best_of
314,0.14195872109409793,ade,best_of
315,0.07385154408277163,ade,best_of
316,0.14314997350980346,ade,best_of
317,0.2603688395445651,ade,best_of
318,0.07138083666282165,ade,best_of
319,0.2519980742809457,ade,best_of
