,value,metric,type
0,0.17190757606010051,fde,ml
1,0.5540893297712881,fde,ml
2,0.5289262675732372,fde,ml
3,0.5364376607503902,fde,ml
4,0.8808429519819398,fde,ml
5,0.5976876320824819,fde,ml
6,0.2496116468083989,fde,ml
7,0.43118870299010476,fde,ml
8,0.7882045498268172,fde,ml
9,1.8767046206466096,fde,ml
10,1.2492496715375514,fde,ml
11,1.8013910766332473,fde,ml
12,1.8963277651238697,fde,ml
13,0.580851602267606,fde,ml
14,1.1317907183254712,fde,ml
15,1.0131542080832692,fde,ml
16,1.2188140985433833,fde,ml
17,0.769366587709694,fde,ml
18,0.5675532086167838,fde,ml
19,1.084012674838592,fde,ml
20,2.137931454779118,fde,ml
21,1.217582233603987,fde,ml
22,1.6734449080132034,fde,ml
23,1.962277924996096,fde,ml
24,0.9165192154662973,fde,ml
25,1.1433767300307527,fde,ml
26,0.3451214514564058,fde,ml
27,1.4328923401850064,fde,ml
28,0.29824714839738425,fde,ml
29,1.0386491438729146,fde,ml
30,0.31636133690057694,fde,ml
31,1.9465510125019738,fde,ml
32,2.0174798223530463,fde,ml
33,2.6236063940321976,fde,ml
34,1.0922810048804679,fde,ml
35,4.465970474532121,fde,ml
36,2.4659298121349624,fde,ml
37,2.004296926635982,fde,ml
38,1.3666450452600951,fde,ml
39,1.5298363980726568,fde,ml
40,0.45254622237399245,fde,ml
41,0.36592739645653555,fde,ml
42,1.6438171047655123,fde,ml
43,1.2996317130945751,fde,ml
44,1.1433837045484825,fde,ml
45,0.3899685115900063,fde,ml
46,1.8520937063034169,fde,ml
47,2.4139974388635084,fde,ml
48,1.5318674687800728,fde,ml
49,2.4173193590289546,fde,ml
50,0.687695598846801,fde,ml
51,1.6435934628423585,fde,ml
52,1.483342286733045,fde,ml
53,0.43705838295666743,fde,ml
54,3.904156508459006,fde,ml
55,2.0988573169493603,fde,ml
56,1.0043661982211751,fde,ml
57,0.14480129394871888,fde,ml
58,1.9180442473745043,fde,ml
59,0.47313576403504737,fde,ml
60,0.7206035315661402,fde,ml
61,0.9615695331025568,fde,ml
62,0.453009282242431,fde,ml
63,0.3144219819897711,fde,ml
64,0.3215557899958114,fde,ml
65,0.9930178155515474,fde,ml
66,2.3841660746422675,fde,ml
67,1.3314361458222326,fde,ml
68,2.106776521935472,fde,ml
69,2.054518117469017,fde,ml
70,1.3536199885039277,fde,ml
71,0.9965541342707108,fde,ml
72,0.9637293974586021,fde,ml
73,0.5136943838286068,fde,ml
74,1.2384238506424576,fde,ml
75,1.9254637953577056,fde,ml
76,1.2608781958392457,fde,ml
77,1.7703398579151302,fde,ml
78,0.9511485550019458,fde,ml
79,1.174663854620784,fde,ml
80,0.3417340390449343,fde,ml
81,1.4525905005737019,fde,ml
82,0.32198431902458124,fde,ml
83,0.9442514957462967,fde,ml
84,0.3034051570871824,fde,ml
85,2.1500891420312573,fde,ml
86,1.866742064986922,fde,ml
87,3.42278326420441,fde,ml
88,2.619300425995471,fde,ml
89,2.0581638972975664,fde,ml
90,1.3522559112631645,fde,ml
91,2.7927734344794675,fde,ml
92,0.2996822688660543,fde,ml
93,0.12837516935264442,fde,ml
94,1.5100381331879902,fde,ml
95,1.3763769540909672,fde,ml
96,1.2572504850889035,fde,ml
97,0.2946178792699175,fde,ml
98,1.7247010238759986,fde,ml
99,2.4051795600367534,fde,ml
100,1.511712610564759,fde,ml
101,2.297636392931388,fde,ml
102,0.6657852107956678,fde,ml
103,1.6945476465657807,fde,ml
104,1.5810349884275967,fde,ml
105,0.6138333726242413,fde,ml
106,4.098436474313935,fde,ml
