,value,metric,type
0,0.4172138703893864,ade,ml
1,0.24838318969277381,ade,ml
2,0.10427022254605983,ade,ml
3,0.033867624695870034,ade,ml
4,0.10177816202650818,ade,ml
5,0.575281054826576,ade,ml
6,0.5670961484820335,ade,ml
7,0.357846818823079,ade,ml
8,0.4285507275730715,ade,ml
9,0.12395129960838543,ade,ml
10,0.11422101769974154,ade,ml
11,0.11333131926827189,ade,ml
12,0.7789115513760713,ade,ml
13,0.7651501305854808,ade,ml
14,0.38007004520203425,ade,ml
15,0.4602643423162723,ade,ml
16,0.1635380261741247,ade,ml
17,0.08944515974069416,ade,ml
18,0.09559996077437927,ade,ml
19,0.7346549091219853,ade,ml
20,0.787476418868929,ade,ml
21,0.5893556809186391,ade,ml
22,0.14867335652845462,ade,ml
23,0.23168229851838626,ade,ml
24,0.09189035915339146,ade,ml
25,0.15162498386436743,ade,ml
26,0.15482513994334382,ade,ml
27,0.766599280903015,ade,ml
28,0.7225769464376665,ade,ml
29,0.6857711455840766,ade,ml
30,0.09126256735768486,ade,ml
31,0.03965146823393994,ade,ml
32,0.05007377029353299,ade,ml
33,0.16198177611519066,ade,ml
34,0.1248121799109115,ade,ml
35,1.1428243746867317,ade,ml
36,0.9097468071767724,ade,ml
37,0.3592485437248623,ade,ml
38,0.06027424299631601,ade,ml
39,0.12155425363020428,ade,ml
40,0.09158271322663758,ade,ml
41,0.04962487638298577,ade,ml
42,0.1326514345026938,ade,ml
43,0.9268460191032594,ade,ml
44,0.8745037562724173,ade,ml
45,0.4672687417015458,ade,ml
46,0.16680466681073133,ade,ml
47,0.05246257648216531,ade,ml
48,0.11418019645926675,ade,ml
49,0.08662890071629092,ade,ml
50,0.3641465415831307,ade,ml
51,0.8402997427013371,ade,ml
52,0.37956619483367743,ade,ml
53,0.2925164597485453,ade,ml
54,0.22955060888386644,ade,ml
55,0.17424903906346592,ade,ml
56,0.10670318256053825,ade,ml
57,0.31859381431239364,ade,ml
58,0.920198051534555,ade,ml
59,0.1864220326463668,ade,ml
60,0.33090379208300785,ade,ml
61,0.26811417196676574,ade,ml
62,0.16901515532296277,ade,ml
63,0.13986339003382223,ade,ml
64,0.4221481289409505,ade,ml
65,0.2932981412966321,ade,ml
66,0.2522640805527015,ade,ml
67,0.16665392244616964,ade,ml
68,0.12892697935012826,ade,ml
69,0.3115406518724867,ade,ml
70,0.3009564470637765,ade,ml
71,0.129767776389181,ade,ml
72,0.12233995922970725,ade,ml
73,0.2163262354672856,ade,ml
74,0.39054411302969233,ade,ml
75,0.19337882517750907,ade,ml
76,0.11221620692325142,ade,ml
77,0.24795177543726546,ade,ml
78,0.3637880948679076,ade,ml
79,0.2947988494643143,ade,ml
80,0.10206754702255127,ade,ml
81,0.22040045537545735,ade,ml
82,0.05807675842111016,ade,ml
83,0.2734074925372996,ade,ml
84,0.20094733540242085,ade,ml
85,0.1783458537108935,ade,ml
86,0.11536738089941313,ade,ml
87,0.2227522268663198,ade,ml
88,0.09392955894403394,ade,ml
89,0.1664398999437073,ade,ml
90,0.13179961690638242,ade,ml
91,0.14994065329610248,ade,ml
92,0.24729880271105578,ade,ml
93,0.09374091894634438,ade,ml
94,0.2961521624371611,ade,ml
95,0.2848924387861701,ade,ml
96,0.12021563532816186,ade,ml
