,value,metric,type
0,-0.6317293613795082,kde,best_of
1,-0.9344016148199703,kde,best_of
2,-1.4468238743863309,kde,best_of
3,-1.566759508193849,kde,best_of
4,-1.3418115067574108,kde,best_of
5,-0.5577592973238397,kde,best_of
6,-0.7952633435786314,kde,best_of
7,-1.2815325516049603,kde,best_of
8,-0.5782274469247596,kde,best_of
9,-2.0695108266380684,kde,best_of
10,-1.9069434613353542,kde,best_of
11,-1.1593405440901638,kde,best_of
12,0.030568770905691267,kde,best_of
13,1.487677881710356,kde,best_of
14,-0.63722650575956,kde,best_of
15,-0.764236627668731,kde,best_of
16,-2.3476443070284487,kde,best_of
17,-2.0687890712563632,kde,best_of
18,-1.3841433065921394,kde,best_of
19,0.6834486740018122,kde,best_of
20,0.31610022400427285,kde,best_of
21,-0.15655178299511288,kde,best_of
22,-1.536364136229306,kde,best_of
23,-1.632130289069384,kde,best_of
24,-2.618889448488765,kde,best_of
25,-1.588596112795741,kde,best_of
26,-1.0150118537140354,kde,best_of
27,1.1620493691634761,kde,best_of
28,-0.2909948070502533,kde,best_of
29,0.4335854218967089,kde,best_of
30,-1.549545532248781,kde,best_of
31,-1.2543576768835274,kde,best_of
32,-2.7130040443873353,kde,best_of
33,-1.6275865640825955,kde,best_of
34,-0.7915588445949509,kde,best_of
35,1.123532601882497,kde,best_of
36,0.9312676619609166,kde,best_of
37,-0.9212398835156378,kde,best_of
38,-1.3409223703778923,kde,best_of
39,-0.9381740274878169,kde,best_of
40,-1.94408605477987,kde,best_of
41,-2.039799504863227,kde,best_of
42,-1.6655299175655218,kde,best_of
43,2.5388303317930068,kde,best_of
44,-0.410245881850996,kde,best_of
45,-0.4603999056782371,kde,best_of
46,-2.114512705468178,kde,best_of
47,-1.4471631212713523,kde,best_of
48,-1.9715001351937145,kde,best_of
49,-1.8233808353279497,kde,best_of
50,-1.1434694404413794,kde,best_of
51,2.3973818344649027,kde,best_of
52,-0.5041305253386753,kde,best_of
53,-1.0869545611259732,kde,best_of
54,-1.4237527793527467,kde,best_of
55,-1.904999249869487,kde,best_of
56,-1.9827890369839953,kde,best_of
57,-1.1186735668543013,kde,best_of
58,11.065793196337335,kde,best_of
59,-0.7430761851360881,kde,best_of
60,-0.9068708359471174,kde,best_of
61,-0.9885255428660786,kde,best_of
62,-1.7489352484255818,kde,best_of
63,-1.783039166600764,kde,best_of
64,-1.2298217300944705,kde,best_of
65,-1.1253950311192589,kde,best_of
66,-1.8397276427093272,kde,best_of
67,-1.7644595162138212,kde,best_of
68,-0.7435452534817479,kde,best_of
69,-1.0531980672291108,kde,best_of
70,-1.4278602221944223,kde,best_of
71,-1.8404725237778299,kde,best_of
72,-0.35161017309727993,kde,best_of
73,-1.50171239399866,kde,best_of
74,-1.1529442006176491,kde,best_of
75,-1.7892920778490815,kde,best_of
76,-1.2808826827020048,kde,best_of
77,-1.274540820909347,kde,best_of
78,-0.9595870479896537,kde,best_of
79,-1.2445785680840364,kde,best_of
80,-1.2537119364052514,kde,best_of
81,-1.1491534409342012,kde,best_of
82,-1.4188591912575965,kde,best_of
83,-1.2688017058626437,kde,best_of
84,-0.973964394839547,kde,best_of
85,-1.1850359845490461,kde,best_of
