,value,metric,type
0,0.225893885791686,ade,best_of
1,0.12279513323899721,ade,best_of
2,0.03689166495706512,ade,best_of
3,0.08038075435106161,ade,best_of
4,0.03598978423477397,ade,best_of
5,0.43766922886129844,ade,best_of
6,0.2558864289654974,ade,best_of
7,0.18179070470505207,ade,best_of
8,0.13890035525817904,ade,best_of
9,0.05797747174761145,ade,best_of
10,0.07267436352619035,ade,best_of
11,0.05010672922082568,ade,best_of
12,0.3446883545148958,ade,best_of
13,0.29757999220795545,ade,best_of
14,0.17711628530216497,ade,best_of
15,0.11417134774286956,ade,best_of
16,0.060222033119926605,ade,best_of
17,0.12679890799095497,ade,best_of
18,0.04690990996837341,ade,best_of
19,0.3376368980938129,ade,best_of
20,0.3764640576437852,ade,best_of
21,0.2433391210243824,ade,best_of
22,0.0879787692614425,ade,best_of
23,0.06963048127914978,ade,best_of
24,0.07303519447311556,ade,best_of
25,0.1330209619150827,ade,best_of
26,0.12098953836443603,ade,best_of
27,0.18571659757825462,ade,best_of
28,0.36149381971982214,ade,best_of
29,0.4246941302379826,ade,best_of
30,0.10704031080025396,ade,best_of
31,0.08923485397512376,ade,best_of
32,0.04990807254461557,ade,best_of
33,0.13095779001808083,ade,best_of
34,0.07202633179381404,ade,best_of
35,0.3572560407042024,ade,best_of
36,0.5982808148049991,ade,best_of
37,0.1615100467895897,ade,best_of
38,0.11476554910205732,ade,best_of
39,0.14443481913974246,ade,best_of
40,0.08678641961558713,ade,best_of
41,0.13914804480374884,ade,best_of
42,0.08237442166104086,ade,best_of
43,0.5876226923554806,ade,best_of
44,0.343098514148444,ade,best_of
45,0.1987027971011229,ade,best_of
46,0.08614610945434137,ade,best_of
47,0.08127305874829144,ade,best_of
48,0.05464805008750844,ade,best_of
49,0.042923038858149604,ade,best_of
50,0.23748875145312595,ade,best_of
51,0.44609569103231966,ade,best_of
52,0.2261721555148276,ade,best_of
53,0.17919554561629092,ade,best_of
54,0.05203147731075005,ade,best_of
55,0.0601710365673985,ade,best_of
56,0.08858065923648471,ade,best_of
57,0.1949190476023092,ade,best_of
58,0.8809279928604079,ade,best_of
59,0.17375693209005982,ade,best_of
60,0.12589756724395446,ade,best_of
61,0.23374718557282384,ade,best_of
62,0.07698265883460896,ade,best_of
63,0.09152033987617277,ade,best_of
64,0.42865940496686616,ade,best_of
65,0.12984411516018807,ade,best_of
66,0.2205887319345973,ade,best_of
67,0.08835720446356264,ade,best_of
68,0.14450883789372956,ade,best_of
69,0.15678430986669836,ade,best_of
70,0.13434409134522218,ade,best_of
71,0.08937821055293814,ade,best_of
72,0.09555351363633442,ade,best_of
73,0.08612307096386253,ade,best_of
74,0.204409738227319,ade,best_of
75,0.0811813891474044,ade,best_of
76,0.12190849548505116,ade,best_of
77,0.13234216011066097,ade,best_of
78,0.18364785214826043,ade,best_of
79,0.24663464827320788,ade,best_of
80,0.12884182138602698,ade,best_of
81,0.08809592117333416,ade,best_of
82,0.12176367098802608,ade,best_of
83,0.08423462802248426,ade,best_of
84,0.10340155131410449,ade,best_of
85,0.1581283397592501,ade,best_of
86,0.12974653896288194,ade,best_of
87,0.07872336438091121,ade,best_of
88,0.14086798338930345,ade,best_of
89,0.06415912796928783,ade,best_of
90,0.07922228682404926,ade,best_of
91,0.20650461673237722,ade,best_of
92,0.055542641081312925,ade,best_of
93,0.08260176810173207,ade,best_of
94,0.23855726199402985,ade,best_of
95,0.08616865074626612,ade,best_of
96,0.18445389743473353,ade,best_of
97,0.28646315933953387,ade,best_of
98,0.06599222475141245,ade,best_of
99,0.1383065143544948,ade,best_of
100,0.44245311043892555,ade,best_of
101,0.10007784295201912,ade,best_of
102,0.16244144461149188,ade,best_of
103,0.1587533324025516,ade,best_of
104,0.13761654262160317,ade,best_of
105,0.11320957504249314,ade,best_of
106,0.11721952011947306,ade,best_of
107,0.18869915213374422,ade,best_of
108,0.17719151783577855,ade,best_of
109,0.15962060262786085,ade,best_of
110,0.15916721354387564,ade,best_of
111,0.07033087611400575,ade,best_of
112,0.17028007088290556,ade,best_of
113,0.12814563930034753,ade,best_of
114,0.12421942008266512,ade,best_of
115,0.04207293785854082,ade,best_of
116,0.1666241738863041,ade,best_of
117,0.21958373732031689,ade,best_of
118,0.2162052898544514,ade,best_of
119,0.15177454855037217,ade,best_of
120,0.5342267051201833,ade,best_of
121,0.06381132166561033,ade,best_of
122,0.08298889744014966,ade,best_of
123,0.13150575256102082,ade,best_of
124,0.09975966397911967,ade,best_of
125,0.062205511396243474,ade,best_of
126,0.0927954252037138,ade,best_of
127,0.16704128993543296,ade,best_of
128,0.03122556108225012,ade,best_of
129,0.1369740552507077,ade,best_of
130,0.024968783689257052,ade,best_of
131,0.08967097247622861,ade,best_of
132,0.019986105240446733,ade,best_of
