,value,metric,type
0,0.34969857192539444,ade,ml
1,0.16654661810996133,ade,ml
2,0.11871698083615671,ade,ml
3,0.07830586696842434,ade,ml
4,0.03058084178761451,ade,ml
5,0.5475860442133788,ade,ml
6,0.5800156567322549,ade,ml
7,0.25675966759742647,ade,ml
8,0.32758126039186897,ade,ml
9,0.1402730590473776,ade,ml
10,0.15987021060393078,ade,ml
11,0.06029380998005492,ade,ml
12,0.7562859050028273,ade,ml
13,0.7713650291507674,ade,ml
14,0.3073620289464876,ade,ml
15,0.3932608393556003,ade,ml
16,0.18434757039235913,ade,ml
17,0.16117749919557345,ade,ml
18,0.09286174085908483,ade,ml
19,0.7415391243058909,ade,ml
20,0.7812263438463166,ade,ml
21,0.5942073950853509,ade,ml
22,0.11815996526490767,ade,ml
23,0.21070583452408134,ade,ml
24,0.12640782965582112,ade,ml
25,0.2181425221497465,ade,ml
26,0.15437767756841694,ade,ml
27,0.7706506755594787,ade,ml
28,0.7418821055011945,ade,ml
29,0.5422427631520104,ade,ml
30,0.1073072049450472,ade,ml
31,0.0941207101317834,ade,ml
32,0.08084674627674403,ade,ml
33,0.23020104130188135,ade,ml
34,0.11788982324932822,ade,ml
35,1.0786202697115244,ade,ml
36,0.9119265503124158,ade,ml
37,0.337736683191548,ade,ml
38,0.11614160222998186,ade,ml
39,0.11265264368850643,ade,ml
40,0.10450480727071394,ade,ml
41,0.11429748117982301,ade,ml
42,0.1000021262693455,ade,ml
43,0.9334397945864324,ade,ml
44,0.8589583737518502,ade,ml
45,0.48198481554326866,ade,ml
46,0.24528977267296895,ade,ml
47,0.07369192484873548,ade,ml
48,0.1340721658456471,ade,ml
49,0.10347945253220081,ade,ml
50,0.25250975220297434,ade,ml
51,0.825519498090562,ade,ml
52,0.43416063788181664,ade,ml
53,0.3846615276965326,ade,ml
54,0.2727632698349874,ade,ml
55,0.18892036118037214,ade,ml
56,0.17409721537319348,ade,ml
57,0.33039924618886557,ade,ml
58,0.8868560426324731,ade,ml
59,0.13280311342309956,ade,ml
60,0.3955971903491446,ade,ml
61,0.2676747122805794,ade,ml
62,0.14949217515760682,ade,ml
63,0.18810125192397043,ade,ml
64,0.4323469418236215,ade,ml
65,0.18663067676797987,ade,ml
66,0.20225761101049522,ade,ml
67,0.2284196074766139,ade,ml
68,0.13459009998736882,ade,ml
69,0.28316392056387235,ade,ml
70,0.28626404654649523,ade,ml
71,0.17173158672991864,ade,ml
72,0.1855643626581721,ade,ml
73,0.1442768165489097,ade,ml
74,0.38066299997786296,ade,ml
75,0.23629646579056562,ade,ml
76,0.1421772287693453,ade,ml
77,0.19509176661198083,ade,ml
78,0.37104721236782484,ade,ml
79,0.34549819446673874,ade,ml
80,0.08885103176538972,ade,ml
81,0.21212470222590196,ade,ml
82,0.10071256004194067,ade,ml
83,0.2974123422352614,ade,ml
84,0.189839761690878,ade,ml
85,0.1608337499203649,ade,ml
86,0.12296401380961786,ade,ml
87,0.21757277162585645,ade,ml
88,0.15037731654751893,ade,ml
89,0.21611872138682764,ade,ml
90,0.17108735111961046,ade,ml
91,0.25902804840055144,ade,ml
92,0.28412210058092463,ade,ml
93,0.11858832250199597,ade,ml
94,0.4187438452812804,ade,ml
95,0.3057970744028149,ade,ml
96,0.13550905376854808,ade,ml
97,0.5395542075300939,ade,ml
98,0.2249904497301165,ade,ml
99,0.24999780815954073,ade,ml
100,0.7059452062395865,ade,ml
101,0.15680062952525706,ade,ml
102,0.3287074031385873,ade,ml
103,0.9466460381005994,ade,ml
104,0.16755880034260132,ade,ml
105,0.32892229676421614,ade,ml
106,1.222891305696597,ade,ml
107,0.1911528629675111,ade,ml
108,0.42924910436777447,ade,ml
109,0.3999009408477163,ade,ml
110,1.1484992537999787,ade,ml
111,0.183218206029619,ade,ml
112,0.5015681492796525,ade,ml
113,0.49795606177192225,ade,ml
114,0.934233373436039,ade,ml
115,0.255199062541347,ade,ml
116,0.6676870954641543,ade,ml
117,0.5769550268449659,ade,ml
118,0.9597975935679451,ade,ml
119,0.23692286616639593,ade,ml
120,0.8493742886611968,ade,ml
121,0.09862734240398591,ade,ml
122,0.8717433723765082,ade,ml
123,0.34671259447588804,ade,ml
124,0.18718649997576872,ade,ml
125,0.3668729697472662,ade,ml
126,0.15249560682474053,ade,ml
127,0.22626149396989992,ade,ml
128,0.02436666811461838,ade,ml
129,0.2661128404509188,ade,ml
130,0.028886422001542702,ade,ml
131,0.24829860172013082,ade,ml
132,0.03397576083898426,ade,ml
133,0.12054574480360387,ade,ml
134,0.009881123670219148,ade,ml
135,0.07010937547705008,ade,ml
136,0.042420559548223775,ade,ml
137,0.08185635130100354,ade,ml
138,0.02709496825746242,ade,ml
139,0.07611210058641349,ade,ml
140,0.01967665351265323,ade,ml
141,0.26607856026765037,ade,ml
142,0.018068468479363574,ade,ml
143,0.20892715039372067,ade,ml
144,0.2302132013979319,ade,ml
145,0.3492111883146967,ade,ml
146,0.04093846053967836,ade,ml
147,0.20891847121082763,ade,ml
148,0.07664627525255498,ade,ml
149,0.22815347104849917,ade,ml
150,0.021305855338346173,ade,ml
151,0.2532339127640471,ade,ml
152,0.12400634326507243,ade,ml
153,0.11468289775722114,ade,ml
154,0.020295570639469584,ade,ml
155,0.3106431275397679,ade,ml
156,0.1186301837778095,ade,ml
157,0.13759586368634044,ade,ml
158,0.022032214589814147,ade,ml
159,0.18956219660943144,ade,ml
160,0.13231759506433,ade,ml
161,0.21039331993832225,ade,ml
162,0.027671889537501434,ade,ml
163,0.04972878034020332,ade,ml
164,0.15604132594027167,ade,ml
165,0.3903770640331971,ade,ml
166,0.039002395860282486,ade,ml
167,0.05744843304115144,ade,ml
168,0.16506394755534687,ade,ml
169,0.5134117341205356,ade,ml
170,0.05650491158993598,ade,ml
171,0.07319811852768439,ade,ml
172,0.23728276604605994,ade,ml
173,0.6063611542565942,ade,ml
174,0.08151106672409918,ade,ml
175,0.09317621860059754,ade,ml
176,0.1755352648551488,ade,ml
177,0.35222819524325216,ade,ml
178,0.11399826784682189,ade,ml
179,0.12824512441152372,ade,ml
180,0.20702964393699264,ade,ml
181,0.36969876615883956,ade,ml
182,0.15469783529691086,ade,ml
183,0.1650414296030239,ade,ml
184,0.28039760860542834,ade,ml
185,0.5111594474198802,ade,ml
186,0.20316315622049008,ade,ml
187,0.3085867141485222,ade,ml
188,0.3148695160994602,ade,ml
189,0.3605469600802209,ade,ml
190,0.03971194357488532,ade,ml
191,0.23571671753500065,ade,ml
192,0.3382119785699625,ade,ml
193,0.06767508398872758,ade,ml
194,0.026320386484256206,ade,ml
195,0.3956131083812678,ade,ml
196,0.11737845782765259,ade,ml
197,0.027380027410416067,ade,ml
198,0.08871080829726001,ade,ml
199,0.205212983651189,ade,ml
200,0.024730948142815515,ade,ml
201,0.14957368717259742,ade,ml
202,0.22497645359432547,ade,ml
203,0.3648489011702598,ade,ml
204,0.025299829497220542,ade,ml
205,0.13558635949723336,ade,ml
206,0.2158639288126393,ade,ml
207,0.4651505610136903,ade,ml
208,0.038715608410016596,ade,ml
209,0.17029511664763633,ade,ml
210,0.34181105883018237,ade,ml
211,0.5427937186117787,ade,ml
212,0.03262744105841648,ade,ml
213,0.2770856947379035,ade,ml
214,0.4370460152323876,ade,ml
215,0.42671419806951355,ade,ml
216,0.2300112758808868,ade,ml
217,0.028414336968189017,ade,ml
218,0.3139879563540498,ade,ml
219,0.4505670541404833,ade,ml
220,0.40810903665621917,ade,ml
221,0.29738646235183186,ade,ml
222,0.020530382870433513,ade,ml
223,0.4122704380728572,ade,ml
224,0.5187289231453888,ade,ml
225,0.5505115048665342,ade,ml
226,0.4044157116594909,ade,ml
227,0.026691446473292635,ade,ml
228,0.6320253991832773,ade,ml
229,0.5976486850818289,ade,ml
230,0.497145335034743,ade,ml
231,0.03184007611487134,ade,ml
232,0.277021075023147,ade,ml
233,0.32378140659849,ade,ml
234,0.269334382942,ade,ml
235,0.026691571738769796,ade,ml
236,0.27322401268772994,ade,ml
237,0.3145699816620809,ade,ml
238,0.17545793998559375,ade,ml
239,0.027487121517737263,ade,ml
240,0.7445252426947273,ade,ml
241,0.4170237247515878,ade,ml
242,0.22105807914209122,ade,ml
243,0.7068212293127489,ade,ml
244,0.02556954985696817,ade,ml
245,0.3358135606716466,ade,ml
246,0.29412507202816024,ade,ml
247,0.9921208248940551,ade,ml
248,0.02737523431024626,ade,ml
249,0.21941148777542052,ade,ml
250,0.4371968240995357,ade,ml
251,1.1419460776312478,ade,ml
252,0.030588282333859695,ade,ml
253,0.23200563707935398,ade,ml
254,0.5308676167608841,ade,ml
255,1.1771692435098324,ade,ml
256,0.4160704993527245,ade,ml
257,0.027936450548867415,ade,ml
258,0.2663312770002367,ade,ml
259,0.6405636698398091,ade,ml
260,1.135158094665774,ade,ml
261,0.35770805729225974,ade,ml
262,0.025075810313054416,ade,ml
263,0.16046839063313303,ade,ml
264,0.27868905032866026,ade,ml
265,1.3084698225994165,ade,ml
266,0.4552278791951516,ade,ml
267,1.0746790747782722,ade,ml
268,0.02795472793262869,ade,ml
269,0.1553419387874239,ade,ml
270,0.3332602227345259,ade,ml
271,1.663812718685173,ade,ml
272,0.314553251070993,ade,ml
273,1.4437960470888516,ade,ml
274,0.030583000760689014,ade,ml
275,0.22347067793516198,ade,ml
276,0.3171462317039166,ade,ml
277,2.036643484177977,ade,ml
278,0.3779477321186971,ade,ml
279,0.027104922168054157,ade,ml
280,0.12968067991347876,ade,ml
281,0.09125136036020133,ade,ml
282,1.1044606776229278,ade,ml
283,0.46200359620714143,ade,ml
284,0.02536697605520952,ade,ml
285,0.17798552146829671,ade,ml
286,0.2715765310962823,ade,ml
287,0.22696834994527273,ade,ml
288,0.36654956824913537,ade,ml
289,0.026219903241692596,ade,ml
290,0.24789184638644732,ade,ml
