,value,metric,type
0,0.7646657962695136,fde,ml
1,0.4398288046154579,fde,ml
2,0.3261832645336552,fde,ml
3,0.26694845480393187,fde,ml
4,0.1403932492767034,fde,ml
5,1.8049134088753482,fde,ml
6,1.9397300377401527,fde,ml
7,0.5141230355393144,fde,ml
8,0.7468793826024354,fde,ml
9,0.3433402294583108,fde,ml
10,0.4552740684002646,fde,ml
11,0.24451489435851753,fde,ml
12,2.233534770777315,fde,ml
13,2.3228505539250044,fde,ml
14,0.557712782895756,fde,ml
15,0.8404958075736272,fde,ml
16,0.40584164553189367,fde,ml
17,0.4884838723570407,fde,ml
18,0.29914328060997486,fde,ml
19,2.0884153160876884,fde,ml
20,2.2859697649300568,fde,ml
21,1.4387377570936235,fde,ml
22,0.21650315462328984,fde,ml
23,0.46430748262854526,fde,ml
24,0.27796322109724225,fde,ml
25,0.5879259642704789,fde,ml
26,0.4314266333508281,fde,ml
27,2.1148096757303643,fde,ml
28,2.100645146620519,fde,ml
29,1.1294296956816647,fde,ml
30,0.36181833450113254,fde,ml
31,0.23626331523489907,fde,ml
32,0.27480189049446363,fde,ml
33,0.643079492696536,fde,ml
34,0.36295007354607506,fde,ml
35,2.5465693334261568,fde,ml
36,2.307274097057225,fde,ml
37,0.7897321545062538,fde,ml
38,0.3599386395751173,fde,ml
39,0.23367940234608284,fde,ml
40,0.36037938975801986,fde,ml
41,0.43365759366482587,fde,ml
42,0.29348292866374254,fde,ml
43,2.22188577117484,fde,ml
44,2.0749316678618994,fde,ml
45,1.0368430787906755,fde,ml
46,0.63437444291057,fde,ml
47,0.24091220819709322,fde,ml
48,0.4145060096243297,fde,ml
49,0.41657329172297186,fde,ml
50,0.7540373486976198,fde,ml
51,1.8712950561028059,fde,ml
52,0.9564897588387005,fde,ml
53,0.878340558293432,fde,ml
54,0.6119734145950403,fde,ml
55,0.6119261836662442,fde,ml
56,0.5688577870988715,fde,ml
57,0.7019395529739095,fde,ml
58,1.8647107699680043,fde,ml
59,0.1829390333125083,fde,ml
60,0.8777399954838632,fde,ml
61,0.6418407514214732,fde,ml
62,0.6106535796156363,fde,ml
63,0.6606501608512786,fde,ml
64,0.8520214884117417,fde,ml
65,0.2709013250266501,fde,ml
66,0.7146653965509855,fde,ml
67,0.7792542817184224,fde,ml
68,0.17532772845496486,fde,ml
69,0.8593356464450298,fde,ml
70,0.9260780853929401,fde,ml
71,0.6722922962937425,fde,ml
72,0.592640565249695,fde,ml
73,0.6666668799250186,fde,ml
74,1.0995352652132744,fde,ml
75,0.7879405149725945,fde,ml
76,0.27549295137736207,fde,ml
77,0.5547346604574437,fde,ml
78,1.0946493248575957,fde,ml
79,0.9952370588851804,fde,ml
80,0.20341144250563442,fde,ml
81,0.47252308578206126,fde,ml
82,0.3240128717893948,fde,ml
83,0.8718002373763011,fde,ml
84,0.41862457839310535,fde,ml
85,0.30066784946750286,fde,ml
86,0.35589998071988793,fde,ml
87,0.4577982733715648,fde,ml
88,0.6515104730077035,fde,ml
89,0.5460576987484544,fde,ml
90,0.42717854959098334,fde,ml
91,1.1320179797190713,fde,ml
92,0.6955255505065628,fde,ml
93,0.4986217920842577,fde,ml
94,1.6259132842851485,fde,ml
95,0.7571901580340403,fde,ml
96,0.5460249922659676,fde,ml
97,1.9599754826977596,fde,ml
98,0.6102016059885778,fde,ml
99,0.8276918338521747,fde,ml
100,2.3095002226083405,fde,ml
101,0.3273342352369069,fde,ml
102,0.9324957344440276,fde,ml
103,2.730569228772436,fde,ml
104,0.4231578732874024,fde,ml
105,0.8836854829563311,fde,ml
106,3.162131774173634,fde,ml
107,0.4511719947917127,fde,ml
108,1.183883550651838,fde,ml
109,0.9397467877999747,fde,ml
110,2.899421107882906,fde,ml
111,0.5078986048888811,fde,ml
112,1.339250113528242,fde,ml
113,1.0285915356452897,fde,ml
114,2.294623252310541,fde,ml
115,0.6225909916112479,fde,ml
116,1.6024074084656,fde,ml
117,1.075258341217811,fde,ml
118,2.1590924599302195,fde,ml
119,0.4739550892938956,fde,ml
120,1.8787003104896824,fde,ml
121,0.11847763139496761,fde,ml
122,1.8710809317893382,fde,ml
123,0.9383291936225974,fde,ml
124,0.526052757224126,fde,ml
125,0.7633651916439503,fde,ml
126,0.49033670223015924,fde,ml
127,0.574727422112056,fde,ml
128,0.04907762325072513,fde,ml
129,0.6019991017050117,fde,ml
130,0.05707543522589398,fde,ml
131,0.5314637989266313,fde,ml
132,0.059683609058420746,fde,ml
133,0.24497770146235862,fde,ml
134,0.01628740974608277,fde,ml
135,0.10729614689370655,fde,ml
136,0.07768639044668267,fde,ml
137,0.12863866784127248,fde,ml
138,0.047559550452454864,fde,ml
139,0.2363845462532544,fde,ml
140,0.03542932477879368,fde,ml
141,0.7431290715928549,fde,ml
142,0.034297554246238066,fde,ml
143,0.5879990202677688,fde,ml
144,0.6000873247461537,fde,ml
145,0.9785645732186108,fde,ml
146,0.0718490512515835,fde,ml
147,0.5779876433544773,fde,ml
148,0.3066147591268324,fde,ml
149,0.713732143706017,fde,ml
150,0.038842700613175685,fde,ml
151,0.6366788810347337,fde,ml
152,0.4137575782290863,fde,ml
153,0.31761782405708644,fde,ml
154,0.031342366509658465,fde,ml
155,0.6573076881968107,fde,ml
156,0.3490534658166965,fde,ml
157,0.32786375892452824,fde,ml
158,0.052472383886212406,fde,ml
159,0.35953968266762926,fde,ml
160,0.27387569444292326,fde,ml
161,0.5322932303887086,fde,ml
162,0.10699256784562043,fde,ml
163,0.16206905927937826,fde,ml
164,0.31753949202432685,fde,ml
165,0.9325110471400081,fde,ml
166,0.16402664602081315,fde,ml
167,0.22835174493622162,fde,ml
168,0.31765575182496836,fde,ml
169,1.114417800378489,fde,ml
170,0.23564093421046037,fde,ml
171,0.21158963507426023,fde,ml
172,0.44294384436176054,fde,ml
173,1.2070484954345138,fde,ml
174,0.3202520503275451,fde,ml
175,0.2221180876496823,fde,ml
176,0.3688901125721256,fde,ml
177,0.715538815835608,fde,ml
178,0.40723172213978565,fde,ml
179,0.2718964696980409,fde,ml
180,0.4237063899786378,fde,ml
181,0.8810602326637704,fde,ml
182,0.49570376176041636,fde,ml
183,0.2894490431354806,fde,ml
184,0.6424058769049392,fde,ml
185,1.1178508994427332,fde,ml
186,0.5840548199522804,fde,ml
187,0.7286044331481898,fde,ml
188,0.6751830711496764,fde,ml
189,0.6794130201706542,fde,ml
190,0.08313458575346853,fde,ml
191,0.6303123439982339,fde,ml
192,0.784589142322222,fde,ml
193,0.26644469341809957,fde,ml
194,0.046567603466816494,fde,ml
195,0.8673855044906466,fde,ml
196,0.3890651644861559,fde,ml
197,0.04883467996150721,fde,ml
198,0.2339194514056142,fde,ml
199,0.5853392621091646,fde,ml
200,0.04297892498912743,fde,ml
201,0.3134980850053158,fde,ml
202,0.6853307856423022,fde,ml
203,1.1658792004405065,fde,ml
204,0.041150579830649,fde,ml
205,0.40656019958580686,fde,ml
206,0.7622208642876162,fde,ml
207,1.357546134864473,fde,ml
208,0.07300076993621787,fde,ml
209,0.46690619207744877,fde,ml
210,0.9908651999893794,fde,ml
211,1.4739175709362322,fde,ml
212,0.05507074178156924,fde,ml
213,0.766076082783393,fde,ml
214,1.3061746663888518,fde,ml
215,1.2171464007649548,fde,ml
216,0.5814446568447482,fde,ml
217,0.047566414353523746,fde,ml
218,0.8312766960835116,fde,ml
219,1.386690401090526,fde,ml
220,1.0980917837073665,fde,ml
221,0.8354302087868533,fde,ml
222,0.03582022150466565,fde,ml
223,1.0305731542552121,fde,ml
224,1.461640104140637,fde,ml
225,1.2726763979442464,fde,ml
226,1.071137744139409,fde,ml
227,0.04932700330911211,fde,ml
228,1.5730435302701853,fde,ml
229,1.326278026543148,fde,ml
230,1.2589882148471208,fde,ml
231,0.05514993563949151,fde,ml
232,0.6792681751509428,fde,ml
233,0.8893542338321768,fde,ml
234,0.860388280284749,fde,ml
235,0.04397225064551584,fde,ml
236,0.4260643558092289,fde,ml
237,0.9747128313927043,fde,ml
238,0.6656721124883901,fde,ml
239,0.0499342071855515,fde,ml
240,1.327343747670974,fde,ml
241,1.2535924075621632,fde,ml
242,0.7108110544102726,fde,ml
243,2.0996297934375323,fde,ml
244,0.04502947084012371,fde,ml
245,0.9013398753192606,fde,ml
246,0.8286833702142069,fde,ml
247,2.6669635002134324,fde,ml
248,0.04950290263031954,fde,ml
249,0.6193563621668253,fde,ml
250,1.1055015375652941,fde,ml
251,2.8833705499115436,fde,ml
252,0.05578790356218099,fde,ml
253,0.593301922120021,fde,ml
254,1.2346439466779175,fde,ml
255,3.114771423523654,fde,ml
256,0.43323232659095107,fde,ml
257,0.048633561246311706,fde,ml
258,0.6184325138751581,fde,ml
259,1.3753258671664381,fde,ml
260,3.251350506440863,fde,ml
261,1.3456069725967856,fde,ml
262,0.047113623944437466,fde,ml
263,0.47308942178819324,fde,ml
264,0.6657079650184923,fde,ml
265,3.496038135486406,fde,ml
266,1.4702067936132557,fde,ml
267,3.1238186306936666,fde,ml
268,0.051242507100313577,fde,ml
269,0.5227435352132866,fde,ml
270,0.6600511854848863,fde,ml
271,3.9565124819535686,fde,ml
272,1.1444292606786177,fde,ml
273,3.7211065913786086,fde,ml
274,0.054094320922785835,fde,ml
275,0.6812666315987957,fde,ml
276,0.47608234416567313,fde,ml
277,4.36663152117509,fde,ml
278,1.287176491918338,fde,ml
279,0.0483551083056608,fde,ml
280,0.5647517566502988,fde,ml
281,0.05212347398846622,fde,ml
282,3.0084072829398387,fde,ml
283,1.3330656269314873,fde,ml
284,0.044138911960511194,fde,ml
285,0.6055299744074977,fde,ml
286,1.0021184250452793,fde,ml
287,0.39475411402946026,fde,ml
288,1.0095879822858895,fde,ml
289,0.0442987083326308,fde,ml
290,0.809829452698369,fde,ml
291,0.9834394720492393,fde,ml
292,2.1282259847564067,fde,ml
293,0.5095887679425163,fde,ml
294,0.05310156157447515,fde,ml
295,0.9619510694946951,fde,ml
296,1.0528266302727598,fde,ml
297,2.05321001745276,fde,ml
298,0.3370041580903602,fde,ml
299,0.04890191131876169,fde,ml
300,1.1702107234058052,fde,ml
301,0.8669425960843528,fde,ml
302,1.029282833396749,fde,ml
303,0.5682298041300534,fde,ml
304,0.03665156437365401,fde,ml
305,1.270052082917402,fde,ml
306,0.8327652557691212,fde,ml
307,0.46052837391106377,fde,ml
308,0.5970323273271572,fde,ml
309,0.04002759680539381,fde,ml
310,1.4156067275425601,fde,ml
311,1.0041410674468818,fde,ml
312,0.6002845101269396,fde,ml
313,0.5342729363915522,fde,ml
314,0.0384198421941406,fde,ml
315,0.15253247413602591,fde,ml
316,0.5843155653906877,fde,ml
317,1.3520992085969235,fde,ml
318,0.7800723980807329,fde,ml
319,0.03964677508185902,fde,ml
320,0.3710728148420336,fde,ml
321,0.527882463127913,fde,ml
322,1.2523991020957375,fde,ml
323,0.7657447250616786,fde,ml
324,0.030813789173026,fde,ml
325,0.20776188070962348,fde,ml
326,0.5336781817031674,fde,ml
327,0.6800191880634635,fde,ml
328,0.08954436020970362,fde,ml
329,0.43941431805380804,fde,ml
330,0.3562525237280499,fde,ml
331,0.9499323440522631,fde,ml
332,0.15911155252133438,fde,ml
333,0.521133950031559,fde,ml
334,0.17836352232940134,fde,ml
335,0.6992062577836503,fde,ml
336,0.22612712887017175,fde,ml
337,0.7293735612242064,fde,ml
338,0.1956469921441006,fde,ml
339,0.5158599426127352,fde,ml
340,0.2904043942726898,fde,ml
341,0.8099777961083068,fde,ml
342,0.08542791693629949,fde,ml
343,0.5379637324421847,fde,ml
344,0.36673903171980965,fde,ml
345,0.377225767644407,fde,ml
346,0.23711647874753197,fde,ml
347,0.666699944702775,fde,ml
348,0.43329253228402653,fde,ml
349,0.28843212378516153,fde,ml
350,0.3799042527443168,fde,ml
351,0.6923739530067562,fde,ml
352,0.5121548230422969,fde,ml
353,0.33726733931333297,fde,ml
354,0.40906904821907564,fde,ml
355,1.0470475844780693,fde,ml
356,0.5894321419732645,fde,ml
357,0.3369899674947356,fde,ml
358,0.5863739731963651,fde,ml
359,0.979677030365488,fde,ml
360,0.6773455357682185,fde,ml
361,0.8205363111896581,fde,ml
362,0.5523909944244279,fde,ml
363,1.0573983340469113,fde,ml
364,0.5159100995623319,fde,ml
365,0.96744356360391,fde,ml
366,0.5700135407333458,fde,ml
367,1.2482397639179728,fde,ml
368,2.8146818232707664,fde,ml
369,0.11127312353219605,fde,ml
370,0.6688408775828438,fde,ml
371,1.2476956758548887,fde,ml
372,2.8993738761315995,fde,ml
373,2.7606616909798176,fde,ml
374,0.14824645161005467,fde,ml
375,0.7217098132188188,fde,ml
376,0.5863417380663617,fde,ml
377,3.0123151340001835,fde,ml
378,3.2467659113306397,fde,ml
379,0.20498313986936595,fde,ml
380,0.5164608384065931,fde,ml
381,3.102952159580254,fde,ml
382,3.7247754404415314,fde,ml
383,0.28580855192913757,fde,ml
384,0.7424750839628871,fde,ml
385,2.8566946979293513,fde,ml
386,3.673172381841507,fde,ml
387,0.38425587909224,fde,ml
388,1.8120694068652023,fde,ml
389,2.7387317433630156,fde,ml
390,0.45621742258740483,fde,ml
391,0.43213593221761903,fde,ml
392,2.6166526465210005,fde,ml
393,0.556884745573772,fde,ml
394,1.0748633265675884,fde,ml
395,0.7116182052693093,fde,ml
396,0.6672025123192123,fde,ml
397,0.7395065976965463,fde,ml
398,0.4401810455746227,fde,ml
399,0.7233373618597015,fde,ml
400,0.45095982664880574,fde,ml
401,0.5254303054013408,fde,ml
402,0.557279898545213,fde,ml
403,0.516730800938137,fde,ml
404,0.20299506019074715,fde,ml
405,0.20302705847453545,fde,ml
406,0.4890364733420859,fde,ml
407,0.5068895830310289,fde,ml
408,0.04206484370885138,fde,ml
409,0.392856350363475,fde,ml
410,0.46394333059467574,fde,ml
411,0.032369083244252535,fde,ml
412,0.43793161459769403,fde,ml
413,0.779413851670515,fde,ml
414,0.043168522858925876,fde,ml
415,0.47818939153839685,fde,ml
416,0.9862162391929601,fde,ml
417,0.04627366686899193,fde,ml
418,0.2879885543543309,fde,ml
419,0.03895037215661142,fde,ml
420,0.33600861309828123,fde,ml
421,0.1677127647807314,fde,ml
422,0.3888128858656175,fde,ml
423,0.361577155648505,fde,ml
424,0.5807343470915803,fde,ml
425,0.8148157758929425,fde,ml
426,1.029226013086866,fde,ml
427,1.25893259086672,fde,ml
428,1.4944625826208653,fde,ml
429,0.3806024655968197,fde,ml
430,1.7138562672397388,fde,ml
431,0.6927117514493859,fde,ml
432,0.36031815048328897,fde,ml
433,1.9256302606546045,fde,ml
434,0.5283953481021468,fde,ml
435,0.3085076639471667,fde,ml
436,0.32165175474513064,fde,ml
437,2.140403825318601,fde,ml
438,0.2649695414677067,fde,ml
439,0.35527455612782366,fde,ml
440,0.3978690610772568,fde,ml
441,1.581371476814945,fde,ml
442,0.6994524300958662,fde,ml
443,0.22480755304491024,fde,ml
444,0.42160774565397596,fde,ml
445,0.5655879669455114,fde,ml
446,0.585443117320306,fde,ml
447,0.3169415766919783,fde,ml
448,0.3902720632178969,fde,ml
449,0.5652606514222168,fde,ml
450,0.5375254813552083,fde,ml
451,0.39532981068970685,fde,ml
452,0.3379413199611623,fde,ml
453,0.15157317448854873,fde,ml
454,1.391950119366473,fde,ml
455,0.39951242537722476,fde,ml
456,0.42913595406293775,fde,ml
457,0.07670545174406367,fde,ml
458,1.588593670880709,fde,ml
459,0.35246217161956267,fde,ml
460,0.42286056937431005,fde,ml
461,2.5455782977211476,fde,ml
462,0.42138091850150394,fde,ml
463,0.9759614306661623,fde,ml
464,0.26202219300672036,fde,ml
465,0.29629112463634844,fde,ml
466,2.1711960602456153,fde,ml
467,0.5537704920820476,fde,ml
468,0.13795409960655963,fde,ml
469,0.34801731329858887,fde,ml
470,0.09204373088111426,fde,ml
471,2.162381029539837,fde,ml
472,0.8045116260074519,fde,ml
473,0.2827344565388997,fde,ml
474,0.45416592696091684,fde,ml
475,0.14590313417845718,fde,ml
476,2.1128443992669457,fde,ml
477,0.9329943090074958,fde,ml
478,0.33339878730109307,fde,ml
479,0.18355638394507645,fde,ml
480,1.1668390130435597,fde,ml
481,1.0955200540976657,fde,ml
482,2.0063858237555663,fde,ml
483,0.9042709571859667,fde,ml
484,0.7891645811391848,fde,ml
485,0.7259064520654611,fde,ml
486,0.9349113367233224,fde,ml
487,0.9000897316626219,fde,ml
488,1.191374525147776,fde,ml
489,1.5104008167788998,fde,ml
490,1.4564352440685604,fde,ml
491,1.5069306929664565,fde,ml
492,1.7728215503044897,fde,ml
493,1.997874478501173,fde,ml
494,0.8727256148767734,fde,ml
495,1.9614630689780075,fde,ml
496,0.5510695648952516,fde,ml
497,1.2367465614867013,fde,ml
498,0.49037219530142034,fde,ml
499,0.873797631730881,fde,ml
500,0.49903861826546714,fde,ml
501,0.9780544847022622,fde,ml
502,0.6056071711509075,fde,ml
503,0.5235792715186159,fde,ml
504,1.2864823544877635,fde,ml
505,0.19573021521943684,fde,ml
506,1.7910414594432797,fde,ml
507,0.23254170165934354,fde,ml
508,2.109828454865976,fde,ml
509,0.26079237833622987,fde,ml
510,2.275654998359613,fde,ml
511,0.2761480320689403,fde,ml
512,2.763936344944197,fde,ml
513,0.2788895734515931,fde,ml
514,2.9873797361876977,fde,ml
515,0.26884997816406897,fde,ml
516,0.38216759055309707,fde,ml
517,0.38411374840252926,fde,ml
518,0.356138422499094,fde,ml
519,0.5017295632644526,fde,ml
520,0.5905625817299139,fde,ml
521,0.6206977804765005,fde,ml
522,0.35246086308285796,fde,ml
523,0.3474538291315738,fde,ml
524,0.39779766834358177,fde,ml
525,0.3964976251559843,fde,ml
526,0.5331780630457401,fde,ml
527,0.6141340198849375,fde,ml
528,0.7102612350401625,fde,ml
529,0.8490165498563517,fde,ml
530,0.16113185521094117,fde,ml
531,0.2412614897940398,fde,ml
532,1.0066510334329621,fde,ml
533,0.08934704656985461,fde,ml
534,0.08216633433835255,fde,ml
535,0.4576497257206681,fde,ml
536,1.2479094940925284,fde,ml
537,0.13377848374549497,fde,ml
538,0.13976194767974878,fde,ml
539,0.5279697472791439,fde,ml
540,0.539158168682416,fde,ml
541,1.2925322805377613,fde,ml
542,0.39683947764956673,fde,ml
543,0.430567385182269,fde,ml
544,0.5076833038529519,fde,ml
545,0.5592518970123083,fde,ml
546,0.7825434640649795,fde,ml
547,0.8240798617674978,fde,ml
548,0.7551998642897609,fde,ml
549,0.4374318152008052,fde,ml
550,0.15300671454351103,fde,ml
551,0.37792836511027084,fde,ml
552,1.1957388611927797,fde,ml
553,0.8408716474423797,fde,ml
554,0.2759268331288674,fde,ml
555,0.3516575560803336,fde,ml
556,0.37403002044221995,fde,ml
557,1.2274082553710328,fde,ml
558,0.9518935714314646,fde,ml
559,0.49270765198281047,fde,ml
560,0.6273725009738695,fde,ml
561,0.32816008069505825,fde,ml
562,0.7049345180154265,fde,ml
563,0.5777646573538742,fde,ml
564,0.7394045530939646,fde,ml
565,1.134354707009905,fde,ml
566,0.2828540882223757,fde,ml
567,0.5200407436780943,fde,ml
568,0.6371680412177164,fde,ml
569,0.2081661962459411,fde,ml
570,0.9489086030112334,fde,ml
571,0.878663477548906,fde,ml
572,0.18001720443103025,fde,ml
573,0.28598352356654616,fde,ml
