,value,metric,type
0,0.6493028836442061,ade,ml
1,0.5611956241491028,ade,ml
2,0.2770903061869326,ade,ml
3,0.7654690727829623,ade,ml
4,0.2712069487595333,ade,ml
5,0.3080453487092811,ade,ml
6,0.28415109407112116,ade,ml
7,0.5488282722512107,ade,ml
8,0.6065846774854377,ade,ml
9,0.3069425832924812,ade,ml
10,0.18189024791343647,ade,ml
11,0.36885682609291776,ade,ml
12,0.7289988681838225,ade,ml
13,0.41599323133736005,ade,ml
14,0.523209915477246,ade,ml
15,0.761204901648387,ade,ml
16,0.04486324736099367,ade,ml
17,0.13449224353080438,ade,ml
18,0.31654482841568105,ade,ml
19,0.778291613573848,ade,ml
20,0.5459821756838277,ade,ml
21,0.15025802194149257,ade,ml
22,0.41879323496566556,ade,ml
23,0.5495813019899703,ade,ml
24,0.12107438926564923,ade,ml
25,0.2180284515288887,ade,ml
26,0.30745353078672727,ade,ml
27,0.6355480920742517,ade,ml
28,0.652041113688558,ade,ml
29,0.6062180660765052,ade,ml
30,0.30245203195374865,ade,ml
31,0.31184939767539166,ade,ml
32,0.12877443306680883,ade,ml
33,0.30347198916993373,ade,ml
34,0.3048195148092538,ade,ml
35,0.7765155710204796,ade,ml
36,0.6223264543321215,ade,ml
37,0.6353660141975787,ade,ml
38,0.3869666226071538,ade,ml
39,0.12902928039092246,ade,ml
40,0.26060360765827184,ade,ml
41,0.36794926056483623,ade,ml
42,0.26795240789329716,ade,ml
43,0.9624223484729219,ade,ml
44,0.6862465293954266,ade,ml
45,0.4735462134773263,ade,ml
46,0.3389848833143054,ade,ml
47,0.08624519180084021,ade,ml
48,0.312151888534896,ade,ml
49,0.4245893817643025,ade,ml
50,0.6302686711846343,ade,ml
51,0.577977700033661,ade,ml
52,0.5705799984861099,ade,ml
53,0.35935171762882684,ade,ml
54,0.17563136379181288,ade,ml
55,0.3328085079135796,ade,ml
56,0.44420191934287323,ade,ml
57,0.4770439783996028,ade,ml
58,0.5521723763059195,ade,ml
59,0.36036014059230176,ade,ml
60,0.4145618873555493,ade,ml
61,0.3545882320901677,ade,ml
62,0.37897937534615195,ade,ml
63,0.4786839408247821,ade,ml
64,0.29981509738533196,ade,ml
65,0.21420848301611206,ade,ml
66,0.4132840922349028,ade,ml
67,0.5207955524721543,ade,ml
68,0.5479467334065579,ade,ml
69,0.5860740825306953,ade,ml
70,0.4375726225871939,ade,ml
71,0.4597492233426446,ade,ml
72,0.8524846236289786,ade,ml
73,0.3349778047473843,ade,ml
74,0.39713183979482797,ade,ml
75,0.44272859109785506,ade,ml
76,0.6446193379973174,ade,ml
77,0.13986080774717155,ade,ml
78,0.4662084765785374,ade,ml
79,0.5327447188428263,ade,ml
80,0.5595730831665058,ade,ml
81,0.2576247802840852,ade,ml
82,0.1986173336755075,ade,ml
83,0.5173424993576573,ade,ml
84,0.3096506753051546,ade,ml
85,0.2860595588782164,ade,ml
86,0.2932989812252549,ade,ml
87,0.27246682893480506,ade,ml
88,0.39266652276436115,ade,ml
89,0.4425087403222705,ade,ml
90,0.36926721045104216,ade,ml
