,value,metric,type
0,1.5204474188457437,fde,ml
1,1.3544080345104919,fde,ml
2,0.6785733521244126,fde,ml
3,1.7495367122439571,fde,ml
4,0.5248554988201681,fde,ml
5,0.6978713460513543,fde,ml
6,1.0926141632792596,fde,ml
7,1.2763646693483333,fde,ml
8,1.4487145963071295,fde,ml
9,0.7559748778440075,fde,ml
10,0.5190894167634788,fde,ml
11,0.6948230093226229,fde,ml
12,1.678628535638799,fde,ml
13,1.5131619905399043,fde,ml
14,1.1311670913129974,fde,ml
15,1.6699760337180756,fde,ml
16,0.08509020201008122,fde,ml
17,0.3093631854403887,fde,ml
18,0.6201588839973466,fde,ml
19,1.8306472968350538,fde,ml
20,1.7400706974702491,fde,ml
21,0.29996003772422974,fde,ml
22,0.8649952752273719,fde,ml
23,1.172663501592124,fde,ml
24,0.10685340329651259,fde,ml
25,0.5474710569580811,fde,ml
26,0.619256251761812,fde,ml
27,1.745163360278928,fde,ml
28,1.8312548980330234,fde,ml
29,1.318700181405612,fde,ml
30,0.5883802910510303,fde,ml
31,0.7121919211820934,fde,ml
32,0.34584336745122923,fde,ml
33,0.750978573952755,fde,ml
34,0.6119366190293686,fde,ml
35,1.9280026406349213,fde,ml
36,1.65898385622022,fde,ml
37,1.3743630134343012,fde,ml
38,0.7608234552133408,fde,ml
39,0.2948425181858327,fde,ml
40,0.6877918169462741,fde,ml
41,0.9087487580286049,fde,ml
42,0.5206595200140725,fde,ml
43,2.166797784780144,fde,ml
44,1.6692264033278168,fde,ml
45,1.0499138163557762,fde,ml
46,0.6685678421868362,fde,ml
47,0.20960665362928502,fde,ml
48,0.8180486769838531,fde,ml
49,1.0358117886327003,fde,ml
50,1.42267296397168,fde,ml
51,1.3008576583954827,fde,ml
52,1.1234307574294642,fde,ml
53,0.7246979832499267,fde,ml
54,0.4238666571588358,fde,ml
55,0.9408790694190186,fde,ml
56,1.0698669697307883,fde,ml
57,1.075460580008625,fde,ml
58,1.135397009977063,fde,ml
59,0.6587744514642856,fde,ml
60,0.7962017162866225,fde,ml
61,0.7665133837291906,fde,ml
62,1.1030336625007031,fde,ml
63,1.2193802699866254,fde,ml
64,0.5557128322063118,fde,ml
65,0.3258094532465748,fde,ml
66,1.2281379601532012,fde,ml
67,1.3596191665335176,fde,ml
68,1.0780413866738812,fde,ml
69,1.1055621030012444,fde,ml
70,1.2878353422077504,fde,ml
71,1.2617667841670621,fde,ml
72,1.6332829891933354,fde,ml
73,0.612745843227202,fde,ml
74,1.1813951070803568,fde,ml
75,1.264482139335911,fde,ml
76,1.2576931266895348,fde,ml
77,0.3652647399496182,fde,ml
78,1.30206874882877,fde,ml
79,1.4279546777781993,fde,ml
80,1.0955732113712084,fde,ml
81,0.7141790420403374,fde,ml
82,0.525003191363957,fde,ml
83,1.293005299027148,fde,ml
84,0.6272041458211131,fde,ml
85,0.8884920000465776,fde,ml
86,0.7601859464737146,fde,ml
87,0.6841686647949768,fde,ml
88,1.2220995646128352,fde,ml
89,1.0737732499033728,fde,ml
90,0.9659682046249133,fde,ml
91,1.7258987027084403,fde,ml
92,1.2592223610873003,fde,ml
93,1.3027829041015204,fde,ml
94,2.1277721887434256,fde,ml
95,1.398927364933825,fde,ml
96,1.4841472181905782,fde,ml
97,2.4851610748285533,fde,ml
98,1.6807057580870997,fde,ml
99,1.5209969593637827,fde,ml
100,2.7891877928371476,fde,ml
101,1.8394467535153312,fde,ml
102,1.531724089702404,fde,ml
103,3.1573349331330083,fde,ml
104,2.0367023915478772,fde,ml
105,1.4897374681015232,fde,ml
106,3.606189088321148,fde,ml
107,2.0093246872532764,fde,ml
108,1.82455584981478,fde,ml
109,1.359726736086082,fde,ml
110,3.7643406214608843,fde,ml
111,1.880744996977737,fde,ml
112,1.9882805666769288,fde,ml
113,1.3820296269205778,fde,ml
114,3.143625354369897,fde,ml
115,1.6069883433580994,fde,ml
116,2.212674517275971,fde,ml
117,1.4719572151124274,fde,ml
118,2.4973621127245855,fde,ml
119,1.4654257086940305,fde,ml
120,2.3227059484637826,fde,ml
121,1.130996413294671,fde,ml
122,2.370786612837558,fde,ml
123,1.4620643959898605,fde,ml
124,0.26994171458481864,fde,ml
125,1.6186548615084422,fde,ml
126,1.5073400498952083,fde,ml
127,0.2669809112475018,fde,ml
128,0.42585490986994734,fde,ml
129,0.09067754243732747,fde,ml
130,0.23801125805047027,fde,ml
131,0.1491649775221372,fde,ml
132,0.5218716748010882,fde,ml
133,0.4232639362928449,fde,ml
134,0.6818030341222125,fde,ml
135,0.8178187978622782,fde,ml
136,0.7606853535612536,fde,ml
137,0.9033365028510271,fde,ml
138,0.7909749146294225,fde,ml
139,0.7629772163325798,fde,ml
140,0.8045054098099271,fde,ml
141,0.9652350251774873,fde,ml
142,0.7980600899424272,fde,ml
143,0.4259495415049527,fde,ml
144,0.4239335044038886,fde,ml
145,1.2663344572137598,fde,ml
146,0.7800969322872292,fde,ml
147,0.30652866485266445,fde,ml
148,0.4040733731196794,fde,ml
149,1.150130919471461,fde,ml
150,0.7723681277455057,fde,ml
151,0.3917400520489683,fde,ml
152,0.5194152238142768,fde,ml
153,0.7965297869658624,fde,ml
154,0.7601241589348731,fde,ml
155,0.3950815382358347,fde,ml
156,0.48947444865020906,fde,ml
157,0.7229935918529291,fde,ml
158,0.7021617565960475,fde,ml
159,0.28299041325273333,fde,ml
160,0.368194650576946,fde,ml
161,0.8589075990566385,fde,ml
162,0.6453916263298847,fde,ml
163,0.08762111846837511,fde,ml
164,0.2990397515076928,fde,ml
165,1.1965944905299972,fde,ml
166,0.5885133650566721,fde,ml
167,0.4387354042981733,fde,ml
168,0.2769375075630734,fde,ml
169,1.5177337298194422,fde,ml
170,0.5238184875556833,fde,ml
171,0.49377963210441994,fde,ml
172,0.34031738342442575,fde,ml
173,1.6446676885903733,fde,ml
174,0.45892359735964955,fde,ml
175,0.4686767376193936,fde,ml
176,0.3428840827951809,fde,ml
177,1.4499544324646731,fde,ml
178,0.4038108521670851,fde,ml
179,0.49798661607236194,fde,ml
180,0.12003860274394824,fde,ml
181,1.104190594090878,fde,ml
182,0.362964471129635,fde,ml
183,0.5476038954401824,fde,ml
184,0.39499506354627195,fde,ml
185,1.434160046520917,fde,ml
186,0.34153390550206386,fde,ml
187,0.5891472783392522,fde,ml
188,0.9719722850988136,fde,ml
189,0.5068758834983447,fde,ml
190,0.7258211897891842,fde,ml
191,0.18189910497103728,fde,ml
192,0.7134153020464553,fde,ml
193,0.1576861042052603,fde,ml
194,0.8442394806242682,fde,ml
195,0.7477775201136602,fde,ml
196,0.2280327606840177,fde,ml
197,0.736059646459704,fde,ml
198,0.41190682528775796,fde,ml
199,0.4717839758329374,fde,ml
200,1.0462905879326614,fde,ml
201,0.22980554724914423,fde,ml
202,0.64674623890856,fde,ml
203,1.6544280873843211,fde,ml
204,0.9925665731231501,fde,ml
205,0.4007823747895384,fde,ml
206,0.7149881457553625,fde,ml
207,1.8262248358485456,fde,ml
208,1.2990432812642352,fde,ml
209,0.23294107791947802,fde,ml
210,0.798336791526007,fde,ml
211,2.0413879115005185,fde,ml
212,1.156151730135397,fde,ml
213,0.31414590858391916,fde,ml
214,1.0609238748530596,fde,ml
215,1.9005935295064327,fde,ml
216,1.4545170810292958,fde,ml
217,1.0165079256553005,fde,ml
218,0.514819747581543,fde,ml
219,1.2445249236467455,fde,ml
220,1.5069717717513413,fde,ml
221,1.7287194477888168,fde,ml
222,1.1187900632334602,fde,ml
223,0.7057552794096557,fde,ml
224,1.3385810357435954,fde,ml
225,1.5721849234514098,fde,ml
226,2.105055849811072,fde,ml
227,1.0332828448858544,fde,ml
228,1.3828082379574036,fde,ml
229,2.0737657541288015,fde,ml
230,2.268528248492641,fde,ml
231,1.1235637015001052,fde,ml
232,1.1823075507908807,fde,ml
233,1.804118227891875,fde,ml
234,2.157109424674591,fde,ml
235,1.1639452562559813,fde,ml
236,0.6250389719081854,fde,ml
237,1.0241240427378162,fde,ml
238,1.1333332313928255,fde,ml
239,1.1454321482682295,fde,ml
240,0.8412338805460589,fde,ml
241,1.3685341356617267,fde,ml
242,1.1470242067493255,fde,ml
243,3.1001068095899833,fde,ml
244,1.1333554679470819,fde,ml
245,1.5672072625475437,fde,ml
246,1.607242792019589,fde,ml
247,3.8803325998140337,fde,ml
248,1.475347466153874,fde,ml
249,1.2154664618801216,fde,ml
250,2.000060501669065,fde,ml
251,3.762565857739773,fde,ml
252,1.557718089216545,fde,ml
253,1.0106466179829614,fde,ml
254,2.2868421020913012,fde,ml
255,3.1317090642436365,fde,ml
256,1.557227962519627,fde,ml
257,1.6826400658524912,fde,ml
258,1.0237493119506595,fde,ml
259,2.329302807933758,fde,ml
260,3.337214708491861,fde,ml
261,0.8736868804136906,fde,ml
262,1.7401119902568911,fde,ml
263,1.1952322998571396,fde,ml
264,1.9450056582407116,fde,ml
265,4.145112871199271,fde,ml
266,0.5866121475294438,fde,ml
267,3.905427784505604,fde,ml
268,1.73479479965682,fde,ml
269,1.2994918368055062,fde,ml
270,1.320392801516692,fde,ml
271,4.437842466658214,fde,ml
272,1.1436366491111123,fde,ml
273,4.037449578193673,fde,ml
274,1.7413324484444388,fde,ml
275,1.413040505446529,fde,ml
276,1.1992181726700508,fde,ml
277,4.728054650372996,fde,ml
278,1.1284370950636113,fde,ml
