,value,metric,type
0,0.054456724646053285,fde,best_of
1,0.2941266395077884,fde,best_of
2,0.8200444636320764,fde,best_of
3,0.06225603199645248,fde,best_of
4,0.4243417552384973,fde,best_of
5,0.07814351668858992,fde,best_of
6,0.6707750325645004,fde,best_of
7,0.17739660381496608,fde,best_of
8,0.5848880994082055,fde,best_of
9,0.2337135344292602,fde,best_of
10,0.8742921713291224,fde,best_of
11,0.2972975927438138,fde,best_of
12,0.14295262738042375,fde,best_of
13,0.09951569162710831,fde,best_of
14,0.0937424918477805,fde,best_of
15,0.1858969894425333,fde,best_of
16,0.36056740568474105,fde,best_of
17,0.1087491898299685,fde,best_of
18,0.0633613026402499,fde,best_of
19,0.15550179270908418,fde,best_of
20,0.3322550134731263,fde,best_of
21,0.04241135580024509,fde,best_of
22,0.0746022744397113,fde,best_of
23,0.16267557352999262,fde,best_of
24,0.3299946196319997,fde,best_of
25,0.1516887393552028,fde,best_of
26,0.15275246132471615,fde,best_of
27,0.21985522986714515,fde,best_of
28,0.01590377306803189,fde,best_of
29,0.40527673035761946,fde,best_of
30,0.1274663013865979,fde,best_of
31,0.0293344085936856,fde,best_of
32,0.3271600651836779,fde,best_of
33,0.23084039293334946,fde,best_of
34,0.5194701335934399,fde,best_of
35,0.4048850442233637,fde,best_of
36,0.3392185604436895,fde,best_of
37,0.21567430348750694,fde,best_of
38,0.335141214351619,fde,best_of
39,0.2387876571095156,fde,best_of
40,0.3875703000867192,fde,best_of
41,0.10913864208090679,fde,best_of
42,0.09664120440819408,fde,best_of
43,0.07677214944049673,fde,best_of
44,0.42360957915864345,fde,best_of
45,0.19960140991032688,fde,best_of
46,0.3384998613908289,fde,best_of
47,0.37323133103458467,fde,best_of
48,1.8168914599252957,fde,best_of
49,0.21082872398596925,fde,best_of
50,1.5132693939621829,fde,best_of
51,0.21194755708391153,fde,best_of
52,0.1554516513775611,fde,best_of
53,2.357299579953183,fde,best_of
54,0.0752947142404607,fde,best_of
55,0.23487736800923853,fde,best_of
56,0.35151043101879603,fde,best_of
57,1.736108908838014,fde,best_of
58,0.2562980327783385,fde,best_of
59,0.07518381603738902,fde,best_of
60,0.02465680354412756,fde,best_of
61,2.406994736957707,fde,best_of
62,0.3207263889596462,fde,best_of
63,0.14808654214222094,fde,best_of
64,0.04490366785701608,fde,best_of
65,2.1376312255393204,fde,best_of
66,0.31893940394408116,fde,best_of
67,0.07688180779552657,fde,best_of
68,0.2562153562486773,fde,best_of
69,0.1747527063642397,fde,best_of
70,2.7461884422513823,fde,best_of
71,0.2882761094749905,fde,best_of
72,0.09576868419081848,fde,best_of
73,0.48483470235688897,fde,best_of
74,0.1992086132161959,fde,best_of
75,1.0183355731525332,fde,best_of
76,0.20965782530517824,fde,best_of
77,0.08548222137278286,fde,best_of
78,0.372384022037962,fde,best_of
79,0.451752258646067,fde,best_of
80,0.19836996973356458,fde,best_of
81,0.1957804605799506,fde,best_of
82,2.534462407072201,fde,best_of
83,0.2623607776259344,fde,best_of
84,0.20696099319120057,fde,best_of
85,0.5471791000298695,fde,best_of
86,0.2930011210849995,fde,best_of
87,0.24989748662304906,fde,best_of
88,0.2933318762713501,fde,best_of
89,2.732715256622799,fde,best_of
90,0.2474001494308675,fde,best_of
91,0.052997057463451555,fde,best_of
92,0.25780190694601546,fde,best_of
