,value,metric,type
0,0.20200423600248182,ade,ml
1,0.26405770301322784,ade,ml
2,0.4945630476858757,ade,ml
3,0.14945875091901115,ade,ml
4,0.8029204296940793,ade,ml
5,0.2094728883335503,ade,ml
6,0.7301476649359975,ade,ml
7,0.18645076981097874,ade,ml
8,0.7205139452160435,ade,ml
9,0.2165456862763532,ade,ml
10,0.41104200803212576,ade,ml
11,0.25308883082659644,ade,ml
12,0.14133643896354345,ade,ml
13,0.10829676718062735,ade,ml
14,0.16650843053021755,ade,ml
15,0.12254636332155162,ade,ml
16,0.14487272255471353,ade,ml
17,0.15862018256321397,ade,ml
18,0.13631165047325355,ade,ml
19,0.312353903769691,ade,ml
20,0.23605341419711925,ade,ml
21,0.06793057699597564,ade,ml
22,0.2671301500771628,ade,ml
23,0.12419648129980686,ade,ml
24,0.2953588393802697,ade,ml
25,0.19707533372704458,ade,ml
26,0.09393073923794727,ade,ml
27,0.20012309708368792,ade,ml
28,0.26733639155418115,ade,ml
29,0.29342949745035246,ade,ml
30,0.09111864768488305,ade,ml
31,0.24330599915056883,ade,ml
32,0.11129380987489933,ade,ml
33,0.2631903130029362,ade,ml
34,0.3861016688416239,ade,ml
35,0.22184145058085694,ade,ml
36,0.09900122877095806,ade,ml
37,0.16114928800475614,ade,ml
38,0.1586206478163453,ade,ml
39,0.12783451153431788,ade,ml
40,0.24867430635747723,ade,ml
41,0.2332473679371826,ade,ml
42,0.24832372003985193,ade,ml
43,0.2556036888312437,ade,ml
44,0.1381134436512405,ade,ml
45,0.13512319827983943,ade,ml
46,0.20137714451814762,ade,ml
47,0.3357328148936896,ade,ml
48,0.5577677301261128,ade,ml
49,0.22231465675147613,ade,ml
50,0.7670809217488728,ade,ml
51,0.2755783631730803,ade,ml
52,0.11731239404659781,ade,ml
53,1.0406519919793744,ade,ml
54,0.15933523351373713,ade,ml
55,0.12180506539428677,ade,ml
56,0.053808200322145006,ade,ml
57,1.291268919872157,ade,ml
58,0.08586821866432176,ade,ml
59,0.14388812796968795,ade,ml
60,0.10293936291556566,ade,ml
61,1.4568164080058468,ade,ml
62,0.06910646667238608,ade,ml
63,0.14137954141633624,ade,ml
64,0.14917153709838324,ade,ml
65,1.2730868995499518,ade,ml
66,0.06115145144619727,ade,ml
67,0.09229813874350655,ade,ml
68,0.17510829006920717,ade,ml
69,0.14545051106844464,ade,ml
70,1.4201653694585026,ade,ml
71,0.0727990705308411,ade,ml
72,0.1199147850964331,ade,ml
73,0.23014729978909101,ade,ml
74,0.2076352066707227,ade,ml
75,1.315725482018798,ade,ml
76,0.125456715334781,ade,ml
77,0.14161660457952596,ade,ml
78,0.33225542608985864,ade,ml
79,0.27529314018322665,ade,ml
80,0.1476325649368544,ade,ml
81,0.25907689737041845,ade,ml
82,1.6803260661733628,ade,ml
83,0.163103142087532,ade,ml
84,0.16468196329786824,ade,ml
85,0.4355248492015904,ade,ml
86,0.3746497119466958,ade,ml
87,0.15752500715020729,ade,ml
88,0.316968793266118,ade,ml
89,2.1986481042373094,ade,ml
90,0.18115608637487635,ade,ml
91,0.1875810166960282,ade,ml
92,0.3285721910395227,ade,ml
93,0.493880690783881,ade,ml
